Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Thaddeus Young\youngth01,25,79,2718,16.6,.512,.228,.178,6.3,12.8,9.5,11.8,3.0,1.1,10.7,24.1,,1.2,2.3,3.5,.062,,0.2,-0.4,-0.2,1.2
2,Michael Carter-Williams\cartemi01,22,70,2414,15.5,.480,.197,.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,,-0.8,2.1,1.3,.026,,-0.6,0.4,-0.2,1.1
3,James Anderson\anderja01,24,80,2309,10.9,.530,.490,.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,,0.9,0.9,1.9,.039,,-1.2,-1.3,-2.5,-0.3
4,Evan Turner\turneev01,25,54,1886,13.2,.504,.159,.274,2.8,16.2,9.2,17.7,1.4,0.2,14.3,24.4,,-0.2,0.9,0.7,.017,,-2.1,-1.7,-3.8,-0.9
5,Tony Wroten\wroteto01,20,72,1765,12.9,.493,.233,.403,4.1,10.1,7.0,20.9,2.1,0.7,17.7,27.7,,-1.8,0.9,-0.9,-0.025,,-2.3,-2.3,-4.6,-1.2
6,Hollis Thompson\thompho01,22,77,1742,9.5,.570,.449,.196,4.4,11.2,7.7,6.1,1.5,0.5,12.9,11.3,,1.4,0.6,2.0,.055,,-1.8,-1.2,-3.0,-0.4
7,Spencer Hawes\hawessp01,25,53,1666,15.3,.546,.346,.172,5.5,24.6,14.7,16.9,0.9,3.2,15.9,19.0,,1.2,1.4,2.6,.075,,-0.8,0.8,0.0,0.8
8,Elliot Williams\williel01,24,67,1157,8.7,.519,.371,.353,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,,0.0,0.3,0.3,.014,,-3.2,-2.6,-5.7,-1.1
9,Lavoy Allen\allenla01,24,51,960,11.9,.464,.049,.150,11.5,20.0,15.6,10.2,1.1,2.2,12.4,14.3,,0.4,0.7,1.1,.053,,-3.3,0.1,-3.2,-0.3
10,Henry Sims\simshe01,23,26,707,17.4,.554,.004,.467,12.1,15.7,13.8,10.6,1.6,1.5,10.7,18.5,,1.5,0.4,1.9,.128,,0.0,-0.6,-0.6,0.3
11,Brandon Davies\daviebr01,22,51,575,7.5,.476,.078,.414,6.9,13.9,10.2,7.1,2.0,1.1,18.8,13.7,,-0.3,0.4,0.1,.008,,-5.3,-0.6,-5.9,-0.6
12,Jarvis Varnado\varnaja01,25,23,337,13.4,.597,.000,.867,5.9,14.7,10.1,5.7,1.4,6.9,10.8,11.7,,0.5,0.3,0.8,.115,,-3.3,2.3,-1.0,0.1
13,Daniel Orton\ortonda01,23,22,251,10.5,.540,.000,.638,6.6,20.2,13.1,8.5,1.2,5.1,23.0,13.2,,0.0,0.2,0.3,.049,,-5.7,1.6,-4.1,-0.1
14,Byron Mullens\mulleby01,24,18,247,16.1,.569,.495,.139,7.2,19.6,13.1,5.5,1.8,2.6,11.6,20.8,,0.2,0.2,0.4,.087,,-0.7,-2.1,-2.8,0.0
15,Lorenzo Brown\brownlo01,23,26,224,8.2,.349,.349,.151,3.7,10.0,6.8,27.5,2.8,1.1,14.9,20.4,,-0.5,0.2,-0.3,-0.068,,-5.0,-1.8,-6.8,-0.3
16,Darius Morris\morrida01,23,12,193,11.9,.544,.358,.313,1.6,5.8,3.6,25.4,2.0,0.0,19.9,20.9,,0.1,0.1,0.1,.027,,-2.1,-4.4,-6.5,-0.2
17,Arnett Moultrie\moultar01,23,12,187,6.7,.448,.000,.132,6.1,14.4,10.1,1.5,2.1,1.7,14.8,10.7,,-0.1,0.1,0.0,.007,,-6.4,-0.5,-7.0,-0.2
18,Dewayne Dedmon\dedmode01,24,11,150,8.7,.533,.000,.448,7.6,28.5,17.6,2.9,0.0,4.8,20.6,12.3,,0.0,0.1,0.1,.035,,-7.4,-0.5,-7.9,-0.2
19,Casper Ware\wareca01,24,9,116,13.0,.538,.500,.143,0.0,8.7,4.2,13.7,3.3,0.0,10.1,18.1,,0.1,0.1,0.2,.071,,-1.1,-2.5,-3.6,0.0
20,Eric Maynor\maynoer01,26,8,112,6.6,.461,.414,.276,1.9,13.0,7.2,15.7,1.7,1.4,27.0,16.8,,-0.2,0.1,-0.2,-0.070,,-6.5,-1.4,-7.8,-0.2
21,James Nunnally\nunnaja01,23,9,111,6.1,.430,.536,.179,0.0,11.1,5.4,7.7,2.2,0.7,9.0,12.7,,-0.1,0.1,0.0,-0.005,,-4.8,-1.6,-6.4,-0.1
22,Darius Johnson-Odom\johnsda03,24,3,15,-23.0,.000,.429,.286,0.0,15.0,7.2,8.5,3.2,0.0,20.2,27.9,,-0.2,0.0,-0.2,-0.661,,-22.4,-3.0,-25.5,-0.1
23,Adonis Thomas\thomaad01,20,2,13,10.1,.700,.400,.000,0.0,0.0,0.0,13.9,0.0,0.0,16.7,19.5,,0.0,0.0,0.0,.060,,-1.4,-9.3,-10.7,0.0
