No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
42,Elton Brand\brandel01,C,6-8,275,March 11 1979,us,16,Duke University
0,Isaiah Canaan\canaais01,SG,6-0,201,May 21 1991,us,2,Murray State University
33,Robert Covington\covinro01,SF,6-9,225,December 14 1990,us,2,Tennessee State University
39,Jerami Grant\grantje01,PF,6-9,220,March 12 1994,us,1,Syracuse University
22,Richaun Holmes\holmeri01,PF,6-10,235,October 15 1993,us,R,Bowling Green State University
7,Carl Landry\landrca01,PF,6-9,248,September 19 1983,us,8,Purdue University
5,Kendall Marshall\marshke01,PG,6-4,200,August 19 1991,us,3,University of North Carolina
12,T.J. McConnell\mccontj01,PG,6-2,190,March 25 1992,us,R,Duquesne University University of Arizona
4,Nerlens Noel\noelne01,C,6-11,220,April 10 1994,us,1,University of Kentucky
8,Jahlil Okafor\okafoja01,C,6-11,275,December 15 1995,us,R,Duke University
26,Phil Pressey\pressph01,PG,5-11,175,February 17 1991,us,2,University of Missouri
9,JaKarr Sampson\sampsja02,SF,6-9,214,March 20 1993,us,1,St. John's University
1,Ish Smith\smithis01,PG,6-0,175,July 5 1988,us,5,Wake Forest University
11,Nik Stauskas\stausni01,SG,6-6,205,October 7 1993,ca,1,University of Michigan
31,Hollis Thompson\thompho01,SG,6-8,206,April 3 1991,us,2,Georgetown University
9,Sonny Weems\weemsso01,SF,6-6,205,July 8 1986,us,3,University of Arkansas
35,Christian Wood\woodch01,PF,6-10,214,September 27 1995,us,R,University of Nevada Las Vegas
1,Tony Wroten\wroteto01,PG,6-6,205,April 13 1993,us,3,University of Washington
