Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kemba Walker\walkeke02,23,73,2614,16.8,.499,.286,.295,1.7,11.6,6.6,29.7,1.7,1.0,11.6,25.8,,1.8,3.3,5.1,.093,,1.6,0.2,1.7,2.4
2,Al Jefferson\jeffeal01,29,73,2553,22.7,.532,.011,.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,,3.1,4.7,7.8,.146,,0.3,1.5,1.8,2.5
3,Gerald Henderson\hendege02,26,77,2461,13.1,.507,.124,.332,1.4,12.9,7.1,13.9,1.1,1.0,9.6,22.1,,0.8,2.8,3.6,.071,,-1.7,0.0,-1.7,0.2
4,Josh McRoberts\mcrobjo01,26,78,2360,13.8,.548,.514,.150,4.0,13.8,8.9,21.9,1.3,1.5,12.1,13.4,,3.5,3.0,6.5,.132,,1.3,1.6,2.9,2.9
5,Michael Kidd-Gilchrist\kiddgmi01,20,62,1502,12.0,.516,.025,.521,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,,0.9,2.2,3.1,.098,,-2.7,1.7,-0.9,0.4
6,Cody Zeller\zelleco01,21,82,1416,13.1,.498,.002,.495,9.4,18.8,14.1,10.4,1.5,2.3,15.0,18.9,,0.4,2.2,2.6,.090,,-3.2,1.8,-1.3,0.2
7,Ramon Sessions\sessira01,27,55,1305,14.6,.509,.146,.503,1.9,8.3,5.1,26.2,1.3,0.4,14.1,23.4,,0.8,1.3,2.0,.075,,-1.1,-1.4,-2.6,-0.2
8,Anthony Tolliver\tollian01,28,64,1298,11.0,.605,.805,.134,2.9,11.8,7.3,5.0,0.8,0.9,6.6,12.4,,1.9,1.3,3.2,.117,,0.8,-0.5,0.3,0.8
9,Bismack Biyombo\biyombi01,21,77,1072,13.3,.606,.000,.618,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,,1.1,2.1,3.2,.144,,-4.7,2.2,-2.5,-0.1
10,Chris Douglas-Roberts\douglch01,27,49,1016,12.2,.588,.524,.325,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,,1.1,1.2,2.4,.113,,-0.3,0.4,0.1,0.5
11,Jeffery Taylor\tayloje03,24,26,629,5.9,.436,.307,.216,2.7,8.1,5.4,5.7,1.1,0.6,9.5,19.4,,-0.8,0.6,-0.2,-0.019,,-4.2,-1.2,-5.4,-0.5
12,Gary Neal\nealga01,29,22,507,14.0,.571,.356,.263,0.4,8.5,4.5,12.6,1.1,0.0,10.4,22.0,,0.6,0.5,1.1,.105,,0.2,-2.2,-2.0,0.0
13,Luke Ridnour\ridnolu01,32,25,378,8.6,.450,.370,.065,2.4,8.1,5.2,22.4,1.2,1.3,15.3,16.0,,-0.2,0.4,0.2,.030,,-3.0,-0.8,-3.8,-0.2
14,Ben Gordon\gordobe01,30,19,279,6.4,.422,.269,.194,1.2,9.8,5.5,12.2,1.9,0.6,15.2,22.9,,-0.7,0.3,-0.3,-0.058,,-5.9,-1.0,-6.8,-0.3
15,Jeff Adrien\adrieje01,27,25,256,14.9,.559,.000,.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,,0.4,0.5,0.9,.170,,-2.5,2.9,0.4,0.2
16,Jannero Pargo\pargoja01,34,29,242,18.9,.554,.508,.093,0.5,8.9,4.7,40.3,3.0,0.3,17.5,28.4,,0.2,0.4,0.5,.105,,3.1,-2.2,0.9,0.2
17,D.J. White\whitedj01,27,2,10,2.4,.000,.000,.000,0.0,22.7,11.3,0.0,5.2,0.0,0.0,4.6,,0.0,0.0,0.0,.004,,-10.3,3.4,-6.9,0.0
18,Justin Hamilton\hamilju01,23,1,4,0.0,,,,0.0,0.0,0.0,0.0,13.0,0.0,100.0,11.5,,0.0,0.0,0.0,-0.190,,-13.0,12.9,-0.1,0.0
19,James Southerland\southja01,23,1,3,-40.6,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2,,-0.1,0.0,-0.1,-1.119,,-33.1,-13.3,-46.4,0.0
