No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Jeff Adrien\adrieje01,PF,6-7,245,February 10 1986,us,3,University of Connecticut
0,Bismack Biyombo\biyombi01,C,6-9,255,August 28 1992,cd,2,
55,Chris Douglas-Roberts\douglch01,SF,6-7,200,January 8 1987,us,4,University of Memphis
8,Ben Gordon\gordobe01,SG,6-3,200,April 4 1983,gb,9,University of Connecticut
41,Justin Hamilton\hamilju01,C,7-0,260,April 1 1990,us,R,Iowa State University Louisiana State University
9,Gerald Henderson\hendege02,SG,6-5,215,December 9 1987,us,4,Duke University
25,Al Jefferson\jeffeal01,C,6-10,289,January 4 1985,us,9,
14,Michael Kidd-Gilchrist\kiddgmi01,SF,6-7,232,September 26 1993,us,1,University of Kentucky
11,Josh McRoberts\mcrobjo01,PF,6-10,240,February 28 1987,us,6,Duke University
12,Gary Neal\nealga01,SG,6-4,210,October 3 1984,us,3,La Salle University Towson University
5,Jannero Pargo\pargoja01,PG,6-1,175,October 22 1979,us,9,University of Arkansas
13,Luke Ridnour\ridnolu01,PG,6-2,175,February 13 1981,us,10,University of Oregon
7,Ramon Sessions\sessira01,PG,6-3,190,April 11 1986,us,6,University of Nevada Reno
31,James Southerland\southja01,SF,6-8,215,April 28 1990,us,R,Syracuse University
44,Jeffery Taylor\tayloje03,SF,6-7,225,May 23 1989,se,1,Vanderbilt University
43,Anthony Tolliver\tollian01,PF,6-8,250,June 1 1985,us,5,Creighton University
15,Kemba Walker\walkeke02,PG,6-1,184,May 8 1990,us,2,University of Connecticut
8,D.J. White\whitedj01,PF,6-9,251,August 31 1986,us,5,Indiana University
40,Cody Zeller\zelleco01,C,7-0,240,October 5 1992,us,R,Indiana University
