Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Khris Middleton\middlkh01,22,82,2460,12.5,.541,.340,.160,2.7,12.0,7.2,11.7,1.8,0.7,11.9,19.1,,1.9,0.8,2.7,.053,,0.1,-1.6,-1.5,0.3
2,Brandon Knight\knighbr03,22,72,2400,16.5,.523,.310,.296,2.1,10.3,6.1,26.6,1.5,0.6,13.2,26.8,,2.4,0.4,2.8,.055,,2.0,-2.9,-0.9,0.7
3,Giannis Antetokounmpo\antetgi01,19,77,1897,10.8,.518,.282,.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,,0.1,1.1,1.2,.031,,-2.5,0.7,-1.8,0.1
4,John Henson\hensojo01,23,70,1856,17.9,.543,.002,.277,10.2,20.8,15.3,10.9,1.2,5.1,13.7,20.3,,1.7,1.5,3.3,.084,,-1.0,1.4,0.3,1.1
5,Ersan Ilyasova\ilyaser01,26,55,1478,13.8,.486,.226,.225,8.0,18.8,13.3,8.4,1.6,0.4,8.7,21.3,,0.9,0.8,1.6,.053,,-1.1,-2.1,-3.2,-0.5
6,O.J. Mayo\mayooj01,26,52,1346,11.2,.516,.413,.160,2.0,8.8,5.3,14.6,1.1,0.8,13.9,23.0,,0.0,0.0,0.1,.002,,-0.7,-3.5,-4.2,-0.7
7,Zaza Pachulia\pachuza01,29,53,1325,14.0,.502,.003,.372,11.8,17.1,14.4,16.3,1.8,0.9,18.5,17.0,,1.0,0.7,1.7,.060,,-1.0,0.3,-0.7,0.4
8,Nate Wolters\woltena01,22,58,1309,12.7,.486,.159,.231,2.8,10.5,6.5,23.3,1.4,0.9,11.7,16.8,,0.9,0.2,1.2,.043,,-1.4,-2.1,-3.4,-0.5
9,Ramon Sessions\sessira01,27,28,909,18.0,.585,.184,.559,2.0,9.1,5.4,25.1,0.9,0.3,12.7,21.6,,2.4,-0.1,2.3,.121,,1.9,-3.5,-1.6,0.1
10,Caron Butler\butleca01,33,34,821,12.4,.494,.415,.158,2.2,20.5,11.0,11.9,1.5,1.1,12.1,23.7,,-0.2,0.5,0.2,.014,,-1.7,-2.1,-3.9,-0.4
11,Ekpe Udoh\udohek01,26,42,804,7.6,.440,.000,.329,8.4,12.8,10.5,5.7,1.0,4.4,18.8,11.4,,-0.4,0.4,0.0,.000,,-4.7,1.2,-3.5,-0.3
12,Luke Ridnour\ridnolu01,32,36,763,9.1,.453,.311,.087,2.2,7.3,4.7,25.3,1.6,0.2,16.8,16.2,,-0.2,0.0,-0.1,-0.008,,-2.5,-3.2,-5.7,-0.7
13,Jeff Adrien\adrieje01,27,28,705,18.4,.552,.000,.400,10.9,25.0,17.7,7.7,1.3,2.4,10.1,19.7,,1.2,0.6,1.8,.121,,-0.9,-0.7,-1.6,0.1
14,Gary Neal\nealga01,29,30,607,11.2,.500,.401,.195,1.5,8.2,4.7,13.4,0.6,0.0,11.5,25.3,,0.0,-0.1,-0.2,-0.012,,-1.3,-5.4,-6.8,-0.7
15,Larry Sanders\sandela01,25,23,584,14.0,.478,.006,.340,11.4,21.3,16.2,5.3,1.6,5.6,12.3,16.4,,0.1,0.6,0.7,.057,,-3.3,1.6,-1.8,0.0
16,Miroslav Raduljica\radulmi01,26,48,465,15.3,.603,.000,.437,12.9,13.7,13.3,8.3,0.8,2.3,15.7,17.3,,1.0,0.1,1.1,.112,,-0.6,-1.8,-2.3,0.0
17,Chris Wright\wrighch01,25,8,126,16.5,.577,.029,.429,8.8,9.4,9.1,6.9,2.9,3.2,10.7,16.7,,0.2,0.1,0.3,.102,,-0.4,0.2,-0.2,0.1
18,D.J. Stephens\stephdj01,23,3,15,16.1,.470,.000,.143,7.4,31.6,19.1,0.0,0.0,0.0,0.0,22.4,,0.0,0.0,0.0,.067,,-7.6,-10.1,-17.7,-0.1
19,Tony Mitchell\mitchto03,24,3,10,30.9,.600,.200,.000,11.1,0.0,5.7,22.6,5.2,0.0,0.0,22.6,,0.0,0.0,0.1,.242,,8.6,-2.1,6.5,0.0
