No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Giannis Antetokounmpo\antetgi01,SG,6-11,242,December 6 1994,gr,1,
19,Jerryd Bayless\bayleje01,PG,6-3,200,August 20 1988,us,6,University of Arizona
5,Michael Carter-Williams\cartemi01,PG,6-6,190,October 10 1991,us,1,Syracuse University
9,Jared Dudley\dudleja01,SG,6-7,237,July 10 1985,us,7,Boston College
11,Tyler Ennis\ennisty01,PG,6-3,194,August 24 1994,ca,R,Syracuse University
13,Jorge Gutierrez\gutiejo01,PG,6-3,191,December 27 1988,mx,1,University of California
31,John Henson\hensojo01,C,6-11,219,December 28 1990,us,2,University of North Carolina
7,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,6,
23,Chris Johnson\johnsch04,SF,6-6,206,April 29 1990,us,2,University of Dayton
11,Brandon Knight\knighbr03,PG,6-3,195,December 2 1991,us,3,University of Kentucky
5,Kendall Marshall\marshke01,PG,6-4,200,August 19 1991,us,2,University of North Carolina
6,Kenyon Martin\martike01,PF,6-9,234,December 30 1977,us,14,University of Cincinnati
00,O.J. Mayo\mayooj01,SG,6-5,210,November 5 1987,us,6,University of Southern California
22,Khris Middleton\middlkh01,SF,6-8,222,August 12 1991,us,2,Texas A&M University
3,Johnny O'Bryant\obryajo01,PF,6-9,257,June 1 1993,us,R,Louisiana State University
27,Zaza Pachulia\pachuza01,C,6-11,270,February 10 1984,ge,11,
12,Jabari Parker\parkeja01,PF,6-8,245,March 15 1995,us,R,Duke University
21,Miles Plumlee\plumlmi01,C,6-11,249,September 1 1988,us,2,Duke University
8,Larry Sanders\sandela01,C,6-11,235,November 21 1988,us,4,Virginia Commonwealth University
6,Nate Wolters\woltena01,PG,6-4,190,May 15 1991,us,1,South Dakota State University
