No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
17,Lou Amundson\amundlo01,PF,6-9,220,December 7 1982,us,7,University of Nevada Las Vegas
14,D.J. Augustin\augusdj01,PG,6-0,183,November 10 1987,us,5,University of Texas at Austin
5,Carlos Boozer\boozeca01,PF,6-9,258,November 20 1981,de,11,Duke University
11,Ronnie Brewer\brewero02,SF,6-7,220,March 20 1985,us,7,University of Arkansas
21,Jimmy Butler\butleji01,SG,6-8,232,September 14 1989,us,2,Marquette University
9,Luol Deng\denglu01,SF,6-9,237,April 16 1985,ss,9,Duke University
34,Mike Dunleavy\dunlemi02,SF,6-9,230,September 15 1980,us,11,Duke University
32,Jimmer Fredette\fredeji01,SG,6-2,195,February 25 1989,us,2,Brigham Young University
22,Taj Gibson\gibsota01,PF,6-9,232,June 24 1985,us,4,University of Southern California
12,Kirk Hinrich\hinriki01,PG,6-4,190,January 2 1981,us,10,University of Kansas
8,Mike James\jamesmi01,PG,6-2,188,June 23 1975,us,11,Duquesne University
15,Cartier Martin\martica01,SF,6-7,220,November 20 1984,us,5,Kansas State University
48,Nazr Mohammed\mohamna01,C,6-10,221,September 5 1977,us,15,University of Kentucky
31,Erik Murphy\murpher01,C,6-10,230,October 26 1990,fr,R,University of Florida
13,Joakim Noah\noahjo01,C,6-11,230,February 25 1985,us,6,University of Florida
1,Derrick Rose\rosede01,PG,6-3,200,October 4 1988,us,4,University of Memphis
7,Tornike Shengelia\shengto01,SF,6-9,217,October 5 1991,ge,1,
20,Tony Snell\snellto01,SG,6-7,213,November 10 1991,us,R,University of New Mexico
25,Marquis Teague\teaguma01,SG,6-2,189,February 28 1993,us,1,University of Kentucky
32,Jarvis Varnado\varnaja01,PF,6-9,230,March 1 1988,us,1,Mississippi State University
