Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James\jamesle01,32,74,2794,27.0,.619,.254,.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,,9.8,3.0,12.9,.221,,6.8,1.6,8.4,7.3
2,Kyrie Irving\irvinky01,24,72,2525,23.0,.580,.311,.231,2.3,7.5,5.0,29.7,1.6,0.8,10.3,30.8,,7.4,1.5,8.9,.170,,4.8,-2.3,2.5,2.9
3,Tristan Thompson\thomptr01,25,78,2336,15.3,.594,.007,.487,13.9,19.6,16.9,4.6,0.8,2.9,10.8,11.3,,5.0,2.3,7.3,.149,,0.0,1.5,1.5,2.0
4,Iman Shumpert\shumpim01,26,76,1937,9.0,.536,.534,.184,2.3,9.9,6.2,7.8,1.6,1.1,12.9,14.0,,0.7,1.4,2.0,.050,,-1.3,0.0,-1.3,0.3
5,Kevin Love\loveke01,28,60,1885,21.1,.573,.449,.340,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,,4.0,2.4,6.4,.163,,1.7,-0.9,0.8,1.3
6,Richard Jefferson\jefferi01,36,79,1614,8.3,.574,.542,.315,2.0,11.6,6.9,6.6,0.8,0.5,11.8,12.2,,1.3,0.8,2.1,.063,,-1.4,-1.0,-2.4,-0.2
7,Channing Frye\fryech01,33,74,1398,15.6,.612,.644,.142,3.0,19.3,11.4,4.9,1.2,2.1,8.8,19.3,,2.3,1.4,3.7,.125,,0.8,-1.5,-0.6,0.5
8,J.R. Smith\smithjr01,31,41,1187,8.1,.484,.761,.042,1.6,8.6,5.2,7.3,1.7,0.7,6.7,14.6,,0.1,0.8,0.8,.034,,-0.5,-0.7,-1.3,0.2
9,Kyle Korver\korveky01,35,35,859,13.5,.677,.743,.056,0.9,11.2,6.2,6.1,0.6,0.8,9.5,15.8,,1.6,0.4,2.0,.114,,2.2,-2.2,0.0,0.4
10,DeAndre Liggins\liggide01,28,61,752,7.2,.473,.331,.272,2.6,11.9,7.4,9.5,3.0,1.5,21.6,11.5,,-0.5,0.9,0.4,.025,,-4.0,2.0,-2.0,0.0
11,Deron Williams\willide01,32,24,486,11.4,.566,.361,.170,0.2,9.7,5.1,25.9,0.6,1.0,20.2,18.1,,0.4,0.2,0.6,.059,,-1.9,-2.6,-4.5,-0.3
12,Derrick Williams\willide02,25,25,427,11.1,.628,.486,.364,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,,0.6,0.2,0.8,.086,,-1.1,-2.1,-3.2,-0.1
13,Kay Felder\feldeka01,21,42,386,11.4,.462,.139,.310,0.9,10.5,5.9,22.7,2.3,1.5,14.3,24.2,,-0.3,0.4,0.1,.008,,-4.8,-1.2,-6.0,-0.4
14,Jordan McRae\mcraejo01,25,37,384,9.7,.488,.340,.227,1.8,9.7,5.9,7.4,1.0,1.3,7.8,20.8,,-0.1,0.2,0.2,.020,,-3.7,-2.8,-6.5,-0.4
15,James Jones\jonesja02,36,48,381,11.1,.655,.717,.217,0.9,9.5,5.4,5.2,0.8,2.1,9.0,13.0,,0.6,0.2,0.8,.102,,0.0,-1.6,-1.6,0.0
16,Mike Dunleavy\dunlemi02,36,23,366,7.6,.539,.633,.211,1.6,12.3,7.1,7.5,0.8,0.4,12.5,13.7,,0.1,0.2,0.3,.041,,-2.1,-1.7,-3.7,-0.2
17,Chris Andersen\anderch01,38,12,114,11.6,.497,.136,.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,,0.1,0.2,0.2,.102,,-3.8,3.0,-0.9,0.0
18,Edy Tavares\tavarwa01,24,1,24,22.6,.676,.000,.250,19.0,26.7,23.0,6.0,0.0,20.2,31.1,12.0,,0.0,0.1,0.1,.183,,-3.1,10.1,7.0,0.1
19,Larry Sanders\sandela01,28,5,13,6.5,.410,.000,.500,26.3,8.2,17.0,0.0,3.8,6.2,29.1,23.6,,0.0,0.0,0.0,-0.029,,-8.7,-0.9,-9.6,0.0
20,Dahntay Jones\jonesda02,36,1,12,14.7,.461,.250,.500,9.5,8.9,9.2,14.5,0.0,0.0,9.3,39.9,,0.0,0.0,0.0,-0.030,,-3.8,-7.1,-10.9,0.0
21,Andrew Bogut\bogutan01,32,1,1,-35.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.020,,-5.7,0.0,-5.7,0.0
