No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
81,Jose Calderon\caldejo01,PG,6-3,200,September 28 1981,es,12,
8,Jordan Clarkson\clarkjo01,SG,6-5,194,June 7 1992,us,3,University of Tulsa University of Missouri
99,Jae Crowder\crowdja01,SF,6-6,235,July 6 1990,us,5,Marquette University
8,Channing Frye\fryech01,C,7-0,255,May 17 1983,us,11,University of Arizona
32,Jeff Green\greenje02,PF,6-9,235,August 28 1986,us,9,Georgetown University
3,George Hill\hillge01,PG,6-3,188,May 4 1986,us,9,Indiana University-Purdue University Indianapolis
10,John Holland\hollajo02,SF,6-5,205,November 6 1988,us,1,Boston University
1,Rodney Hood\hoodro01,SG,6-8,206,October 20 1992,us,3,Mississippi State University Duke University
23,LeBron James\jamesle01,PF,6-8,250,December 30 1984,us,14,
26,Kyle Korver\korveky01,SG,6-7,212,March 17 1981,us,14,Creighton University
0,Kevin Love\loveke01,C,6-10,251,September 7 1988,us,9,University of California Los Angeles
22,Larry Nance\nancela02,C,6-9,230,January 1 1993,us,2,University of Wyoming
16,Cedi Osman\osmande01,SF,6-8,215,April 8 1995,mk,R,
21,Kendrick Perkins\perkike01,C,6-10,270,November 10 1984,us,13,
15,London Perrantes\perralo01,PG,6-2,200,October 3 1994,us,R,University of Virginia
1,Derrick Rose\rosede01,PG,6-3,200,October 4 1988,us,8,University of Memphis
4,Iman Shumpert\shumpim01,SG,6-5,215,June 26 1990,us,6,Georgia Institute of Technology
5,J.R. Smith\smithjr01,SG,6-6,225,September 9 1985,us,13,
3,Isaiah Thomas\thomais02,PG,5-9,185,February 7 1989,us,6,University of Washington
13,Tristan Thompson\thomptr01,C,6-10,238,March 13 1991,ca,6,University of Texas at Austin
9,Dwyane Wade\wadedw01,SG,6-4,220,January 17 1982,us,14,Marquette University
41,Ante Zizic\zizican01,C,6-11,254,January 4 1997,hr,R,
