Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Isaiah Thomas\thomais02,26,82,2644,21.5,.562,.336,.394,1.8,8.0,4.9,32.7,1.7,0.3,11.9,29.6,,7.2,2.5,9.7,.177,,5.0,-2.0,3.0,3.3
2,Avery Bradley\bradlav01,25,76,2536,13.2,.538,.399,.121,2.0,7.3,4.6,9.8,2.2,0.6,9.2,19.8,,2.0,2.8,4.8,.090,,0.5,-0.3,0.2,1.4
3,Jae Crowder\crowdja01,25,73,2308,15.8,.565,.446,.294,3.2,14.2,8.6,8.9,2.7,1.2,8.3,18.5,,3.8,3.5,7.3,.152,,1.5,1.3,2.8,2.8
4,Evan Turner\turneev01,27,81,2271,13.6,.513,.110,.238,2.3,16.5,9.3,23.9,1.7,1.0,16.9,18.8,,1.0,3.0,4.0,.085,,-1.9,1.3,-0.7,0.8
5,Jared Sullinger\sullija01,23,81,1915,16.7,.476,.128,.200,10.6,27.0,18.7,15.5,1.9,1.9,10.4,21.8,,1.3,3.6,4.8,.121,,-1.2,2.3,1.1,1.5
6,Amir Johnson\johnsam01,28,79,1800,16.0,.602,.101,.284,10.3,19.6,14.9,11.4,1.4,3.6,16.4,13.6,,3.0,2.9,5.9,.158,,-0.2,3.2,3.0,2.3
7,Marcus Smart\smartma01,21,61,1667,11.3,.463,.456,.314,4.8,11.6,8.1,15.8,2.7,0.8,11.7,17.4,,0.5,2.4,2.9,.083,,-0.6,1.3,0.7,1.1
8,Kelly Olynyk\olynyke01,24,69,1395,16.3,.561,.378,.230,5.4,16.2,10.7,11.9,1.8,1.8,10.8,20.9,,2.1,2.0,4.1,.141,,0.8,0.4,1.2,1.1
9,Jonas Jerebko\jerebjo01,28,78,1176,10.3,.531,.378,.273,6.8,19.4,13.0,7.4,0.8,1.6,14.0,13.5,,0.9,1.5,2.4,.097,,-2.5,0.4,-2.0,0.0
10,Tyler Zeller\zellety01,26,60,710,15.4,.539,.000,.372,9.1,17.6,13.3,6.6,0.7,2.4,12.0,23.0,,0.8,0.9,1.7,.114,,-3.2,-1.1,-4.4,-0.4
11,David Lee\leeda02,32,30,470,15.5,.499,.005,.266,9.1,20.4,14.7,18.3,1.2,2.2,15.1,22.9,,0.2,0.7,0.9,.092,,-2.5,1.2,-1.3,0.1
12,R.J. Hunter\hunterj01,22,36,315,7.7,.480,.643,.071,0.7,12.0,6.2,5.9,2.2,1.0,9.8,15.1,,-0.1,0.4,0.3,.045,,-3.1,-0.4,-3.5,-0.1
13,Terry Rozier\roziete01,21,39,311,5.0,.326,.255,.094,8.1,13.5,10.8,16.5,0.9,0.3,14.7,17.7,,-0.6,0.3,-0.3,-0.047,,-5.9,-0.8,-6.6,-0.4
14,James Young\youngja01,20,29,199,3.6,.384,.722,.111,2.1,11.9,6.9,6.0,1.5,0.4,11.7,9.1,,-0.2,0.2,0.1,.013,,-4.7,0.1,-4.6,-0.1
15,Jordan Mickey\mickejo01,21,16,57,15.3,.398,.000,.455,11.0,13.3,12.1,2.6,0.0,15.1,3.6,20.5,,0.0,0.1,0.1,.068,,-7.3,4.1,-3.2,0.0
16,Coty Clarke\clarkco01,23,3,6,23.9,.750,.500,.000,0.0,18.0,8.8,0.0,0.0,0.0,20.0,35.5,,0.0,0.0,0.0,.025,,0.2,-9.7,-9.5,0.0
