No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Avery Bradley\bradlav01,SG,6-2,180,November 26 1990,us,5,University of Texas at Austin
63,Coty Clarke\clarkco01,SF,6-7,232,July 4 1992,us,R,University of Arkansas
99,Jae Crowder\crowdja01,SF,6-6,235,July 6 1990,us,3,Marquette University
30,John Holland\hollajo02,SF,6-5,205,November 6 1988,us,R,Boston University
28,R.J. Hunter\hunterj01,SG,6-5,185,October 24 1993,us,R,Georgia State University
8,Jonas Jerebko\jerebjo01,PF,6-10,231,March 2 1987,se,5,
90,Amir Johnson\johnsam01,PF,6-9,240,May 1 1987,us,10,
42,David Lee\leeda02,PF,6-9,245,April 29 1983,us,10,University of Florida
55,Jordan Mickey\mickejo01,PF,6-8,235,July 9 1994,us,R,Louisiana State University
41,Kelly Olynyk\olynyke01,C,7-0,240,April 19 1991,ca,2,Gonzaga University
12,Terry Rozier\roziete01,PG,6-1,190,March 17 1994,us,R,University of Louisville
36,Marcus Smart\smartma01,PG,6-4,220,March 6 1994,us,1,Oklahoma State University
7,Jared Sullinger\sullija01,PF,6-9,260,March 4 1992,us,3,Ohio State University
4,Isaiah Thomas\thomais02,PG,5-9,185,February 7 1989,us,4,University of Washington
11,Evan Turner\turneev01,SG,6-7,220,October 27 1988,us,5,Ohio State University
13,James Young\youngja01,SG,6-6,215,August 16 1995,us,1,University of Kentucky
44,Tyler Zeller\zellety01,C,7-0,253,January 17 1990,us,3,University of North Carolina
