No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
22,Matt Barnes\barnema02,SF,6-7,226,March 9 1980,us,11,University of California Los Angeles
25,Reggie Bullock\bullore01,SF,6-7,205,March 16 1991,us,1,University of North Carolina
11,Jamal Crawford\crawfja01,SG,6-5,185,March 20 1980,us,14,University of Michigan
9,Jared Cunningham\cunnija01,SG,6-4,195,May 22 1991,us,2,Oregon State University
0,Glen Davis\davisgl01,PF,6-9,289,January 1 1986,us,7,Louisiana State University
14,Chris Douglas-Roberts\douglch01,SG,6-7,200,January 8 1987,us,5,University of Memphis
1,Jordan Farmar\farmajo01,PG,6-2,180,November 30 1986,us,7,University of California Los Angeles
32,Blake Griffin\griffbl01,PF,6-10,250,March 16 1989,us,4,University of Oklahoma
1,Jordan Hamilton\hamiljo02,SF,6-7,220,October 6 1990,us,3,University of Texas at Austin
10,Spencer Hawes\hawessp01,PF,7-1,245,April 28 1988,us,7,University of Washington
14,Lester Hudson\hudsole01,SG,6-3,190,August 7 1984,us,3,University of Tennessee at Martin
31,Dahntay Jones\jonesda02,SF,6-6,225,December 27 1980,us,10,Rutgers University Duke University
6,DeAndre Jordan\jordade01,C,6-11,265,July 21 1988,us,6,Texas A&M University
3,Chris Paul\paulch01,PG,6-0,175,May 6 1985,us,9,Wake Forest University
4,J.J. Redick\redicjj01,SG,6-4,200,June 24 1984,us,8,Duke University
25,Austin Rivers\riverau01,PG,6-4,200,August 1 1992,us,2,Duke University
8,Nate Robinson\robinna01,PG,5-9,180,May 31 1984,us,9,University of Washington
15,Hedo Turkoglu\turkohe01,SF,6-10,220,March 19 1979,tr,14,
13,Ekpe Udoh\udohek01,PF,6-10,245,May 20 1987,us,4,University of Michigan Baylor University
30,C.J. Wilcox\wilcocj01,SG,6-5,195,December 30 1990,us,R,University of Washington
