Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Marc Gasol\gasolma01,30,81,2687,21.7,.558,.016,.410,4.9,21.8,13.4,19.7,1.4,4.0,12.2,24.6,,5.5,4.7,10.2,.182,,1.3,3.5,4.8,4.6
2,Courtney Lee\leeco01,29,77,2354,11.5,.555,.348,.201,1.0,7.6,4.3,9.8,1.7,0.4,10.0,15.2,,2.5,2.4,4.8,.099,,0.3,0.2,0.5,1.5
3,Zach Randolph\randoza01,33,71,2304,19.5,.538,.021,.320,11.2,25.8,18.5,11.4,1.6,0.5,12.8,24.3,,3.4,3.8,7.2,.149,,0.4,1.1,1.5,2.0
4,Mike Conley\conlemi01,27,70,2225,18.6,.558,.314,.282,1.5,9.2,5.4,28.0,2.1,0.5,13.6,23.7,,4.2,2.7,6.8,.147,,3.2,-0.5,2.7,2.6
5,Tony Allen\allento01,33,63,1648,14.6,.528,.064,.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,,0.9,3.2,4.1,.119,,-0.4,3.7,3.3,2.2
6,Beno Udrih\udrihbe01,32,79,1494,15.4,.550,.192,.202,1.5,9.4,5.5,24.0,1.6,0.4,13.9,19.6,,2.0,1.6,3.6,.115,,0.2,-1.0,-0.8,0.5
7,Jeff Green\greenje02,28,45,1361,14.2,.530,.280,.291,3.6,12.0,7.8,9.5,1.0,1.3,8.6,20.5,,1.7,1.5,3.1,.111,,0.3,-0.3,0.0,0.7
8,Kosta Koufos\koufoko01,25,81,1348,14.2,.530,.000,.237,10.3,25.8,18.1,4.3,1.1,3.9,14.9,15.8,,0.8,2.5,3.3,.118,,-3.4,1.9,-1.5,0.2
9,Vince Carter\cartevi01,38,66,1091,9.6,.445,.571,.140,2.8,11.1,7.0,11.1,2.1,1.1,9.1,19.9,,-0.5,1.4,1.0,.043,,-1.1,-0.3,-1.4,0.2
10,Nick Calathes\calatni01,25,58,838,12.3,.455,.174,.182,2.6,11.8,7.2,26.6,3.9,0.5,18.6,17.9,,-0.4,1.5,1.1,.065,,-2.1,1.8,-0.3,0.4
11,Jon Leuer\leuerjo01,25,63,824,11.9,.478,.106,.216,7.0,21.7,14.3,8.8,1.1,0.9,10.5,18.6,,0.2,1.2,1.3,.078,,-3.1,0.0,-3.1,-0.2
12,Tayshaun Prince\princta01,34,26,628,10.6,.484,.180,.164,3.8,11.2,7.5,8.9,0.7,0.8,7.1,15.4,,0.4,0.6,1.0,.073,,-1.8,-0.2,-2.0,0.0
13,Quincy Pondexter\pondequ01,26,30,540,7.1,.452,.541,.222,4.2,7.8,6.0,7.5,0.5,0.8,6.3,13.4,,0.2,0.4,0.6,.051,,-1.4,-1.0,-2.4,0.0
14,Jordan Adams\adamsjo01,20,30,248,12.8,.489,.291,.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,,0.0,0.4,0.4,.073,,-1.8,1.2,-0.6,0.1
15,JaMychal Green\greenja01,24,20,139,15.8,.608,.100,.250,13.2,18.8,16.0,4.7,1.9,1.8,21.3,18.6,,0.1,0.2,0.4,.127,,-1.5,0.2,-1.3,0.0
16,Jarnell Stokes\stokeja01,21,19,126,18.6,.578,.000,.757,14.6,16.3,15.4,5.2,2.1,3.3,12.4,20.5,,0.3,0.2,0.5,.186,,-0.2,0.7,0.5,0.1
17,Russ Smith\smithru01,23,6,36,22.7,.603,.333,.867,3.2,6.3,4.8,27.3,4.3,0.0,19.4,32.8,,0.1,0.1,0.2,.214,,3.4,-1.2,2.2,0.0
18,Tyrus Thomas\thomaty01,28,2,7,31.4,1.064,.000,2.000,0.0,0.0,0.0,22.5,0.0,0.0,0.0,12.3,,0.1,0.0,0.1,.477,,6.8,-8.5,-1.6,0.0
19,Kalin Lucas\lucaska01,25,1,6,-0.7,.000,.000,.000,0.0,0.0,0.0,0.0,8.7,0.0,0.0,7.6,,0.0,0.0,0.0,-0.057,,-7.9,6.6,-1.3,0.0
