No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Jordan Adams\adamsjo01,SG,6-5,209,July 8 1994,us,1,University of California Los Angeles
9,Tony Allen\allento01,SG,6-4,213,January 11 1982,us,11,Butler County Community College Oklahoma State University
7,Chris Andersen\anderch01,C,6-10,245,July 7 1978,us,13,Blinn College
22,Matt Barnes\barnema02,SF,6-7,226,March 9 1980,us,12,University of California Los Angeles
15,Vince Carter\cartevi01,SG,6-6,220,January 26 1977,us,17,University of North Carolina
6,Mario Chalmers\chalmma01,PG,6-2,190,May 19 1986,us,7,University of Kansas
11,Mike Conley\conlemi01,PG,6-1,175,October 11 1987,us,8,Ohio State University
8,Bryce Cotton\cottobr01,PG,6-1,165,August 11 1992,us,1,Providence College
8,James Ennis\ennisja01,SF,6-7,210,July 1 1990,us,1,California State University Long Beach
4,Jordan Farmar\farmajo01,PG,6-2,180,November 30 1986,us,8,University of California Los Angeles
33,Marc Gasol\gasolma01,C,7-1,255,January 29 1985,es,7,
0,JaMychal Green\greenja01,PF,6-9,227,June 21 1990,us,1,University of Alabama
32,Jeff Green\greenje02,SF,6-9,235,August 28 1986,us,7,Georgetown University
19,P.J. Hairston\hairspj02,SF,6-6,230,December 24 1992,us,1,University of North Carolina
20,Ryan Hollins\holliry01,C,7-0,240,October 10 1984,us,9,University of California Los Angeles
5,Courtney Lee\leeco01,SG,6-5,215,October 3 1985,us,7,Western Kentucky University
10,Jarell Martin\martija01,PF,6-10,239,May 24 1994,us,R,Louisiana State University
5,Ray McCallum\mccalra01,PG,6-3,190,June 12 1991,us,2,University of Detroit Mercy
14,Xavier Munford\munfoxa02,SG,6-2,180,June 1 1992,us,R,University of Rhode Island
50,Zach Randolph\randoza01,PF,6-9,250,July 16 1981,us,14,Michigan State University
2,Russ Smith\smithru01,PG,6-0,165,April 19 1991,us,1,University of Louisville
1,Lance Stephenson\stephla01,SF,6-6,230,September 5 1990,us,5,University of Cincinnati
35,Alex Stepheson\stephal01,PF,6-10,270,August 7 1987,us,R,University of North Carolina University of Southern California
1,Jarnell Stokes\stokeja01,C,6-9,263,January 7 1994,us,1,University of Tennessee
19,Beno Udrih\udrihbe01,PG,6-3,205,July 5 1982,si,11,
2,Briante Weber\weberbr01,PG,6-2,165,December 29 1992,us,R,Virginia Commonwealth University
25,Elliot Williams\williel01,PG,6-5,190,June 20 1989,us,3,Duke University University of Memphis
34,Brandan Wright\wrighbr03,PF,6-10,210,October 5 1987,us,7,University of North Carolina
