Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jeff Teague\teaguje01,25,79,2542,17.1,.541,.216,.362,1.6,7.9,4.7,35.1,1.8,0.5,16.1,25.7,,3.3,1.9,5.2,.098,,0.9,-2.0,-1.1,0.6
2,Paul Millsap\millspa01,28,74,2482,19.8,.545,.202,.373,7.2,21.9,14.6,16.2,2.6,2.5,13.2,25.7,,2.7,4.0,6.7,.129,,0.7,2.4,3.1,3.2
3,Kyle Korver\korveky01,32,71,2408,13.5,.653,.644,.154,1.1,12.4,6.8,13.3,1.5,0.8,13.6,14.2,,3.9,2.0,5.9,.118,,2.0,0.2,2.2,2.5
4,DeMarre Carroll\carrode01,27,73,2341,13.9,.575,.417,.220,5.3,14.5,10.0,8.9,2.3,0.7,10.1,15.2,,3.2,2.6,5.8,.119,,1.0,1.1,2.1,2.4
5,Shelvin Mack\macksh01,23,73,1490,13.2,.510,.367,.148,1.6,10.7,6.2,28.8,1.7,0.1,14.3,19.0,,1.2,1.2,2.3,.074,,-0.7,-1.7,-2.4,-0.1
6,Mike Scott\scottmi01,25,80,1482,15.3,.559,.318,.210,4.9,17.2,11.1,8.9,1.0,0.4,10.3,23.5,,1.3,1.2,2.6,.084,,-0.7,-2.3,-3.0,-0.4
7,Lou Williams\willilo02,27,60,1445,14.2,.547,.469,.363,0.8,9.1,5.0,22.9,1.6,0.2,13.9,20.9,,1.6,1.0,2.6,.087,,0.3,-2.1,-1.8,0.1
8,Elton Brand\brandel01,34,73,1414,14.0,.561,.006,.283,8.0,21.5,14.8,8.1,1.4,4.9,13.8,13.9,,1.4,2.1,3.6,.121,,-2.7,3.1,0.5,0.9
9,Al Horford\horfoal01,27,29,958,22.0,.588,.026,.202,8.0,21.4,14.8,15.2,1.4,3.6,12.3,24.7,,1.5,1.3,2.8,.141,,0.8,2.0,2.8,1.1
10,Pero Antic\anticpe01,31,50,925,11.7,.545,.582,.224,7.2,18.9,13.1,9.8,1.0,1.0,14.5,18.6,,0.5,0.9,1.4,.075,,-0.5,-0.9,-1.4,0.1
11,Cartier Martin\martica01,29,53,822,10.9,.555,.570,.238,1.7,13.0,7.4,5.9,1.6,0.7,10.4,17.5,,0.4,0.7,1.1,.064,,-1.3,-1.5,-2.9,-0.2
12,Dennis Schroder\schrode01,20,49,641,5.8,.442,.223,.229,0.9,9.9,5.4,22.0,1.3,0.0,22.8,19.0,,-1.1,0.4,-0.7,-0.054,,-6.2,-2.1,-8.3,-1.0
13,Gustavo Ayon\ayongu01,28,26,429,12.9,.505,.000,.196,11.4,22.3,16.9,10.0,3.0,1.8,20.7,14.8,,0.0,0.7,0.7,.078,,-3.2,3.0,-0.2,0.2
14,Mike Muscala\muscami01,22,20,215,10.8,.480,.041,.192,9.2,18.7,14.0,5.2,0.7,3.7,13.2,19.3,,-0.1,0.2,0.2,.040,,-5.6,-0.4,-6.0,-0.2
15,John Jenkins\jenkijo01,22,13,158,4.7,.457,.429,.095,2.2,13.8,8.1,10.4,0.3,0.5,20.1,15.8,,-0.2,0.1,-0.1,-0.043,,-5.7,-1.8,-7.5,-0.2
16,James Nunnally\nunnaja01,23,4,54,6.2,.455,.556,.222,2.2,14.9,8.6,5.6,0.9,1.5,16.8,20.0,,-0.1,0.0,-0.1,-0.055,,-5.9,-2.2,-8.1,-0.1
17,Jared Cunningham\cunnija01,22,5,22,-1.8,.347,.500,1.000,0.0,5.2,2.6,18.8,0.0,0.0,41.0,10.1,,-0.1,0.0,-0.1,-0.110,,-8.8,-3.5,-12.4,-0.1
18,Dexter Pittman\pittmde01,25,2,3,13.1,.000,.000,2.000,100.0,0.0,57.9,0.0,0.0,0.0,0.0,28.5,,0.0,0.0,0.0,-0.180,,-5.4,-17.3,-22.7,0.0
