No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Kent Bazemore\bazemke01,SF,6-5,201,July 1 1989,us,4,Old Dominion University
95,DeAndre' Bembry\bembrde01,SF,6-6,210,July 4 1994,us,R,Saint Joseph's University
13,Jose Calderon\caldejo01,PG,6-3,200,September 28 1981,es,11,
5,Malcolm Delaney\delanma01,PG,6-3,190,March 11 1989,us,R,Virginia Polytechnic Institute and State University
34,Mike Dunleavy\dunlemi02,SF,6-9,230,September 15 1980,us,14,Duke University
10,Tim Hardaway\hardati02,SG,6-6,205,March 16 1992,us,3,University of Michigan
8,Dwight Howard\howardw01,C,6-11,265,December 8 1985,us,12,
43,Kris Humphries\humphkr01,PF,6-9,235,February 6 1985,us,12,University of Minnesota
7,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,8,
30,Ryan Kelly\kellyry01,PF,6-11,230,April 9 1991,us,3,Duke University
26,Kyle Korver\korveky01,SG,6-7,212,March 17 1981,us,13,Creighton University
4,Paul Millsap\millspa01,PF,6-8,246,February 10 1985,us,10,Louisiana Tech University
31,Mike Muscala\muscami01,C,6-11,240,July 1 1991,us,3,Bucknell University
14,Gary Neal\nealga01,SG,6-4,210,October 3 1984,us,6,La Salle University Towson University
13,Lamar Patterson\pattela01,SG,6-5,225,August 12 1991,us,1,University of Pittsburgh
17,Dennis Schroder\schrode01,PG,6-1,172,September 15 1993,de,3,
32,Mike Scott\scottmi01,PF,6-8,237,July 16 1988,us,4,University of Virginia
25,Thabo Sefolosha\sefolth01,SF,6-7,220,May 2 1984,ch,10,
22,Edy Tavares\tavarwa01,C,7-3,260,March 22 1992,cv,1,
12,Taurean Waller-Prince\princta02,SF,6-8,220,March 22 1994,us,R,Baylor University
