Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James\jamesle01,29,77,2902,29.3,.649,.226,.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,,12.3,3.7,15.9,.264,,8.0,0.9,8.9,8.0
2,Chris Bosh\boshch01,29,79,2531,19.0,.597,.229,.285,5.1,20.3,13.0,5.8,1.7,2.7,10.4,22.6,,4.6,3.4,8.0,.152,,0.5,0.0,0.5,1.6
3,Mario Chalmers\chalmma01,27,73,2178,14.0,.567,.404,.291,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,,2.4,2.5,4.8,.106,,1.0,0.2,1.2,1.7
4,Norris Cole\coleno01,25,82,2014,8.8,.497,.348,.136,1.1,8.6,5.0,17.9,2.0,0.2,19.3,15.6,,-0.5,1.7,1.2,.029,,-2.2,-0.8,-3.0,-0.5
5,Ray Allen\allenra02,38,73,1936,12.8,.590,.569,.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,,2.5,1.5,4.1,.101,,1.3,-1.2,0.1,1.0
6,Dwyane Wade\wadedw01,32,54,1775,22.0,.588,.042,.339,4.4,12.3,8.5,25.5,2.3,1.4,15.5,27.9,,3.5,2.0,5.5,.149,,1.9,0.3,2.3,1.9
7,Shane Battier\battish01,35,73,1468,8.7,.523,.764,.084,3.0,8.6,5.9,6.0,1.8,2.3,6.9,10.0,,1.0,1.4,2.4,.078,,0.1,0.7,0.8,1.1
8,Chris Andersen\anderch01,35,72,1396,18.5,.683,.044,.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,,3.8,2.2,6.0,.205,,0.1,1.5,1.6,1.3
9,Rashard Lewis\lewisra02,34,60,971,10.7,.535,.568,.140,3.2,10.7,7.1,8.5,2.9,0.7,12.3,14.1,,0.5,1.1,1.7,.083,,-0.2,0.2,0.1,0.5
10,Michael Beasley\beaslmi01,25,55,831,16.8,.559,.152,.223,4.9,20.5,13.0,8.8,1.5,2.2,12.8,25.7,,0.5,1.1,1.6,.092,,-2.2,-1.2,-3.5,-0.3
11,Udonis Haslem\hasleud01,33,46,653,10.5,.523,.000,.301,8.4,24.7,16.8,2.9,0.9,2.0,12.7,13.9,,0.3,0.8,1.1,.083,,-4.1,-0.7,-4.9,-0.5
12,Toney Douglas\douglto01,27,27,410,10.9,.494,.413,.250,4.5,13.9,9.3,17.3,1.7,0.6,13.5,15.6,,0.3,0.4,0.7,.083,,-0.8,-0.5,-1.4,0.1
13,Roger Mason\masonro01,33,25,260,8.2,.528,.716,.104,0.5,9.8,5.3,10.5,1.2,0.3,11.4,14.5,,0.1,0.2,0.3,.055,,-1.0,-2.4,-3.4,-0.1
14,James Jones\jonesja02,33,20,236,15.4,.666,.794,.162,1.1,10.8,6.1,5.8,0.7,1.5,5.2,15.6,,0.6,0.1,0.7,.147,,2.9,-2.8,0.0,0.1
15,Greg Oden\odengr01,26,23,212,12.4,.567,.000,.469,14.2,17.7,16.0,0.7,1.7,5.3,16.9,16.0,,0.2,0.3,0.5,.119,,-3.3,-0.3,-3.6,-0.1
16,Justin Hamilton\hamilju01,23,7,68,12.6,.586,.450,.250,7.7,5.3,6.5,0.0,3.1,0.0,11.9,17.7,,0.1,0.1,0.1,.105,,-0.5,-3.7,-4.2,0.0
17,Joel Anthony\anthojo01,31,12,37,8.0,.436,.000,.333,7.1,16.4,11.9,0.0,0.0,9.4,12.7,10.2,,0.0,0.0,0.0,.049,,-7.3,0.8,-6.6,0.0
18,DeAndre Liggins\liggide01,25,1,1,129.1,1.000,.000,.000,100.0,0.0,62.8,0.0,0.0,0.0,0.0,47.8,,0.0,0.0,0.0,2.123,,47.8,-23.1,24.8,0.0
