No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Bam Adebayo\adebaba01,C,6-10,255,July 18 1997,us,R,University of Kentucky
22,Luke Babbitt\babbilu01,SF,6-9,225,June 20 1989,us,7,University of Nevada Reno
7,Goran Dragic\dragigo01,PG,6-3,190,May 6 1986,si,9,
2,Wayne Ellington\ellinwa01,SG,6-5,200,November 29 1987,us,8,University of North Carolina
40,Udonis Haslem\hasleud01,C,6-8,235,June 9 1980,us,14,University of Florida
16,James Johnson\johnsja01,PF,6-8,240,February 20 1987,us,8,Wake Forest University
8,Tyler Johnson\johnsty01,PG,6-4,190,May 7 1992,us,3,California State University Fresno
5,Derrick Jones\jonesde02,SF,6-7,200,February 15 1997,us,1,University of Nevada Las Vegas
17,Rodney McGruder\mcgruro01,SG,6-4,200,July 29 1991,us,1,Kansas State University
25,Jordan Mickey\mickejo01,PF,6-8,235,July 9 1994,us,2,Louisiana State University
9,Kelly Olynyk\olynyke01,PF,7-0,240,April 19 1991,ca,4,Gonzaga University
0,Josh Richardson\richajo01,SF,6-6,200,September 15 1993,us,2,University of Tennessee
3,Dwyane Wade\wadedw01,SG,6-4,220,January 17 1982,us,14,Marquette University
11,Dion Waiters\waitedi01,SG,6-4,215,December 10 1991,us,5,Syracuse University
14,Derrick Walton\waltode01,PG,6-1,189,April 3 1995,us,R,University of Michigan
15,Okaro White\whiteok01,PF,6-8,205,August 13 1992,us,1,Florida State University
21,Hassan Whiteside\whiteha01,C,7-0,265,June 13 1989,us,5,Marshall University
12,Matt Williams\willima05,SG,6-5,210,October 14 1993,us,R,University of Central Florida
20,Justise Winslow\winslju01,PF,6-7,225,March 26 1996,us,2,Duke University
