Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kemba Walker\walkeke02,27,80,2736,20.6,.572,.441,.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,,6.5,2.0,8.6,.150,,5.1,-1.9,3.2,3.6
2,Dwight Howard\howardw01,32,81,2463,20.5,.577,.008,.639,11.0,33.8,22.2,7.1,1.0,4.4,15.1,24.2,,2.9,3.9,6.8,.132,,-2.0,1.7,-0.3,1.1
3,Marvin Williams\willima02,31,78,2006,13.9,.603,.542,.218,3.9,16.2,10.0,7.0,1.4,1.6,9.7,14.8,,3.1,1.9,5.0,.119,,1.1,0.5,1.7,1.9
4,Nicolas Batum\batumni01,29,64,1981,14.4,.523,.422,.200,3.1,13.8,8.4,26.2,1.6,1.0,15.6,18.3,,1.7,1.8,3.5,.084,,0.9,0.5,1.4,1.7
5,Jeremy Lamb\lambje01,25,80,1967,17.0,.559,.305,.250,2.7,15.4,8.9,15.4,1.5,1.4,9.1,22.4,,3.0,1.9,4.9,.120,,1.2,-0.2,0.9,1.5
6,Michael Kidd-Gilchrist\kiddgmi01,24,74,1850,12.5,.536,.004,.305,4.8,13.0,8.8,5.9,1.3,1.4,7.7,16.1,,1.7,1.6,3.3,.084,,-2.0,0.3,-1.8,0.1
7,Frank Kaminsky\kaminfr01,24,79,1835,14.4,.545,.383,.271,2.7,14.5,8.5,11.0,1.0,0.9,7.6,20.5,,2.3,1.3,3.6,.094,,0.3,-1.2,-0.9,0.5
8,Treveon Graham\grahatr01,24,63,1050,9.0,.553,.439,.267,4.3,8.3,6.2,7.8,1.5,0.2,9.9,11.3,,1.1,0.7,1.8,.080,,-0.6,-0.3,-0.9,0.3
9,Malik Monk\monkma01,19,63,854,10.3,.477,.572,.089,1.0,7.5,4.2,16.9,1.1,0.9,10.0,24.9,,-0.5,0.5,0.0,.000,,-1.0,-3.4,-4.4,-0.5
10,Michael Carter-Williams\cartemi01,26,52,835,10.8,.446,.258,.389,4.7,13.3,8.9,19.4,2.6,2.3,16.2,16.6,,-0.2,1.1,0.9,.050,,-2.6,2.0,-0.6,0.3
11,Dwayne Bacon\bacondw01,22,53,713,5.8,.431,.224,.130,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,,-0.7,0.6,-0.1,-0.007,,-5.4,-0.3,-5.7,-0.7
12,Cody Zeller\zelleco01,25,33,627,15.9,.602,.019,.545,11.4,19.3,15.3,7.4,1.1,2.8,14.6,15.7,,1.2,0.7,1.9,.145,,-0.6,1.3,0.7,0.4
13,Johnny O'Bryant\obryajo01,24,36,379,11.9,.470,.251,.146,8.1,18.6,13.3,5.9,1.2,1.3,7.6,22.5,,-0.1,0.4,0.3,.038,,-3.2,-2.0,-5.3,-0.3
14,Willy Hernangomez\hernawi01,23,22,262,25.0,.612,.084,.747,15.8,32.4,24.0,7.1,1.9,2.9,7.5,19.7,,1.0,0.4,1.5,.266,,1.4,0.8,2.2,0.3
15,Julyan Stone\stoneju01,29,23,175,7.6,.684,1.000,.154,0.6,17.6,9.0,19.2,1.1,1.0,33.5,5.2,,0.2,0.2,0.3,.087,,-2.1,0.3,-1.8,0.0
16,Marcus Paige\paigema01,24,5,28,9.1,.403,.571,.143,0.0,15.7,7.7,16.1,0.0,0.0,0.0,23.0,,0.0,0.0,0.0,-0.006,,-2.4,-4.4,-6.9,0.0
17,Mangok Mathiang\mathima01,25,4,20,18.0,.538,.000,.143,16.0,38.5,27.1,0.0,2.4,0.0,0.0,16.1,,0.0,0.0,0.1,.183,,-4.1,-5.7,-9.8,0.0
