No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Nicolas Batum\batumni01,SF,6-8,200,December 14 1988,fr,7,
30,Troy Daniels\danietr01,SG,6-4,205,July 15 1991,us,2,Virginia Commonwealth University
12,Jorge Gutierrez\gutiejo01,PG,6-3,191,December 27 1988,mx,2,University of California
19,P.J. Hairston\hairspj02,SF,6-6,230,December 24 1992,us,1,University of North Carolina
50,Tyler Hansbrough\hansbty01,PF,6-9,250,November 3 1985,us,6,University of North Carolina
9,Aaron Harrison\harriaa01,SG,6-6,210,October 28 1994,us,R,University of Kentucky
00,Spencer Hawes\hawessp01,PF,7-1,245,April 28 1988,us,8,University of Washington
25,Al Jefferson\jeffeal01,C,6-10,289,January 4 1985,us,11,
44,Frank Kaminsky\kaminfr01,C,7-0,242,April 4 1993,us,R,University of Wisconsin
14,Michael Kidd-Gilchrist\kiddgmi01,SF,6-7,232,September 26 1993,us,3,University of Kentucky
3,Jeremy Lamb\lambje01,SG,6-5,185,May 30 1992,us,3,University of Connecticut
1,Courtney Lee\leeco01,SG,6-5,215,October 3 1985,us,7,Western Kentucky University
7,Jeremy Lin\linje01,SG,6-3,200,August 23 1988,us,5,Harvard University
22,Brian Roberts\roberbr01,PG,6-1,173,December 3 1985,us,3,University of Dayton
15,Kemba Walker\walkeke02,PG,6-1,184,May 8 1990,us,4,University of Connecticut
2,Marvin Williams\willima02,PF,6-9,237,June 19 1986,us,10,University of North Carolina
40,Cody Zeller\zelleco01,C,7-0,240,October 5 1992,us,2,Indiana University
