No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
33,Trevor Booker\booketr01,PF,6-8,228,November 25 1987,us,5,Clemson University
3,Trey Burke\burketr01,PG,6-1,175,November 12 1992,us,2,University of Michigan
10,Alec Burks\burksal01,SG,6-6,214,July 20 1991,us,4,University of Colorado
15,Derrick Favors\favorde01,PF,6-10,265,July 15 1991,us,5,Georgia Institute of Technology
27,Rudy Gobert\goberru01,C,7-1,245,June 26 1992,fr,2,
18,Erick Green\greener01,PG,6-4,185,May 9 1991,us,1,Virginia Polytechnic Institute and State University
20,Gordon Hayward\haywago01,SF,6-8,225,March 23 1990,us,5,Butler University
5,Rodney Hood\hoodro01,SG,6-8,206,October 20 1992,us,1,Mississippi State University Duke University
2,Joe Ingles\inglejo01,SF,6-8,226,October 2 1987,au,1,
23,Chris Johnson\johnsch04,SF,6-6,206,April 29 1990,us,3,University of Dayton
41,Trey Lyles\lylestr01,PF,6-10,234,November 5 1995,ca,R,University of Kentucky
8,Shelvin Mack\macksh01,PG,6-3,203,April 22 1990,us,4,Butler University
13,Elijah Millsap\millsel01,SG,6-6,225,August 12 1987,us,1,University of Louisiana at Lafayette University of Alabama at Birmingham
25,Raul Neto\netora01,PG,6-1,179,May 19 1992,br,R,
22,J.J. O'Brien\obriejj01,SF,6-7,228,April 8 1992,us,R,San Diego State University
21,Tibor Pleiss\pleisti01,C,7-3,256,November 2 1989,de,R,
24,Jeff Withey\witheje01,C,7-0,231,March 7 1990,us,2,University of Kansas
