No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Quincy Acy\acyqu01,SF,6-7,240,October 6 1990,us,1,Baylor University
15,DeMarcus Cousins\couside01,C,6-11,270,August 13 1990,us,3,University of Kentucky
9,Jared Cunningham\cunnija01,SG,6-4,195,May 22 1991,us,1,Oregon State University
30,Reggie Evans\evansre01,PF,6-8,245,May 18 1980,us,11,University of Iowa
7,Jimmer Fredette\fredeji01,SG,6-2,195,February 25 1989,us,2,Brigham Young University
8,Rudy Gay\gayru01,SF,6-8,230,August 17 1986,us,7,University of Connecticut
33,Aaron Gray\grayaa01,C,7-0,270,December 7 1984,us,6,University of Pittsburgh
42,Chuck Hayes\hayesch01,C,6-6,240,June 11 1983,us,8,University of Kentucky
0,Orlando Johnson\johnsor01,SG,6-5,220,March 11 1989,us,1,Loyola Marymount University University of California Santa Barbara
24,Carl Landry\landrca01,PF,6-9,248,September 19 1983,us,6,Purdue University
33,Luc Mbah a Moute\mbahalu01,SF,6-8,230,September 9 1986,cm,5,University of California Los Angeles
3,Ray McCallum\mccalra01,PG,6-3,190,June 12 1991,us,R,University of Detroit Mercy
16,Ben McLemore\mclembe01,SG,6-5,201,February 11 1993,us,R,University of Kansas
55,Hamady N'Diaye\ndiayha01,C,7-0,235,January 12 1987,sn,2,Rutgers University
25,Travis Outlaw\outlatr01,SF,6-9,210,September 18 1984,us,10,
9,Patrick Patterson\pattepa01,PF,6-9,230,March 14 1989,us,3,University of Kentucky
5,John Salmons\salmojo01,SF,6-7,210,December 12 1979,us,11,University of Miami
22,Isaiah Thomas\thomais02,PG,5-9,185,February 7 1989,us,2,University of Washington
34,Jason Thompson\thompja02,PF,6-11,250,July 21 1986,us,5,Rider University
23,Marcus Thornton\thornma01,SG,6-4,205,June 5 1987,us,4,Louisiana State University
10,Greivis Vasquez\vasqugr01,PG,6-6,217,January 16 1987,ve,3,University of Maryland
35,Royce White\whitero03,PF,6-8,270,April 10 1991,us,R,Iowa State University
13,Derrick Williams\willide02,SF,6-8,240,May 25 1991,us,2,University of Arizona
