Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Courtney Lee\leeco01,32,76,2310,13.0,.564,.368,.164,1.4,9.3,5.4,11.3,1.7,0.6,9.4,16.9,,2.7,1.2,3.9,.082,,0.8,-0.7,0.0,1.2
2,Tim Hardaway\hardati02,25,57,1885,14.4,.533,.479,.209,1.9,11.3,6.6,12.7,1.6,0.5,9.0,23.8,,1.6,1.1,2.6,.067,,1.7,-1.8,-0.1,0.9
3,Enes Kanter\kanteen01,25,71,1830,24.0,.630,.003,.258,16.6,30.6,23.6,9.4,1.0,1.7,13.3,21.8,,5.5,2.1,7.6,.198,,2.4,0.1,2.5,2.1
4,Frank Ntilikina\ntilila01,19,78,1706,7.0,.437,.314,.136,2.4,9.1,5.8,20.0,1.9,0.9,19.8,16.9,,-2.0,1.1,-0.9,-0.026,,-3.5,-0.5,-3.9,-0.8
5,Michael Beasley\beaslmi01,29,74,1653,17.8,.556,.107,.197,6.5,21.2,13.9,12.5,1.1,2.3,14.0,26.9,,0.9,1.5,2.4,.069,,-1.0,-0.4,-1.5,0.2
6,Kristaps Porzingis\porzikr01,22,48,1553,20.4,.539,.256,.309,4.4,18.1,11.3,6.2,1.1,6.4,8.4,31.0,,1.4,1.8,3.2,.099,,-0.5,-0.2,-0.7,0.5
7,Jarrett Jack\jackja01,34,62,1548,11.5,.489,.194,.169,1.6,12.1,6.8,31.3,1.1,0.2,19.5,16.7,,0.5,0.7,1.2,.036,,-1.9,-1.7,-3.5,-0.6
8,Kyle O'Quinn\oquinky01,27,77,1387,20.0,.625,.044,.331,9.7,27.8,18.8,16.8,1.3,6.1,18.5,17.0,,2.7,2.1,4.8,.166,,0.2,4.3,4.5,2.3
9,Lance Thomas\thomala01,29,73,1353,6.3,.513,.464,.199,3.6,10.7,7.2,4.2,1.1,0.9,12.1,10.7,,0.3,0.6,0.9,.031,,-2.1,-0.5,-2.6,-0.2
10,Doug McDermott\mcderdo01,26,55,1172,9.9,.562,.418,.162,3.1,9.5,6.3,6.0,0.4,0.9,8.8,14.4,,1.1,0.3,1.3,.055,,-0.6,-1.9,-2.5,-0.1
11,Trey Burke\burketr01,25,36,785,21.0,.563,.273,.148,1.8,8.2,5.0,36.4,1.5,0.4,9.5,25.1,,2.0,0.3,2.4,.145,,4.2,-3.2,1.0,0.6
12,Emmanuel Mudiay\mudiaem01,21,22,493,10.2,.428,.225,.250,2.3,10.8,6.5,25.0,2.0,1.2,15.3,23.7,,-0.7,0.4,-0.3,-0.034,,-3.3,-0.9,-4.3,-0.3
13,Damyean Dotson\dotsoda01,23,44,474,11.6,.532,.422,.143,2.1,17.5,9.8,9.5,1.3,0.4,9.0,17.3,,0.3,0.3,0.6,.060,,-1.4,-1.7,-3.1,-0.1
14,Ron Baker\bakerro01,24,29,385,9.3,.504,.559,.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10.0,,0.1,0.4,0.5,.059,,-1.9,0.9,-1.0,0.1
15,Luke Kornet\kornelu01,22,20,326,13.6,.516,.632,.088,3.8,18.0,10.9,11.6,0.9,4.2,8.5,19.0,,0.2,0.3,0.5,.077,,0.1,0.1,0.2,0.2
16,Troy Williams\willitr02,23,17,290,16.2,.572,.330,.270,8.1,14.5,11.3,7.7,3.2,1.2,13.9,19.6,,0.3,0.3,0.6,.105,,0.6,0.3,0.9,0.2
17,Isaiah Hicks\hicksis01,23,18,240,6.8,.501,.125,.250,4.6,14.3,9.5,9.5,0.4,1.4,16.7,17.4,,-0.1,0.1,0.0,-0.003,,-4.3,-1.4,-5.6,-0.2
18,Willy Hernangomez\hernawi01,23,26,233,16.9,.595,.062,.346,10.5,21.3,15.9,14.3,1.7,2.6,21.8,22.4,,0.1,0.3,0.3,.069,,-1.4,0.8,-0.6,0.1
19,Ramon Sessions\sessira01,31,13,167,6.2,.403,.208,.283,0.7,11.2,6.0,21.9,2.1,0.5,20.1,19.5,,-0.3,0.1,-0.2,-0.065,,-5.9,-1.2,-7.1,-0.2
20,Joakim Noah\noahjo01,32,7,40,15.6,.510,.000,.400,16.7,22.1,19.4,14.0,2.5,4.3,25.4,17.2,,0.0,0.1,0.1,.072,,-2.4,3.4,1.0,0.0
21,Mindaugas Kuzminskas\kuzmimi01,28,1,2,-41.1,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,,0.0,0.0,0.0,-1.065,,-36.6,-12.7,-49.3,0.0
