No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
31,Ron Baker\bakerro01,SG,6-4,220,March 30 1993,us,1,Wichita State University
8,Michael Beasley\beaslmi01,PF,6-9,235,January 9 1989,us,9,Kansas State University
23,Trey Burke\burketr01,PG,6-1,175,November 12 1992,us,4,University of Michigan
21,Damyean Dotson\dotsoda01,SG,6-6,210,May 6 1994,us,R,University of Oregon University of Houston
3,Tim Hardaway\hardati02,SG,6-6,205,March 16 1992,us,4,University of Michigan
14,Willy Hernangomez\hernawi01,C,6-11,240,May 27 1994,es,1,
4,Isaiah Hicks\hicksis01,PF,6-9,230,July 24 1994,us,R,University of North Carolina
55,Jarrett Jack\jackja01,PG,6-3,200,October 28 1983,us,12,Georgia Institute of Technology
00,Enes Kanter\kanteen01,C,6-11,250,May 20 1992,ch,6,
2,Luke Kornet\kornelu01,PF,7-1,250,July 15 1995,us,R,Vanderbilt University
91,Mindaugas Kuzminskas\kuzmimi01,SF,6-9,215,October 19 1989,lt,1,
5,Courtney Lee\leeco01,SG,6-5,215,October 3 1985,us,9,Western Kentucky University
20,Doug McDermott\mcderdo01,SF,6-8,225,January 3 1992,us,3,Creighton University
1,Emmanuel Mudiay\mudiaem01,PG,6-5,200,March 5 1996,cd,2,
13,Joakim Noah\noahjo01,C,6-11,230,February 25 1985,us,10,University of Florida
11,Frank Ntilikina\ntilila01,PG,6-6,200,July 28 1998,be,R,
9,Kyle O'Quinn\oquinky01,C,6-10,250,March 26 1990,us,5,Norfolk State University
6,Kristaps Porzingis\porzikr01,PF,7-3,240,August 2 1995,lv,2,
1,Ramon Sessions\sessira01,PG,6-3,190,April 11 1986,us,10,University of Nevada Reno
42,Lance Thomas\thomala01,PF,6-8,240,April 24 1988,us,6,Duke University
0,Troy Williams\willitr02,SF,6-7,218,December 30 1994,us,1,Indiana University
