No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Brandon Bass\bassbr01,PF,6-8,250,April 30 1985,us,10,Louisiana State University
28,Tarik Black\blackta01,C,6-9,250,November 22 1991,us,1,University of Memphis University of Kansas
3,Anthony Brown\brownan02,SF,6-7,210,October 10 1992,us,R,Stanford University
24,Kobe Bryant\bryanko01,SF,6-6,212,August 23 1978,us,19,
6,Jordan Clarkson\clarkjo01,SG,6-5,194,June 7 1992,us,1,University of Tulsa University of Missouri
17,Roy Hibbert\hibbero01,C,7-2,270,December 11 1986,us,7,Georgetown University
9,Marcelo Huertas\huertma01,PG,6-3,200,May 25 1983,br,R,
4,Ryan Kelly\kellyry01,PF,6-11,230,April 9 1991,us,2,Duke University
7,Larry Nance\nancela02,PF,6-9,230,January 1 1993,us,R,University of Wyoming
30,Julius Randle\randlju01,PF,6-9,250,November 29 1994,us,1,University of Kentucky
1,D'Angelo Russell\russeda01,PG,6-5,198,February 23 1996,us,R,Ohio State University
50,Robert Sacre\sacrero01,C,7-0,270,June 6 1989,us,3,Gonzaga University
23,Lou Williams\willilo02,SG,6-1,175,October 27 1986,us,10,
37,Metta World Peace\artesro01,SF,6-6,260,November 13 1979,us,15,St. John's University
0,Nick Young\youngni01,SG,6-7,210,June 1 1985,us,8,University of Southern California
