Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jonathon Simmons\simmojo02,28,69,2029,12.7,.555,.268,.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22.0,,0.8,1.1,1.9,.045,,-1.0,-1.3,-2.3,-0.2
2,Aaron Gordon\gordoaa01,22,58,1909,16.5,.530,.395,.260,5.0,21.5,13.2,11.7,1.5,1.9,10.0,24.7,,0.9,2.0,2.9,.072,,0.0,0.0,0.0,1.0
3,Evan Fournier\fournev01,25,57,1837,15.5,.577,.418,.216,1.4,9.5,5.4,14.8,1.3,0.7,9.8,23.3,,2.4,0.9,3.3,.087,,1.6,-2.1,-0.4,0.7
4,D.J. Augustin\augusdj01,30,75,1760,15.4,.615,.504,.350,1.9,8.2,5.0,24.4,1.5,0.0,16.5,18.6,,3.3,0.8,4.1,.110,,1.5,-2.5,-0.9,0.5
5,Nikola Vucevic\vucevni01,27,57,1683,19.7,.533,.243,.112,6.6,27.8,17.1,19.9,1.6,3.0,11.0,25.9,,1.3,2.3,3.6,.102,,0.6,2.1,2.7,2.0
6,Mario Hezonja\hezonma01,22,75,1657,13.7,.544,.433,.170,2.7,16.1,9.3,10.0,2.4,1.5,11.5,19.9,,0.5,1.8,2.3,.066,,-1.0,0.2,-0.8,0.5
7,Bismack Biyombo\biyombi01,25,82,1495,14.1,.556,.003,.446,10.5,24.0,17.2,6.5,0.7,5.1,16.6,14.9,,1.1,1.8,2.9,.094,,-3.7,2.1,-1.6,0.2
8,Shelvin Mack\macksh01,27,69,1365,13.3,.518,.336,.234,1.8,11.6,6.7,29.5,1.9,0.5,16.3,17.6,,1.0,1.0,1.9,.069,,-1.2,-1.2,-2.4,-0.1
9,Elfrid Payton\paytoel01,23,44,1257,18.1,.564,.146,.249,4.1,11.2,7.6,35.5,2.5,1.0,18.3,21.8,,1.6,1.1,2.7,.104,,1.0,0.1,1.1,1.0
10,Wesley Iwundu\iwundwe01,23,62,1020,7.8,.480,.211,.216,3.9,11.0,7.4,7.8,1.6,0.9,11.2,11.6,,0.0,0.7,0.7,.032,,-3.7,0.2,-3.5,-0.4
11,Arron Afflalo\afflaar01,32,53,682,5.8,.516,.432,.160,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,,-0.1,0.2,0.1,.009,,-4.1,-1.8,-5.8,-0.7
12,Marreese Speights\speigma01,30,52,675,13.7,.539,.668,.158,3.4,18.4,10.8,9.8,0.6,2.6,9.7,26.9,,0.1,0.5,0.6,.045,,0.2,-2.9,-2.8,-0.1
13,Terrence Ross\rosste01,26,24,600,9.9,.505,.487,.188,1.8,11.6,6.7,9.3,2.2,1.5,12.3,17.3,,-0.2,0.5,0.3,.025,,-2.2,0.1,-2.1,0.0
14,Khem Birch\birchkh01,25,42,578,16.4,.582,.000,.484,13.2,21.1,17.1,8.5,1.3,2.9,12.1,13.2,,1.2,0.6,1.8,.150,,-1.1,1.4,0.3,0.3
15,Jonathan Isaac\isaacjo01,20,27,536,9.8,.465,.317,.172,3.3,17.2,10.2,4.8,3.0,4.5,14.8,15.0,,-0.6,0.8,0.2,.021,,-4.9,3.1,-1.8,0.0
16,Rodney Purvis\purviro01,23,16,290,4.5,.423,.486,.140,0.4,9.9,5.1,8.5,0.5,0.8,8.1,18.7,,-0.4,0.1,-0.3,-0.056,,-5.0,-2.9,-7.9,-0.4
17,Jamel Artis\artisja01,25,15,279,6.9,.457,.367,.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,,-0.1,0.1,0.0,-0.006,,-4.3,-1.5,-5.9,-0.3
18,Adreian Payne\paynead01,26,5,43,18.8,.831,.300,.600,5.1,18.0,11.5,0.0,2.3,0.0,13.7,15.0,,0.1,0.0,0.2,.203,,0.1,-4.1,-4.1,0.0
19,Rashad Vaughn\vaughra01,21,5,35,1.1,.417,.333,.000,3.1,9.5,6.3,0.0,1.4,0.0,25.0,10.1,,-0.1,0.0,-0.1,-0.070,,-8.1,-2.4,-10.4,-0.1
