Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Monta Ellis\ellismo01,29,80,2699,16.5,.509,.210,.224,1.4,6.4,3.9,20.5,2.8,0.8,11.7,27.9,,1.4,2.2,3.6,.065,,0.7,-0.7,-0.1,1.3
2,Tyson Chandler\chandty01,32,75,2286,20.1,.697,.000,.584,14.1,27.4,20.7,5.3,0.9,3.2,16.0,12.8,,7.2,3.1,10.3,.216,,1.9,2.3,4.2,3.6
3,Dirk Nowitzki\nowitdi01,36,77,2282,19.2,.560,.258,.272,2.1,19.9,11.0,10.4,0.9,1.2,6.5,24.9,,5.2,2.0,7.2,.152,,1.7,-1.0,0.7,1.5
4,Chandler Parsons\parsoch01,26,66,2186,16.3,.567,.419,.233,3.2,13.0,8.1,11.4,1.6,0.7,9.5,20.6,,3.8,1.7,5.5,.121,,2.7,-0.2,2.5,2.5
5,Devin Harris\harride01,31,76,1685,14.8,.559,.508,.309,0.8,8.0,4.4,20.4,2.3,0.7,12.5,18.0,,2.9,1.3,4.2,.120,,1.9,-0.8,1.2,1.3
6,Al-Farouq Aminu\aminual01,24,74,1366,14.4,.504,.347,.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,,1.2,2.0,3.3,.115,,-0.5,2.9,2.4,1.5
7,J.J. Barea\bareajo01,30,77,1362,15.1,.502,.312,.175,1.8,9.0,5.4,29.6,1.2,0.1,10.8,21.2,,2.1,0.6,2.7,.096,,1.0,-2.5,-1.5,0.2
8,Rajon Rondo\rondora01,28,46,1319,12.4,.460,.121,.094,4.0,13.3,8.6,34.0,2.1,0.2,22.6,20.3,,-0.5,1.2,0.6,.023,,-1.5,0.5,-1.0,0.3
9,Richard Jefferson\jefferi01,34,74,1244,11.3,.577,.478,.352,2.2,14.0,8.1,7.0,1.3,0.7,12.2,15.3,,1.4,0.9,2.3,.088,,-0.2,-0.5,-0.7,0.4
10,Charlie Villanueva\villach01,30,64,678,17.4,.534,.610,.097,4.8,19.3,12.1,4.7,1.1,2.6,6.9,26.7,,0.6,0.7,1.4,.096,,1.2,-3.1,-1.8,0.0
11,Jameer Nelson\nelsoja01,32,23,584,9.9,.501,.632,.049,2.6,9.2,5.9,22.8,1.3,0.3,19.0,15.7,,0.3,0.3,0.6,.047,,0.2,-1.1,-0.9,0.2
12,Brandan Wright\wrighbr03,27,27,505,25.7,.762,.000,.356,11.0,12.9,11.9,3.2,1.7,6.8,7.7,14.9,,2.2,0.6,2.9,.274,,4.0,2.8,6.8,1.1
13,Amar'e Stoudemire\stoudam01,32,23,380,22.3,.605,.006,.330,7.8,16.5,12.1,3.9,1.2,0.9,6.8,25.8,,1.1,0.3,1.4,.181,,0.8,-3.1,-2.2,0.0
14,Greg Smith\smithgr02,24,42,363,10.2,.605,.000,.796,7.8,16.1,11.9,3.4,1.0,2.5,14.3,9.5,,0.5,0.3,0.8,.108,,-2.0,1.0,-1.0,0.1
15,Raymond Felton\feltora01,30,29,281,12.4,.480,.321,.142,0.8,9.4,5.1,21.9,2.0,1.2,13.8,20.7,,0.0,0.2,0.2,.039,,-1.8,-1.3,-3.0,-0.1
16,Jae Crowder\crowdja01,24,25,265,12.7,.550,.500,.145,5.0,7.1,6.0,6.5,2.9,1.5,11.0,15.3,,0.3,0.3,0.5,.098,,0.6,0.5,1.1,0.2
17,Dwight Powell\poweldw01,23,24,227,13.0,.535,.177,.500,8.7,15.0,11.8,5.7,1.6,2.1,10.6,16.6,,0.3,0.2,0.6,.121,,-1.1,0.1,-1.0,0.1
18,Bernard James\jamesbe01,29,16,158,16.0,.593,.000,.852,12.5,14.6,13.5,3.4,0.6,7.7,13.9,12.2,,0.4,0.2,0.5,.165,,-1.3,2.9,1.6,0.1
19,Ricky Ledo\ledori01,22,5,11,-22.5,.073,.500,.333,9.9,10.0,10.0,11.1,0.0,0.0,22.5,36.0,,-0.2,0.0,-0.2,-0.720,,-20.6,-5.5,-26.1,-0.1
