No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,J.J. Barea\bareajo01,PG,6-0,185,June 26 1984,pr,11,Northeastern University
40,Harrison Barnes\barneha02,PF,6-8,225,May 30 1992,us,5,University of North Carolina
8,Gian Clavell\clavegi01,SG,6-4,185,November 26 1993,pr,R,Colorado State University
,Antonius Cleveland\clevean01,SG,6-6,195,February 2 1994,us,R,Southeast Missouri State University
8,Kyle Collinsworth\colliky01,SF,6-6,210,October 3 1991,us,R,Brigham Young University
11,Yogi Ferrell\ferreyo01,SG,6-0,180,May 9 1993,us,1,Indiana University
10,Dorian Finney-Smith\finnedo01,PF,6-8,220,May 4 1993,us,1,University of Florida
34,Devin Harris\harride01,PG,6-3,185,February 27 1983,us,13,University of Wisconsin
9,Aaron Harrison\harriaa01,SG,6-6,210,October 28 1994,us,2,University of Kentucky
32,Scotty Hopson\hopsosc01,SG,6-7,204,August 8 1989,us,1,University of Tennessee
21,Jalen Jones\jonesja04,SF,6-7,220,May 27 1993,us,R,Texas A&M University
42,Maxi Kleber\klebima01,PF,6-11,240,January 29 1992,de,R,
23,Wesley Matthews\matthwe02,SF,6-5,220,October 14 1986,us,8,Marquette University
20,Doug McDermott\mcderdo01,SF,6-8,225,January 3 1992,us,3,Creighton University
13,Josh McRoberts\mcrobjo01,PF,6-10,240,February 28 1987,us,10,Duke University
50,Salah Mejri\mejrisa01,C,7-2,235,June 15 1986,tn,2,
6,Johnathan Motley\motlejo01,PF,6-10,230,May 4 1995,us,R,Baylor University
3,Nerlens Noel\noelne01,C,6-11,220,April 10 1994,us,3,University of Kentucky
41,Dirk Nowitzki\nowitdi01,C,7-0,245,June 19 1978,de,19,
7,Dwight Powell\poweldw01,C,6-11,240,July 20 1991,ca,3,Stanford University
1,Dennis Smith\smithde03,PG,6-3,195,November 25 1997,us,R,North Carolina State University
0,Jameel Warney\warneja01,PF,6-8,260,January 31 1994,us,R,Stony Brook University
17,Jeff Withey\witheje01,C,7-0,231,March 7 1990,us,4,University of Kansas
