Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Brook Lopez\lopezbr01,27,73,2457,21.7,.562,.012,.348,9.2,17.2,13.1,10.8,1.2,4.1,11.6,27.3,,4.5,1.7,6.2,.121,,1.1,0.2,1.3,2.1
2,Thaddeus Young\youngth01,27,73,2407,17.5,.533,.031,.169,8.1,23.0,15.4,9.5,2.3,1.2,11.6,21.6,,1.9,2.2,4.1,.081,,-0.5,0.6,0.1,1.3
3,Bojan Bogdanovic\bogdabo02,26,79,2115,10.7,.550,.451,.176,1.9,11.8,6.8,7.3,0.7,0.2,12.5,19.4,,0.9,0.0,0.9,.021,,-0.5,-2.9,-3.4,-0.8
4,Joe Johnson\johnsjo02,34,57,1934,10.7,.512,.377,.178,1.9,11.2,6.5,18.0,1.0,0.1,15.0,17.8,,0.6,0.2,0.7,.018,,-0.4,-1.7,-2.2,-0.1
5,Shane Larkin\larkish01,23,78,1751,13.3,.515,.215,.213,1.8,9.9,5.8,29.3,2.7,0.6,21.0,17.7,,0.5,1.0,1.4,.039,,-1.2,-1.0,-2.2,-0.1
6,Wayne Ellington\ellinwa01,28,76,1615,10.1,.498,.478,.112,1.4,10.9,6.1,7.8,1.5,0.3,7.1,17.5,,0.5,0.3,0.8,.025,,-0.9,-2.3,-3.2,-0.5
7,Donald Sloan\sloando01,28,61,1318,13.9,.536,.283,.297,1.4,13.5,7.4,30.0,1.2,0.2,16.8,16.1,,1.7,0.3,2.0,.071,,-0.3,-2.1,-2.4,-0.1
8,Jarrett Jack\jackja01,32,32,1027,14.5,.505,.285,.313,1.0,14.1,7.4,35.0,1.7,0.6,18.8,21.7,,0.5,0.4,0.9,.043,,0.0,-1.4,-1.4,0.2
9,Markel Brown\brownma02,24,62,982,11.3,.500,.376,.292,2.6,11.5,7.0,13.9,2.0,1.2,12.9,18.9,,0.2,0.4,0.6,.031,,-1.4,-1.3,-2.6,-0.2
10,Thomas Robinson\robinth01,24,71,917,14.5,.453,.003,.375,16.4,27.8,22.0,7.7,2.1,3.2,16.9,19.8,,-0.5,1.1,0.6,.033,,-3.8,0.9,-2.9,-0.2
11,Andrea Bargnani\bargnan01,30,46,634,11.8,.500,.057,.204,4.9,12.4,8.6,4.8,0.3,1.1,7.9,23.2,,0.1,0.0,0.2,.013,,-3.7,-4.2,-7.9,-0.9
12,Rondae Hollis-Jefferson\holliro01,21,29,615,14.2,.519,.101,.377,7.0,21.4,14.1,10.1,3.2,2.1,13.9,13.5,,0.5,0.7,1.2,.094,,-1.4,2.6,1.2,0.5
13,Sean Kilpatrick\kilpase01,26,23,534,16.7,.578,.390,.237,2.1,8.6,5.3,8.4,0.9,0.3,8.9,25.2,,0.9,0.0,0.9,.082,,1.8,-4.5,-2.8,-0.1
14,Willie Reed\reedwi02,25,39,426,19.2,.579,.000,.414,12.7,19.6,16.1,3.8,0.7,5.7,9.2,18.1,,0.9,0.3,1.2,.134,,-1.2,-0.4,-1.6,0.0
15,Sergey Karasev\karasse01,22,40,399,8.5,.562,.500,.378,2.2,14.3,8.2,12.2,0.8,0.4,20.3,12.1,,0.2,0.1,0.3,.031,,-2.4,-1.7,-4.2,-0.2
16,Chris McCullough\mcculch01,20,24,362,12.2,.470,.312,.211,7.6,13.6,10.5,3.7,3.9,2.7,11.2,16.5,,-0.1,0.4,0.3,.043,,-2.1,1.1,-1.0,0.1
17,Henry Sims\simshe01,25,14,263,13.9,.504,.000,.390,8.8,22.2,15.4,5.1,1.7,4.3,11.7,17.3,,0.2,0.3,0.4,.079,,-3.5,0.9,-2.6,0.0
