No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Andrea Bargnani\bargnan01,C,7-0,245,October 26 1985,it,9,
44,Bojan Bogdanovic\bogdabo02,SF,6-8,216,April 18 1989,ba,1,
22,Markel Brown\brownma02,SG,6-3,190,January 29 1992,us,1,Oklahoma State University
21,Wayne Ellington\ellinwa01,SG,6-5,200,November 29 1987,us,6,University of North Carolina
24,Rondae Hollis-Jefferson\holliro01,SF,6-7,217,January 3 1995,us,R,University of Arizona
2,Jarrett Jack\jackja01,PG,6-3,200,October 28 1983,us,10,Georgia Institute of Technology
7,Joe Johnson\johnsjo02,SF,6-7,240,June 29 1981,us,14,University of Arkansas
10,Sergey Karasev\karasse01,SF,6-7,208,October 26 1993,ru,2,
6,Sean Kilpatrick\kilpase01,SG,6-4,210,January 6 1990,us,1,University of Cincinnati
0,Shane Larkin\larkish01,PG,5-11,175,October 2 1992,us,2,University of Miami
11,Brook Lopez\lopezbr01,C,7-0,270,April 1 1988,us,7,Stanford University
1,Chris McCullough\mcculch01,PF,6-11,200,February 5 1995,us,R,Syracuse University
33,Willie Reed\reedwi02,C,6-10,220,May 16 1990,us,R,Saint Louis University
41,Thomas Robinson\robinth01,PF,6-10,237,March 17 1991,us,3,University of Kansas
14,Henry Sims\simshe01,C,6-10,248,March 27 1990,us,3,Georgetown University
15,Donald Sloan\sloando01,PG,6-3,205,January 15 1988,us,4,Texas A&M University
30,Thaddeus Young\youngth01,PF,6-8,221,June 21 1988,us,8,Georgia Institute of Technology
