Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Will Barton\bartowi01,27,81,2683,16.2,.562,.411,.220,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,,4.4,1.8,6.2,.111,,1.6,-0.6,1.0,2.0
2,Jamal Murray\murraja01,20,81,2565,16.1,.576,.411,.238,3.6,9.4,6.5,16.4,1.5,0.9,12.8,22.8,,4.3,1.2,5.5,.103,,1.8,-2.0,-0.2,1.2
3,Nikola Jokic\jokicni01,22,75,2443,24.4,.603,.277,.310,9.0,27.9,18.5,29.6,1.8,2.1,15.5,24.2,,7.8,2.9,10.7,.211,,4.8,2.3,7.1,5.6
4,Wilson Chandler\chandwi01,30,74,2346,10.9,.542,.390,.181,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,,2.1,1.2,3.3,.067,,-0.5,-0.4,-0.9,0.6
5,Gary Harris\harriga01,23,67,2304,16.5,.597,.434,.178,1.8,6.8,4.3,13.0,2.6,0.5,10.8,20.7,,3.9,1.5,5.5,.114,,2.4,-1.5,0.9,1.7
6,Mason Plumlee\plumlma01,27,74,1439,16.9,.586,.003,.486,10.4,20.9,15.6,14.4,1.7,4.7,18.7,16.6,,1.8,1.8,3.6,.120,,-0.9,2.7,1.8,1.4
7,Trey Lyles\lylestr01,22,73,1391,17.9,.591,.396,.260,4.5,23.5,14.0,10.1,1.1,2.0,9.1,21.1,,2.7,1.2,3.9,.135,,0.6,-1.4,-0.8,0.4
8,Paul Millsap\millspa01,32,38,1143,17.0,.549,.260,.370,6.4,17.6,12.1,13.9,1.7,3.2,12.6,22.0,,1.4,1.1,2.5,.107,,0.0,0.7,0.7,0.8
9,Emmanuel Mudiay\mudiaem01,21,42,752,12.3,.504,.317,.242,2.4,11.6,7.0,24.1,1.4,0.4,16.8,24.8,,0.0,0.3,0.3,.019,,-2.2,-2.9,-5.0,-0.6
10,Torrey Craig\craigto01,27,39,629,9.8,.535,.423,.255,7.2,15.5,11.4,5.4,0.9,2.0,11.6,11.9,,0.5,0.4,0.9,.069,,-1.7,-0.8,-2.5,-0.1
11,Malik Beasley\beaslma01,21,62,583,9.0,.509,.461,.185,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.2,,0.1,0.3,0.3,.028,,-2.8,-2.4,-5.1,-0.5
12,Devin Harris\harride01,34,27,533,12.4,.568,.600,.341,0.6,8.2,4.4,17.7,1.3,0.6,12.1,18.2,,0.9,0.2,1.1,.096,,0.5,-3.3,-2.8,-0.1
13,Kenneth Faried\farieke01,28,32,461,17.4,.552,.007,.345,16.7,20.7,18.7,5.8,1.3,2.4,11.9,18.3,,0.9,0.4,1.3,.132,,-1.1,-1.1,-2.3,0.0
14,Juan Hernangomez\hernaju01,22,25,277,9.7,.511,.667,.160,7.4,14.6,11.0,5.9,1.1,0.9,10.1,14.0,,0.2,0.1,0.4,.061,,-1.0,-2.2,-3.3,-0.1
15,Richard Jefferson\jefferi01,37,20,163,6.4,.499,.259,.259,1.4,10.3,5.9,12.0,0.6,0.5,14.3,9.4,,0.1,0.0,0.1,.029,,-3.8,-2.0,-5.9,-0.2
16,Darrell Arthur\arthuda01,29,19,141,8.4,.559,.489,.064,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,,-0.2,0.1,0.0,-0.011,,-3.5,-1.0,-4.5,-0.1
17,Monte Morris\morrimo01,22,3,25,27.1,.727,.167,.333,0.0,9.0,4.5,41.2,5.9,0.0,12.7,13.7,,0.1,0.0,0.2,.312,,3.6,-1.6,2.0,0.0
18,Tyler Lydon\lydonty01,21,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.014,,-5.7,-0.8,-6.5,0.0
