No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
10,Arron Afflalo\afflaar01,SG,6-5,210,October 15 1985,us,7,University of California Los Angeles
00,Darrell Arthur\arthuda01,PF,6-9,235,March 25 1988,us,5,University of Kansas
5,Will Barton\bartowi01,SG,6-6,190,January 6 1991,us,2,University of Memphis
21,Wilson Chandler\chandwi01,SF,6-9,225,May 10 1987,us,7,DePaul University
20,Ian Clark\clarkia01,SG,6-3,175,March 7 1991,us,1,Belmont University
35,Kenneth Faried\farieke01,PF,6-8,220,November 19 1989,us,3,Morehead State University
4,Randy Foye\foyera01,SG,6-4,213,September 24 1983,us,8,Villanova University
22,Jamaal Franklin\frankja01,SG,6-5,191,July 21 1991,us,1,San Diego State University
8,Danilo Gallinari\gallida01,SF,6-10,225,August 8 1988,it,5,
1,Alonzo Gee\geeal01,SF,6-6,225,May 29 1987,us,5,University of Alabama
11,Erick Green\greener01,PG,6-4,185,May 9 1991,us,R,Virginia Polytechnic Institute and State University
14,Gary Harris\harriga01,SG,6-4,210,September 14 1994,us,R,Michigan State University
7,J.J. Hickson\hicksjj01,C,6-9,242,September 4 1988,us,6,North Carolina State University
77,Joffrey Lauvergne\lauvejo01,C,6-11,220,September 30 1991,fr,R,
3,Ty Lawson\lawsoty01,PG,5-11,195,November 3 1987,us,5,University of North Carolina
34,JaVale McGee\mcgeeja01,C,7-0,270,January 19 1988,us,6,University of Nevada Reno
25,Timofey Mozgov\mozgoti01,C,7-1,275,July 16 1986,ru,4,
28,Jameer Nelson\nelsoja01,PG,6-0,190,February 9 1982,us,10,Saint Joseph's University
23,Jusuf Nurkic\nurkiju01,C,7-0,275,August 23 1994,ba,R,
5,Nate Robinson\robinna01,PG,5-9,180,May 31 1984,us,9,University of Washington
