Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Solomon Hill\hillso01,23,82,2381,10.2,.507,.328,.304,3.3,11.2,7.3,11.9,1.4,0.6,13.8,15.9,,0.9,2.6,3.5,.072,,-1.1,0.8,-0.3,1.0
2,Roy Hibbert\hibbero01,28,76,1926,15.4,.501,.003,.287,9.0,21.9,15.5,7.4,0.5,5.1,11.8,21.3,,1.0,3.2,4.2,.105,,-3.1,2.1,-1.0,0.5
3,David West\westda01,34,66,1895,16.0,.508,.029,.235,6.4,19.7,13.1,20.1,1.3,2.0,13.7,21.0,,1.4,2.8,4.3,.108,,-0.7,2.4,1.7,1.8
4,Rodney Stuckey\stuckro01,28,71,1874,15.4,.528,.187,.286,2.1,12.4,7.3,20.2,1.5,0.4,12.2,23.4,,1.9,2.2,4.0,.103,,0.2,-0.3,-0.1,0.9
5,C.J. Miles\milescj01,27,70,1841,14.1,.525,.539,.195,1.1,11.7,6.4,7.1,1.7,1.1,7.5,23.9,,1.3,2.3,3.6,.093,,1.0,-1.3,-0.3,0.8
6,Luis Scola\scolalu01,34,81,1659,16.8,.515,.031,.352,9.3,25.6,17.5,11.0,1.5,0.8,11.3,22.8,,1.7,2.7,4.4,.126,,-1.5,0.7,-0.7,0.5
7,C.J. Watson\watsocj01,30,57,1422,15.4,.581,.420,.400,1.4,11.2,6.3,23.3,2.1,0.5,16.9,18.8,,2.2,1.8,4.0,.135,,1.4,0.1,1.5,1.3
8,George Hill\hillge01,28,43,1267,21.5,.579,.361,.267,2.2,13.3,7.8,31.4,1.8,0.9,10.3,23.8,,3.7,1.6,5.4,.203,,5.4,0.2,5.6,2.4
9,Ian Mahinmi\mahinia01,28,61,1146,10.8,.516,.000,.481,10.2,24.0,17.2,4.4,1.3,3.1,18.7,12.5,,0.1,2.0,2.1,.090,,-3.8,2.6,-1.2,0.2
10,Donald Sloan\sloando01,27,53,1107,13.1,.503,.369,.217,1.2,13.0,7.1,27.5,1.1,0.0,14.3,18.6,,0.9,1.1,2.0,.085,,-0.4,-1.0,-1.4,0.2
11,Lavoy Allen\allenla01,25,63,1070,14.9,.493,.000,.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,,1.3,1.6,2.8,.127,,-1.4,2.2,0.8,0.8
12,Damjan Rudez\rudezda01,28,68,1047,8.2,.591,.646,.087,0.9,4.1,2.5,7.9,0.8,0.4,14.7,13.8,,0.6,0.7,1.3,.061,,-0.7,-1.8,-2.5,-0.1
13,Chris Copeland\copelch01,30,50,828,7.4,.468,.539,.145,3.1,11.7,7.4,9.9,0.7,1.0,15.2,21.3,,-0.9,0.8,-0.1,-0.008,,-2.8,-1.5,-4.3,-0.5
14,A.J. Price\priceaj01,28,10,193,17.1,.542,.438,.202,1.2,6.8,4.0,25.3,1.1,0.0,9.4,25.1,,0.3,0.2,0.5,.123,,2.7,-3.6,-0.8,0.1
15,Shayne Whittington\whittsh01,23,20,108,20.0,.547,.143,.548,10.3,19.3,14.8,9.6,2.4,1.5,8.8,23.9,,0.3,0.2,0.4,.200,,0.5,0.0,0.5,0.1
16,Paul George\georgpa01,24,6,91,13.0,.492,.449,.224,4.9,21.7,13.4,11.8,2.8,0.9,18.2,32.8,,-0.2,0.2,0.0,-0.008,,-2.7,-0.7,-3.3,0.0
