No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Lavoy Allen\allenla01,C,6-9,260,February 4 1989,us,3,Temple University
22,Chris Copeland\copelch01,SF,6-9,239,March 17 1984,us,2,University of Colorado
13,Paul George\georgpa01,SF,6-9,220,May 2 1990,us,4,California State University Fresno
55,Roy Hibbert\hibbero01,C,7-2,270,December 11 1986,us,6,Georgetown University
3,George Hill\hillge01,PG,6-3,188,May 4 1986,us,6,Indiana University-Purdue University Indianapolis
44,Solomon Hill\hillso01,SF,6-7,225,March 18 1991,us,1,University of Arizona
28,Ian Mahinmi\mahinia01,C,6-11,262,November 5 1986,fr,6,
0,C.J. Miles\milescj01,SG,6-6,220,March 18 1987,us,9,
12,A.J. Price\priceaj01,PG,6-2,181,October 7 1986,us,5,University of Connecticut
9,Damjan Rudez\rudezda01,SF,6-10,228,June 17 1986,hr,R,
4,Luis Scola\scolalu01,PF,6-9,240,April 30 1980,ar,7,
15,Donald Sloan\sloando01,PG,6-3,205,January 15 1988,us,3,Texas A&M University
2,Rodney Stuckey\stuckro01,PG,6-5,210,April 21 1986,us,7,Eastern Washington University
32,C.J. Watson\watsocj01,PG,6-2,175,April 17 1984,us,7,University of Tennessee
21,David West\westda01,PF,6-9,250,August 29 1980,us,11,Xavier University
42,Shayne Whittington\whittsh01,PF,6-11,250,March 27 1991,us,R,Western Michigan University
