Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jrue Holiday\holidjr01,27,81,2927,17.8,.570,.286,.191,2.4,10.8,6.8,24.9,2.0,1.7,13.6,23.1,,4.2,2.9,7.1,.116,,1.8,0.3,2.1,3.0
2,Anthony Davis\davisan02,24,75,2727,28.9,.612,.111,.409,7.7,24.8,16.5,10.8,2.0,5.6,8.6,30.0,,8.8,4.9,13.7,.241,,2.8,2.3,5.2,4.9
3,E'Twaun Moore\mooreet01,28,82,2586,12.1,.593,.362,.082,2.5,7.3,5.0,10.1,1.5,0.4,10.6,16.1,,2.8,1.6,4.4,.081,,0.6,-0.8,-0.2,1.2
4,Darius Miller\milleda01,27,82,1944,9.3,.617,.735,.138,1.0,7.9,4.6,7.5,0.7,0.7,10.1,12.8,,2.1,0.9,3.0,.075,,0.5,-1.6,-1.0,0.5
5,DeMarcus Cousins\couside01,27,48,1737,22.6,.583,.340,.456,6.8,30.9,19.2,23.0,2.2,3.5,18.9,31.9,,1.5,3.2,4.7,.130,,1.9,3.6,5.5,3.3
6,Rajon Rondo\rondora01,31,65,1705,15.3,.522,.304,.093,2.0,14.2,8.4,42.2,2.0,0.5,22.7,16.9,,1.9,1.7,3.6,.101,,-0.4,-0.7,-1.1,0.4
7,Ian Clark\clarkia01,26,74,1455,9.4,.529,.394,.119,0.8,8.4,4.7,10.4,1.1,0.5,9.9,17.2,,0.3,0.8,1.1,.037,,-2.0,-2.0,-3.9,-0.7
8,Dante Cunningham\cunnida01,30,51,1115,8.4,.525,.480,.160,5.0,13.4,9.4,3.0,1.2,1.1,6.2,10.0,,0.7,0.9,1.6,.067,,-1.6,-0.1,-1.7,0.1
9,Jameer Nelson\nelsoja01,35,43,897,8.9,.520,.537,.083,1.4,9.9,5.8,22.2,1.2,0.3,20.9,13.0,,0.3,0.6,0.8,.045,,-1.9,-1.4,-3.3,-0.3
10,Nikola Mirotic\mirotni01,26,30,872,16.3,.539,.516,.152,5.3,24.6,15.3,6.8,1.6,2.4,7.1,21.8,,0.7,1.2,1.9,.106,,0.0,-0.2,-0.2,0.4
11,Cheick Diallo\diallch01,21,52,581,17.0,.619,.000,.375,9.1,29.6,19.7,4.7,0.9,2.9,12.0,17.4,,1.1,0.8,1.9,.157,,-2.8,-0.3,-3.1,-0.2
12,Emeka Okafor\okafoem01,35,26,353,16.4,.545,.000,.232,14.9,21.7,18.4,3.1,1.1,5.6,11.0,14.4,,0.5,0.5,1.0,.140,,-2.6,1.3,-1.3,0.1
13,Tony Allen\allento01,36,22,273,8.7,.514,.132,.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,,-0.2,0.2,0.1,.017,,-4.0,-1.3,-5.2,-0.2
14,DeAndre Liggins\liggide01,29,27,244,7.8,.537,.415,.000,0.9,10.3,5.8,10.7,2.0,1.3,14.6,8.5,,0.1,0.2,0.3,.062,,-2.9,0.7,-2.2,0.0
15,Solomon Hill\hillso01,26,12,187,4.8,.332,.512,.146,5.4,15.1,10.4,14.4,1.8,0.4,17.1,12.2,,-0.2,0.2,-0.1,-0.014,,-4.4,0.6,-3.8,-0.1
16,Omer Asik\asikom01,31,14,121,4.5,.423,.000,.750,6.5,26.0,16.6,2.0,0.4,1.3,19.0,9.4,,-0.1,0.1,0.0,.008,,-7.4,-0.7,-8.1,-0.2
17,Larry Drew\drewla02,27,7,55,6.3,.441,.353,.000,4.1,0.0,2.0,18.9,0.0,0.0,10.5,15.0,,0.0,0.0,0.0,.003,,-3.5,-5.4,-8.9,-0.1
18,Jordan Crawford\crawfjo02,29,5,53,19.1,.601,.519,.037,4.2,4.0,4.1,37.7,0.9,1.5,15.4,26.5,,0.1,0.0,0.2,.150,,3.9,-4.8,-0.9,0.0
19,Charles Cooke\cookech01,23,13,38,-5.1,.202,.571,.143,0.0,5.5,2.9,3.2,1.3,0.0,6.3,18.1,,-0.2,0.0,-0.2,-0.239,,-10.8,-3.8,-14.6,-0.1
20,Walt Lemon\lemonwa01,25,5,35,6.9,.491,.063,.188,0.0,6.0,3.1,21.1,0.0,2.3,18.8,26.4,,-0.1,0.0,-0.1,-0.071,,-7.5,-4.2,-11.7,-0.1
21,Jalen Jones\jonesja04,24,4,19,5.0,.512,.250,.500,0.0,16.5,8.6,0.0,0.0,0.0,0.0,11.1,,0.0,0.0,0.0,.055,,-6.1,-4.8,-10.8,0.0
22,Mike James\jamesmi02,27,4,18,3.5,.222,.111,.000,6.2,0.0,3.0,43.5,2.7,0.0,10.0,24.1,,-0.1,0.0,-0.1,-0.146,,-7.7,-4.6,-12.4,0.0
23,Josh Smith\smithjo03,32,3,12,3.5,.250,.000,.000,28.1,8.7,18.1,0.0,0.0,0.0,0.0,14.4,,0.0,0.0,0.0,-0.013,,-6.0,-7.4,-13.4,0.0
