No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Tony Allen\allento01,SF,6-4,213,January 11 1982,us,13,Butler County Community College Oklahoma State University
3,Omer Asik\asikom01,C,7-0,255,July 4 1986,tr,7,
2,Ian Clark\clarkia01,SG,6-3,175,March 7 1991,us,4,Belmont University
4,Charles Cooke\cookech01,SG,6-5,196,July 1 1994,us,R,University of Dayton
0,DeMarcus Cousins\couside01,C,6-11,270,August 13 1990,us,7,University of Kentucky
27,Jordan Crawford\crawfjo02,SG,6-4,195,October 23 1988,us,5,Indiana University Xavier University
33,Dante Cunningham\cunnida01,SF,6-8,230,April 22 1987,us,8,Villanova University
23,Anthony Davis\davisan02,PF,6-10,253,March 11 1993,us,5,University of Kentucky
13,Cheick Diallo\diallch01,PF,6-9,220,September 13 1996,ml,1,University of Kansas
1,Larry Drew\drewla02,PG,6-2,180,March 5 1990,us,1,University of North Carolina University of California Los Angeles
44,Solomon Hill\hillso01,SF,6-7,225,March 18 1991,us,4,University of Arizona
11,Jrue Holiday\holidjr01,SG,6-4,205,June 12 1990,us,8,University of California Los Angeles
5,Mike James\jamesmi02,PG,6-1,189,August 18 1990,us,R,Lamar University
12,Jalen Jones\jonesja04,SF,6-7,220,May 27 1993,us,R,Texas A&M University
25,Walt Lemon\lemonwa01,PG,6-3,180,July 26 1992,us,R,Bradley University
34,DeAndre Liggins\liggide01,SG,6-6,209,March 31 1988,us,4,University of Kentucky
21,Darius Miller\milleda01,SF,6-8,225,March 21 1990,us,3,University of Kentucky
3,Nikola Mirotic\mirotni01,PF,6-10,250,February 11 1991,me,3,
55,E'Twaun Moore\mooreet01,SG,6-4,191,February 25 1989,us,6,Purdue University
14,Jameer Nelson\nelsoja01,PG,6-0,190,February 9 1982,us,13,Saint Joseph's University
50,Emeka Okafor\okafoem01,C,6-10,252,September 28 1982,us,9,University of Connecticut
9,Rajon Rondo\rondora01,PG,6-1,186,February 22 1986,us,11,University of Kentucky
5,Josh Smith\smithjo03,PF,6-9,225,December 5 1985,us,12,
