No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
50,Joel Anthony\anthojo01,C,6-9,245,August 9 1982,ca,7,University of Nevada Las Vegas
14,D.J. Augustin\augusdj01,PG,6-0,183,November 10 1987,us,6,University of Texas at Austin
31,Caron Butler\butleca01,SF,6-7,228,March 13 1980,us,12,University of Connecticut
5,Kentavious Caldwell-Pope\caldwke01,SG,6-5,205,February 18 1993,us,1,University of Georgia
13,Luigi Datome\datomlu01,SF,6-8,215,November 27 1987,it,1,
8,Spencer Dinwiddie\dinwisp01,PG,6-6,210,April 6 1993,us,R,University of Colorado
0,Andre Drummond\drumman01,C,6-11,279,August 10 1993,us,2,University of Connecticut
1,Reggie Jackson\jacksre01,PG,6-3,208,April 16 1990,it,3,Boston College
7,Brandon Jennings\jennibr01,PG,6-1,170,September 23 1989,us,5,
33,Jonas Jerebko\jerebjo01,PF,6-10,231,March 2 1987,se,4,
9,John Lucas III\lucasjo02,PG,5-11,166,November 21 1982,us,6,Baylor University Oklahoma State University
35,Cartier Martin\martica01,SF,6-7,220,November 20 1984,us,6,Kansas State University
20,Jodie Meeks\meeksjo01,SG,6-4,210,August 21 1987,us,5,University of Kentucky
20,Quincy Miller\millequ01,PF,6-9,210,November 18 1992,us,2,Baylor University
10,Greg Monroe\monrogr01,PF,6-11,265,June 4 1990,us,4,Georgetown University
22,Tayshaun Prince\princta01,SF,6-9,212,February 28 1980,us,12,University of Kentucky
25,Kyle Singler\singlky01,SF,6-8,228,May 4 1988,us,2,Duke University
6,Josh Smith\smithjo03,PF,6-9,225,December 5 1985,us,10,
43,Anthony Tolliver\tollian01,PF,6-8,250,June 1 1985,us,6,Creighton University
3,Shawne Williams\willish03,SF,6-9,225,February 16 1986,us,6,University of Memphis
