Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kyle Lowry\lowryky01,29,77,2851,22.2,.578,.457,.410,2.2,12.3,7.3,29.9,2.9,1.0,13.7,26.1,,8.0,3.7,11.6,.196,,6.2,0.6,6.8,6.3
2,DeMar DeRozan\derozde01,26,78,2804,21.5,.550,.101,.474,2.7,11.5,7.1,20.8,1.5,0.6,9.5,29.8,,7.5,2.4,9.9,.169,,2.7,-1.2,1.4,2.4
3,Cory Joseph\josepco01,24,80,2046,12.4,.512,.188,.297,2.2,9.4,5.9,19.3,1.6,0.8,13.4,17.0,,1.8,1.7,3.5,.082,,-0.6,-0.4,-1.0,0.5
4,Patrick Patterson\pattepa01,26,79,2020,10.6,.534,.594,.069,4.4,14.8,9.7,7.1,1.4,1.3,11.3,12.9,,1.6,2.0,3.6,.086,,0.4,0.6,1.0,1.5
5,Bismack Biyombo\biyombi01,23,82,1808,14.9,.586,.003,.785,11.7,29.5,20.8,2.4,0.5,6.1,15.5,11.5,,2.8,3.1,5.9,.156,,-2.4,2.3,-0.1,0.9
6,Terrence Ross\rosste01,24,73,1747,12.9,.551,.542,.099,1.4,10.6,6.1,5.3,1.6,1.2,6.6,18.2,,2.1,1.6,3.6,.100,,1.1,-1.2,-0.2,0.8
7,Luis Scola\scolalu01,35,76,1636,13.6,.523,.269,.140,6.0,19.0,12.6,6.8,1.5,1.4,9.7,19.5,,1.4,1.9,3.3,.098,,-0.8,-0.4,-1.2,0.3
8,Jonas Valanciunas\valanjo01,23,60,1557,22.6,.610,.000,.397,13.8,26.3,20.1,4.8,0.8,4.2,11.9,20.9,,4.5,2.4,6.9,.211,,0.7,0.4,1.1,1.2
9,James Johnson\johnsja01,28,57,926,11.4,.532,.275,.283,3.5,11.9,7.8,11.4,1.6,2.9,16.7,15.9,,0.3,1.0,1.3,.068,,-1.7,1.0,-0.6,0.3
10,DeMarre Carroll\carrode01,29,26,786,11.9,.490,.437,.185,4.6,13.1,8.9,5.5,2.9,0.6,8.8,18.5,,0.2,1.0,1.2,.074,,0.0,0.3,0.2,0.4
11,Norman Powell\powelno01,22,49,725,13.3,.541,.389,.231,2.6,14.8,8.8,10.4,2.1,1.1,11.3,17.8,,0.7,0.9,1.6,.105,,-0.3,-0.1,-0.4,0.3
12,Jason Thompson\thompja02,29,19,292,14.7,.575,.227,.333,8.8,22.4,15.7,5.3,1.4,3.4,9.6,13.0,,0.6,0.4,1.0,.163,,-0.5,1.4,0.9,0.2
13,Delon Wright\wrighde01,23,27,229,17.8,.540,.163,.438,4.1,14.3,9.3,22.5,1.8,1.1,14.4,22.1,,0.3,0.2,0.6,.124,,-0.1,-0.6,-0.7,0.1
14,Lucas Nogueira\noguelu01,23,29,225,15.6,.642,.068,.341,9.3,14.0,11.7,4.9,2.8,4.4,17.9,12.4,,0.3,0.4,0.7,.154,,-0.4,2.9,2.6,0.3
15,Anthony Bennett\bennean01,22,19,84,10.4,.446,.519,.370,8.3,22.8,15.7,0.0,3.1,0.0,11.3,19.2,,0.0,0.1,0.1,.054,,-4.8,-4.6,-9.4,-0.2
16,Bruno Caboclo\cabocbr01,20,6,43,-7.7,.125,.583,.000,2.7,2.6,2.7,3.2,2.4,1.9,25.0,16.9,,-0.3,0.0,-0.3,-0.283,,-11.4,-0.2,-11.6,-0.1
