No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Quincy Acy\acyqu01,SF,6-7,240,October 6 1990,us,1,Baylor University
14,D.J. Augustin\augusdj01,PG,6-0,183,November 10 1987,us,5,University of Texas at Austin
13,Dwight Buycks\buyckdw01,PG,6-3,190,March 6 1989,us,R,Marquette University
5,Austin Daye\dayeau01,SF,6-11,220,June 5 1988,us,4,Gonzaga University
3,Nando De Colo\decolna01,SF,6-5,200,June 23 1987,fr,1,
10,DeMar DeRozan\derozde01,SG,6-7,220,August 7 1989,us,4,University of Southern California
2,Landry Fields\fieldla01,SF,6-7,210,June 27 1988,us,3,Stanford University
22,Rudy Gay\gayru01,SF,6-8,230,August 17 1986,us,7,University of Connecticut
34,Aaron Gray\grayaa01,C,7-0,270,December 7 1984,us,6,University of Pittsburgh
50,Tyler Hansbrough\hansbty01,PF,6-9,250,November 3 1985,us,4,University of North Carolina
44,Chuck Hayes\hayesch01,C,6-6,240,June 11 1983,us,8,University of Kentucky
15,Amir Johnson\johnsam01,PF,6-9,240,May 1 1987,us,8,
7,Kyle Lowry\lowryky01,PG,6-1,196,March 25 1986,us,7,Villanova University
16,Steve Novak\novakst01,PF,6-10,225,June 13 1983,us,7,Marquette University
54,Patrick Patterson\pattepa01,PF,6-9,230,March 14 1989,us,3,University of Kentucky
31,Terrence Ross\rosste01,SG,6-7,206,February 5 1991,us,1,University of Washington
25,John Salmons\salmojo01,SG,6-7,210,December 12 1979,us,11,University of Miami
77,Julyan Stone\stoneju01,SG,6-6,200,December 7 1988,us,2,University of Texas at El Paso
17,Jonas Valanciunas\valanjo01,C,7-0,265,May 6 1992,lt,1,
21,Greivis Vasquez\vasqugr01,SG,6-6,217,January 16 1987,ve,3,University of Maryland
