Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,James Harden\hardeja01,25,81,2981,26.7,.605,.378,.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,,12.2,4.2,16.4,.265,,7.4,1.0,8.4,7.8
2,Trevor Ariza\arizatr01,29,82,2930,12.7,.539,.610,.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,,2.7,3.9,6.6,.108,,0.6,1.3,1.9,2.9
3,Donatas Motiejunas\motiedo01,24,71,2037,14.4,.553,.190,.237,7.4,15.4,11.4,10.8,1.4,1.3,13.7,19.1,,2.4,2.3,4.7,.110,,-0.6,0.5,-0.1,1.0
4,Patrick Beverley\beverpa01,26,56,1727,11.3,.509,.607,.113,4.3,10.8,7.6,17.2,1.7,1.0,12.9,16.1,,1.7,1.8,3.5,.096,,0.5,0.3,0.8,1.2
5,Jason Terry\terryja01,37,77,1641,11.4,.579,.724,.108,1.0,7.1,4.1,13.8,2.0,0.9,13.7,14.3,,2.0,1.5,3.6,.104,,0.3,-0.7,-0.4,0.7
6,Corey Brewer\breweco01,28,56,1407,14.0,.516,.334,.255,3.8,12.1,8.0,11.5,2.1,0.8,11.2,22.4,,1.0,1.6,2.7,.091,,-1.0,-0.6,-1.6,0.2
7,Josh Smith\smithjo03,29,55,1404,15.2,.500,.320,.242,7.9,17.9,12.9,17.8,1.8,3.8,16.9,24.5,,-0.1,2.2,2.1,.071,,-1.2,2.1,0.9,1.0
8,Dwight Howard\howardw01,29,41,1223,19.2,.596,.005,.641,10.0,28.9,19.5,7.3,1.1,3.4,17.5,23.3,,1.4,2.2,3.6,.140,,-2.4,1.2,-1.2,0.3
9,Terrence Jones\joneste01,23,33,889,18.3,.567,.124,.314,9.7,17.6,13.7,6.9,1.0,5.2,9.8,18.4,,1.7,1.3,3.0,.160,,-0.6,1.9,1.3,0.7
10,Joey Dorsey\dorsejo01,31,69,854,11.1,.507,.007,.572,13.3,22.7,18.0,4.4,2.3,2.3,18.4,11.3,,0.4,1.5,1.9,.108,,-3.5,2.1,-1.4,0.1
11,Kostas Papanikolaou\papanko01,24,43,795,7.8,.444,.538,.091,5.4,10.9,8.2,15.8,1.8,1.3,21.2,14.2,,-0.4,0.9,0.5,.029,,-3.0,0.7,-2.3,-0.1
12,Pablo Prigioni\prigipa01,37,24,402,11.4,.496,.761,.224,3.3,7.4,5.4,23.5,3.3,0.0,16.9,9.6,,0.6,0.5,1.1,.127,,-0.5,0.1,-0.4,0.2
13,Tarik Black\blackta01,23,25,393,11.6,.548,.012,.349,16.3,19.3,17.8,3.1,0.8,0.4,16.6,12.7,,0.5,0.4,0.9,.113,,-2.4,-1.3,-3.7,-0.2
14,Isaiah Canaan\canaais01,23,25,369,11.8,.549,.641,.160,3.3,6.6,4.9,12.6,1.9,0.0,14.1,19.2,,0.3,0.3,0.6,.084,,0.0,-2.3,-2.3,0.0
15,Nick Johnson\johnsni01,22,28,262,4.8,.430,.280,.333,5.5,10.9,8.2,6.3,1.3,0.9,18.1,17.4,,-0.4,0.2,-0.1,-0.020,,-6.1,-1.2,-7.3,-0.3
16,Francisco Garcia\garcifr01,33,14,200,3.6,.347,.714,.063,1.7,7.7,4.7,11.0,2.2,1.9,13.4,16.2,,-0.4,0.2,-0.2,-0.044,,-5.0,-0.2,-5.3,-0.2
17,Troy Daniels\danietr01,23,17,108,4.5,.472,.915,.085,0.0,6.1,3.1,5.9,0.0,0.0,9.3,21.6,,-0.1,0.0,0.0,-0.013,,-2.4,-5.8,-8.2,-0.2
18,Clint Capela\capelca01,20,12,90,12.1,.409,.000,.793,12.3,31.8,22.1,3.6,0.6,7.8,11.3,21.3,,-0.2,0.2,0.0,.019,,-8.8,1.0,-7.8,-0.1
19,Alexey Shved\shvedal01,26,9,59,9.3,.503,.500,.458,1.9,5.6,3.7,8.1,0.8,0.0,14.8,24.9,,0.0,0.0,0.0,.013,,-3.9,-4.9,-8.8,-0.1
20,K.J. McDaniels\mcdankj01,21,10,33,4.6,.346,.200,.133,3.4,13.3,8.4,9.9,0.0,4.7,5.9,22.2,,-0.1,0.0,0.0,-0.061,,-8.4,-1.3,-9.7,-0.1
