No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
33,Ryan Anderson\anderry01,PF,6-10,240,May 6 1988,us,9,University of California
1,Trevor Ariza\arizatr01,SF,6-8,215,June 30 1985,us,13,University of California Los Angeles
28,Tarik Black\blackta01,C,6-9,250,November 22 1991,us,3,University of Memphis University of Kansas
6,Bobby Brown\brownbo02,PG,6-2,175,September 24 1984,us,3,California State University Fullerton
26,Markel Brown\brownma02,SG,6-3,190,January 29 1992,us,2,Oklahoma State University
7,Isaiah Canaan\canaais01,SG,6-0,201,May 21 1991,us,4,Murray State University
15,Clint Capela\capelca01,C,6-10,240,May 18 1994,ch,3,
10,Eric Gordon\gordoer01,SG,6-4,215,December 25 1988,us,9,Indiana University
14,Gerald Green\greenge01,SG,6-7,205,January 26 1986,us,10,
13,James Harden\hardeja01,SG,6-5,220,August 26 1989,us,8,Arizona State University
42,Nene Hilario\hilarne01,C,6-11,250,September 13 1982,br,15,
2,R.J. Hunter\hunterj01,SG,6-5,185,October 24 1993,us,2,Georgia State University
5,Aaron Jackson\jacksaa01,PG,6-4,185,May 6 1986,us,R,Duquesne University
2,Demetrius Jackson\jacksde01,PG,6-1,201,September 7 1994,us,1,University of Notre Dame
7,Joe Johnson\johnsjo02,SF,6-7,240,June 29 1981,us,16,University of Arkansas
12,Luc Mbah a Moute\mbahalu01,PF,6-8,230,September 9 1986,cm,9,University of California Los Angeles
21,Chinanu Onuaku\onuakch01,C,6-10,245,November 1 1996,us,1,University of Louisville
3,Chris Paul\paulch01,PG,6-0,175,May 6 1985,us,12,Wake Forest University
9,Zhou Qi\qizh01,C,7-1,210,January 16 1996,cn,R,
55,Tim Quarterman\quartti01,SG,6-6,195,October 27 1994,us,1,Louisiana State University
4,P.J. Tucker\tuckepj01,PF,6-6,245,May 5 1985,us,6,University of Texas at Austin
0,Briante Weber\weberbr01,PG,6-2,165,December 29 1992,us,2,Virginia Commonwealth University
5,Troy Williams\willitr02,SF,6-7,218,December 30 1994,us,1,Indiana University
32,Brandan Wright\wrighbr03,PF,6-10,210,October 5 1987,us,9,University of North Carolina
