Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tim Duncan\duncati01,37,74,2158,21.3,.535,.006,.349,8.6,28.3,18.8,16.0,1.0,4.6,13.2,25.2,,2.8,4.6,7.4,.164,,-0.9,4.0,3.2,2.8
2,Marco Belinelli\belinma01,27,80,2016,15.0,.605,.422,.188,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,,3.5,2.4,5.9,.140,,1.9,-0.3,1.7,1.9
3,Tony Parker\parketo01,31,68,1997,18.9,.555,.073,.266,1.0,7.5,4.4,31.7,0.9,0.3,12.9,26.5,,3.9,1.9,5.9,.141,,1.3,-1.8,-0.5,0.8
4,Boris Diaw\diawbo01,31,79,1974,14.1,.578,.193,.159,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17.0,,2.3,2.6,4.9,.120,,0.2,1.4,1.6,1.8
5,Kawhi Leonard\leonaka01,22,66,1923,19.4,.602,.282,.195,4.6,18.9,12.1,10.4,3.0,1.9,10.3,18.3,,3.8,3.9,7.7,.193,,2.3,3.4,5.8,3.8
6,Danny Green\greenda02,26,68,1651,13.9,.580,.630,.125,1.8,13.4,7.8,8.9,2.0,2.7,12.5,16.7,,1.4,2.8,4.2,.122,,1.2,2.1,3.3,2.2
7,Manu Ginobili\ginobma01,36,68,1550,20.0,.590,.411,.300,2.3,12.0,7.3,29.0,2.3,0.8,16.4,24.7,,3.3,2.4,5.7,.176,,3.6,0.4,4.0,2.4
8,Patty Mills\millspa02,25,81,1527,18.7,.588,.477,.123,2.6,9.6,6.2,15.3,2.3,0.4,8.2,22.6,,3.4,2.1,5.6,.175,,3.9,-0.6,3.3,2.0
9,Tiago Splitter\splitti01,29,59,1271,16.5,.572,.009,.500,11.4,20.5,16.1,10.1,1.2,1.8,15.1,17.7,,2.3,2.1,4.3,.163,,-0.1,2.1,1.9,1.3
10,Jeff Ayres\pendeje02,26,73,952,11.1,.605,.000,.316,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,,1.0,1.4,2.4,.121,,-1.6,2.1,0.5,0.6
11,Cory Joseph\josepco01,22,68,936,14.7,.558,.143,.362,4.0,8.7,6.4,17.2,1.9,1.1,12.3,16.9,,1.6,1.3,2.9,.148,,0.0,0.6,0.6,0.6
12,Matt Bonner\bonnema01,33,61,690,11.2,.582,.598,.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,,0.8,1.0,1.8,.123,,-0.4,0.7,0.3,0.4
13,Aron Baynes\baynear01,27,53,491,9.7,.467,.000,.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,,-0.1,0.6,0.6,.055,,-3.7,-0.3,-4.0,-0.2
14,Nando De Colo\decolna01,26,26,301,13.2,.545,.333,.237,2.3,14.0,8.4,15.1,2.5,0.7,17.0,18.6,,0.1,0.5,0.6,.101,,-1.2,1.2,-0.1,0.1
15,Austin Daye\dayeau01,25,14,115,13.5,.499,.527,.127,3.1,16.0,9.8,7.9,1.8,2.5,7.9,24.8,,0.0,0.2,0.2,.080,,-0.9,-0.7,-1.6,0.0
16,Shannon Brown\brownsh01,28,10,103,-0.5,.360,.071,.321,1.1,12.6,7.1,6.4,0.5,0.0,20.0,17.5,,-0.3,0.1,-0.2,-0.102,,-9.2,-0.9,-10.1,-0.2
17,Damion James\jamesda01,26,5,50,4.1,.304,.222,.222,2.4,23.8,13.5,7.5,0.0,1.4,9.2,9.8,,-0.1,0.1,0.0,.010,,-6.7,1.2,-5.5,0.0
18,Othyus Jeffers\jeffeot01,28,4,34,8.9,.595,.200,.400,3.5,15.9,9.9,3.9,0.0,0.0,0.0,7.8,,0.1,0.0,0.1,.121,,-1.9,-0.7,-2.6,0.0
19,Malcolm Thomas\thomama01,25,1,15,6.6,.205,.000,.500,7.8,57.8,33.8,0.0,0.0,9.6,17.0,17.7,,-0.1,0.0,0.0,-0.107,,-18.9,-0.7,-19.6,-0.1
