No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
19,Leandro Barbosa\barbole01,SG,6-3,194,November 28 1982,br,13,
35,Dragan Bender\bendedr01,PF,7-1,225,November 17 1997,ba,R,
2,Eric Bledsoe\bledser01,PG,6-1,205,December 9 1989,us,6,University of Kentucky
1,Devin Booker\bookede01,SG,6-6,210,October 30 1996,us,1,University of Kentucky
4,Tyson Chandler\chandty01,C,7-1,240,October 2 1982,us,15,
0,Marquese Chriss\chrisma01,PF,6-10,240,July 2 1997,us,R,University of Washington
3,Jared Dudley\dudleja01,PF,6-7,237,July 10 1985,us,9,Boston College
31,Jarell Eddie\eddieja01,SF,6-7,218,October 30 1991,us,1,Virginia Polytechnic Institute and State University
23,John Jenkins\jenkijo01,SG,6-4,215,March 6 1991,us,4,Vanderbilt University
10,Derrick Jones\jonesde02,SF,6-7,200,February 15 1997,us,R,University of Nevada Las Vegas
11,Brandon Knight\knighbr03,SG,6-3,195,December 2 1991,us,5,University of Kentucky
21,Alex Len\lenal01,C,7-1,250,June 16 1993,ua,3,University of Maryland
22,Elijah Millsap\millsel01,SG,6-6,225,August 12 1987,us,2,University of Louisiana at Lafayette University of Alabama at Birmingham
14,Ronnie Price\pricero01,PG,6-2,190,June 21 1983,us,11,Nicholls State University Utah Valley State College
17,P.J. Tucker\tuckepj01,SF,6-6,245,May 5 1985,us,5,University of Texas at Austin
8,Tyler Ulis\ulisty01,PG,5-10,160,January 5 1996,us,R,University of Kentucky
12,T.J. Warren\warretj01,SF,6-8,215,September 5 1993,us,2,North Carolina State University
15,Alan Williams\willial03,C,6-8,265,January 28 1993,us,1,University of California Santa Barbara
