No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Steven Adams\adamsst01,C,7-0,265,July 20 1993,nz,1,University of Pittsburgh
14,D.J. Augustin\augusdj01,PG,6-0,183,November 10 1987,us,6,University of Texas at Austin
4,Nick Collison\collini01,PF,6-10,255,October 26 1980,us,10,University of Kansas
35,Kevin Durant\duranke01,SF,6-9,240,September 29 1988,us,7,University of Texas at Austin
9,Serge Ibaka\ibakase01,PF,6-10,235,September 18 1989,cg,5,
15,Reggie Jackson\jacksre01,PG,6-3,208,April 16 1990,it,3,Boston College
7,Grant Jerrett\jerregr01,PF,6-10,235,July 8 1993,us,R,University of Arizona
3,Perry Jones\jonespe01,SF,6-11,235,September 24 1991,us,2,Baylor University
34,Enes Kanter\kanteen01,C,6-11,250,May 20 1992,ch,3,
11,Jeremy Lamb\lambje01,SG,6-5,185,May 30 1992,us,2,University of Connecticut
33,Mitch McGary\mcgarmi01,PF,6-10,255,June 6 1992,us,R,University of Michigan
2,Anthony Morrow\morroan01,SG,6-5,210,September 27 1985,us,6,Georgia Institute of Technology
6,Steve Novak\novakst01,PF,6-10,225,June 13 1983,us,8,Marquette University
5,Kendrick Perkins\perkike01,C,6-10,270,November 10 1984,us,11,
21,Andre Roberson\roberan03,SG,6-7,210,December 4 1991,us,1,University of Colorado
5,Kyle Singler\singlky01,SF,6-8,228,May 4 1988,us,2,Duke University
8,Ish Smith\smithis01,PG,6-0,175,July 5 1988,us,4,Wake Forest University
31,Sebastian Telfair\telfase01,PG,6-0,165,June 9 1985,us,9,
42,Lance Thomas\thomala01,SF,6-8,240,April 24 1988,us,3,Duke University
23,Dion Waiters\waitedi01,SG,6-4,215,December 10 1991,us,2,Syracuse University
0,Russell Westbrook\westbru01,PG,6-3,200,November 12 1988,us,6,University of California Los Angeles
