Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Andrew Wiggins\wiggian01,21,82,3048,16.5,.534,.184,.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,,3.3,0.9,4.2,.066,,0.2,-2.9,-2.7,-0.6
2,Karl-Anthony Towns\townska01,21,82,3030,25.9,.618,.186,.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,,9.9,2.8,12.7,.201,,4.7,0.2,4.9,5.3
3,Gorgui Dieng\dienggo01,27,82,2653,14.2,.555,.065,.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0,,3.2,2.5,5.7,.103,,-0.5,2.2,1.8,2.5
4,Ricky Rubio\rubiori01,26,75,2469,16.8,.539,.302,.438,3.2,11.4,7.2,38.9,2.6,0.3,20.1,17.4,,4.5,1.7,6.1,.119,,1.7,-0.9,0.8,1.7
5,Zach LaVine\lavinza01,21,47,1749,14.6,.576,.437,.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,,2.6,0.4,3.0,.082,,2.2,-2.4,-0.3,0.8
6,Shabazz Muhammad\muhamsh01,24,78,1516,14.9,.566,.242,.318,6.4,10.6,8.5,3.7,0.7,0.3,7.6,21.5,,2.5,0.2,2.7,.086,,-0.2,-4.3,-4.4,-0.9
7,Kris Dunn\dunnkr01,22,78,1333,8.1,.432,.233,.188,2.1,12.6,7.3,19.4,3.0,2.3,20.8,14.2,,-1.2,1.3,0.1,.004,,-3.7,1.5,-2.2,-0.1
8,Nemanja Bjelica\bjeline01,28,65,1190,11.0,.526,.497,.171,5.5,18.6,12.0,9.6,1.7,1.4,13.4,16.4,,0.6,0.9,1.5,.059,,-0.7,-0.4,-1.1,0.3
9,Brandon Rush\rushbr01,31,47,1030,6.6,.505,.610,.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6,,0.1,0.3,0.4,.019,,-2.0,-0.1,-2.1,0.0
10,Tyus Jones\jonesty01,20,60,774,13.8,.523,.403,.238,1.5,8.7,5.0,28.0,3.1,0.6,16.0,13.6,,1.0,0.6,1.5,.096,,-0.4,-1.5,-1.8,0.0
11,Cole Aldrich\aldrico01,28,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,,0.6,0.7,1.3,.116,,-2.0,2.6,0.6,0.4
12,Omri Casspi\casspom01,28,13,222,7.5,.542,.263,.211,3.1,7.5,5.3,6.8,3.0,0.8,19.4,10.3,,0.0,0.2,0.1,.032,,-2.3,0.7,-1.6,0.0
13,Adreian Payne\paynead01,25,18,135,14.4,.505,.278,.352,7.7,21.0,14.3,8.0,3.0,4.4,11.4,23.1,,0.0,0.2,0.2,.086,,-2.2,0.7,-1.5,0.0
14,Lance Stephenson\stephla01,26,6,67,6.6,.480,.095,.095,0.0,17.7,8.7,11.2,0.0,0.0,15.5,17.1,,-0.1,0.0,-0.1,-0.045,,-6.1,-3.1,-9.2,-0.1
15,Jordan Hill\hilljo01,29,7,47,5.5,.432,.000,.154,19.6,15.1,17.4,0.0,1.1,0.0,22.4,16.8,,-0.1,0.0,0.0,-0.033,,-6.7,-6.2,-12.9,-0.1
16,John Lucas III\lucasjo02,34,5,11,9.1,.250,.250,.000,0.0,0.0,0.0,12.5,9.2,0.0,0.0,16.1,,0.0,0.0,0.0,-0.033,,-6.0,0.5,-5.6,0.0
