Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Damian Lillard\lillada01,24,82,2925,20.7,.560,.421,.293,1.8,11.8,6.9,29.0,1.7,0.5,12.6,26.9,,7.3,3.3,10.6,.174,,5.0,0.0,5.1,5.2
2,LaMarcus Aldridge\aldrila01,29,71,2512,22.8,.528,.074,.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,,4.9,3.7,8.6,.165,,0.3,0.0,0.3,1.4
3,Nicolas Batum\batumni01,26,71,2380,13.1,.516,.515,.163,2.8,15.6,9.4,20.5,1.7,1.2,17.0,14.6,,2.0,3.2,5.2,.105,,0.6,2.6,3.1,3.1
4,Wesley Matthews\matthwe02,28,60,2024,16.1,.586,.592,.193,2.1,9.5,5.9,10.8,1.9,0.4,9.0,19.8,,4.0,2.2,6.2,.147,,3.8,0.1,3.9,3.0
5,Robin Lopez\lopezro01,26,59,1638,16.2,.574,.002,.291,12.7,13.1,12.9,5.1,0.5,3.7,12.9,15.5,,3.2,1.9,5.1,.150,,0.1,2.0,2.1,1.7
6,Steve Blake\blakest01,34,81,1529,9.5,.507,.670,.125,1.1,8.3,4.8,26.2,1.4,0.2,23.2,13.2,,0.7,1.4,2.1,.066,,-1.2,-0.9,-2.1,0.0
7,Chris Kaman\kamanch01,32,74,1398,17.3,.537,.000,.186,11.6,25.2,18.5,7.8,0.7,2.8,15.4,22.5,,1.1,2.2,3.3,.112,,-2.5,1.1,-1.4,0.2
8,CJ McCollum\mccolcj01,23,62,973,13.1,.534,.381,.200,1.6,8.3,5.0,10.3,2.3,0.6,10.8,20.5,,0.7,1.1,1.8,.089,,-0.4,-0.3,-0.7,0.3
9,Meyers Leonard\leoname01,22,55,847,14.8,.631,.457,.131,5.9,25.3,15.8,5.8,0.6,1.2,13.1,15.8,,1.6,1.2,2.8,.158,,0.1,0.0,0.2,0.5
10,Arron Afflalo\afflaar01,29,25,752,8.2,.533,.396,.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,,0.2,0.5,0.8,.049,,-1.5,-0.8,-2.3,-0.1
11,Allen Crabbe\crabbal01,22,51,683,8.7,.525,.556,.105,1.1,10.1,5.7,8.1,1.4,1.6,8.6,11.5,,0.5,0.8,1.3,.088,,-1.3,1.0,-0.3,0.3
12,Joel Freeland\freeljo01,27,48,617,12.2,.522,.000,.166,11.0,21.9,16.6,3.8,0.7,2.7,12.4,13.4,,0.6,0.9,1.6,.122,,-3.0,1.2,-1.8,0.0
13,Dorell Wright\wrighdo01,29,48,592,13.4,.525,.568,.221,2.6,17.2,10.0,10.2,1.7,1.3,7.9,17.1,,0.7,0.8,1.6,.128,,0.1,0.6,0.7,0.4
14,Thomas Robinson\robinth01,23,32,391,11.0,.513,.000,.527,9.2,26.8,18.2,3.4,2.1,2.0,22.7,16.6,,-0.3,0.8,0.5,.059,,-5.5,1.8,-3.8,-0.2
15,Will Barton\bartowi01,24,30,300,8.3,.422,.180,.150,1.1,10.8,6.1,13.4,2.4,1.0,13.8,18.5,,-0.4,0.4,0.0,.002,,-4.9,0.8,-4.0,-0.2
16,Alonzo Gee\geeal01,27,15,151,9.7,.470,.224,.245,5.8,11.1,8.5,6.0,2.4,0.5,12.8,18.5,,-0.1,0.2,0.1,.039,,-3.2,0.2,-3.0,0.0
17,Victor Claver\clavevi01,26,10,76,9.2,.600,.550,.000,4.3,23.5,14.1,1.9,0.7,0.9,16.7,14.1,,0.0,0.1,0.1,.086,,-2.9,-1.3,-4.2,0.0
18,Tim Frazier\fraziti01,24,5,68,13.7,.557,.333,.333,3.2,10.8,7.1,36.7,1.5,0.0,25.3,18.2,,0.1,0.1,0.2,.119,,-0.6,-1.5,-2.1,0.0
