No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Al-Farouq Aminu\aminual01,PF,6-9,220,September 21 1990,us,7,Wake Forest University
2,Wade Baldwin\baldwwa01,PG,6-4,200,March 29 1996,us,1,Vanderbilt University
33,Zach Collins\colliza01,C,7-0,235,November 19 1997,us,R,Gonzaga University
5,Pat Connaughton\connapa01,SG,6-4,209,January 6 1993,us,2,University of Notre Dame
17,Ed Davis\davised01,C,6-10,225,June 5 1989,us,7,University of North Carolina
4,Maurice Harkless\harklma01,SF,6-9,220,May 11 1993,us,5,St. John's University
10,Jake Layman\laymaja01,SF,6-9,215,March 7 1994,us,1,University of Maryland
11,Meyers Leonard\leoname01,C,7-1,255,February 27 1992,us,5,University of Illinois at Urbana-Champaign
0,Damian Lillard\lillada01,PG,6-3,195,July 15 1990,us,5,Weber State University
3,CJ McCollum\mccolcj01,SG,6-3,190,September 19 1991,us,4,Lehigh University
6,Shabazz Napier\napiesh01,PG,6-1,180,July 14 1991,us,3,University of Connecticut
27,Jusuf Nurkic\nurkiju01,C,7-0,275,August 23 1994,ba,3,
19,Georgios Papagiannis\papagge01,C,7-1,240,July 3 1997,gr,1,
50,Caleb Swanigan\swanica01,PF,6-9,250,April 18 1997,us,R,Purdue University
1,Evan Turner\turneev01,SF,6-7,220,October 27 1988,us,7,Ohio State University
21,Noah Vonleh\vonleno01,PF,6-9,250,August 24 1995,us,3,Indiana University
