Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Klay Thompson\thompkl01,27,73,2506,16.0,.598,.442,.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,,3.1,1.8,4.9,.094,,1.8,-2.4,-0.6,0.9
2,Kevin Durant\duranke01,29,68,2325,26.0,.640,.338,.331,1.6,19.5,11.2,25.5,1.0,4.0,12.9,30.4,,7.5,2.9,10.4,.215,,5.0,0.7,5.6,4.5
3,Draymond Green\greendr01,27,70,2287,16.1,.556,.414,.279,3.9,21.1,13.1,29.0,2.0,3.1,22.5,17.2,,2.6,3.4,6.1,.127,,0.4,2.7,3.2,3.0
4,Stephen Curry\curryst01,29,51,1631,28.2,.675,.580,.350,2.7,14.4,9.0,30.3,2.4,0.4,13.3,31.0,,7.2,1.9,9.1,.267,,9.9,-1.3,8.6,4.4
5,Andre Iguodala\iguodan01,34,64,1622,11.2,.536,.366,.272,3.7,12.6,8.5,16.2,1.6,1.9,15.8,11.5,,1.6,1.6,3.2,.094,,-0.7,0.9,0.2,0.9
6,Nick Young\youngni01,32,80,1393,10.0,.562,.668,.133,1.7,7.9,5.0,3.5,1.3,0.4,7.0,17.5,,0.8,0.9,1.7,.059,,-0.2,-3.4,-3.7,-0.6
7,Shaun Livingston\livinsh01,32,71,1129,11.6,.533,.015,.178,3.4,9.2,6.5,16.8,1.5,1.5,13.6,16.6,,0.9,0.9,1.8,.077,,-2.6,-0.9,-3.5,-0.4
8,David West\westda01,37,73,999,20.9,.600,.021,.209,7.7,18.2,13.3,20.5,2.3,5.9,16.2,21.7,,1.8,1.7,3.5,.168,,-0.2,3.2,3.0,1.3
9,Zaza Pachulia\pachuza01,33,69,972,17.0,.612,.004,.352,11.0,25.0,18.5,15.2,1.9,1.4,19.1,17.0,,1.8,1.4,3.3,.161,,-0.5,1.3,0.8,0.7
10,Patrick McCaw\mccawpa01,22,57,961,7.4,.477,.356,.151,2.0,7.2,4.8,10.6,2.2,0.8,14.6,12.8,,-0.3,0.8,0.6,.029,,-2.9,-0.5,-3.4,-0.3
11,Kevon Looney\looneke01,21,66,910,14.8,.588,.026,.399,11.0,15.2,13.2,6.0,1.8,4.9,12.0,12.4,,1.5,1.3,2.8,.145,,-0.9,2.1,1.2,0.7
12,Jordan Bell\belljo01,23,57,809,18.0,.641,.022,.238,8.9,19.0,14.3,16.9,2.1,5.5,20.0,13.9,,1.6,1.4,2.9,.174,,0.0,3.7,3.7,1.2
13,Quinn Cook\cookqu01,24,33,740,12.8,.593,.413,.099,1.6,10.2,6.2,16.6,0.8,0.1,10.8,17.5,,1.1,0.4,1.6,.101,,0.6,-2.8,-2.2,0.0
14,Omri Casspi\casspom01,29,53,740,15.5,.632,.106,.333,4.9,24.0,15.1,9.5,1.2,2.0,13.5,16.3,,1.2,1.0,2.2,.141,,-1.5,0.0,-1.4,0.1
15,JaVale McGee\mcgeeja01,30,65,615,22.3,.641,.027,.237,11.5,18.7,15.4,8.0,1.6,7.3,10.0,19.2,,1.7,1.1,2.7,.212,,0.4,2.1,2.6,0.7
16,Damian Jones\jonesda03,22,15,89,6.8,.517,.000,.227,6.8,10.6,8.8,2.9,0.5,2.7,14.2,13.9,,0.0,0.1,0.1,.031,,-4.9,-1.7,-6.6,-0.1
17,Chris Boucher\bouchch01,25,1,1,-28.5,.000,1.000,.000,0.0,100.0,55.9,0.0,0.0,0.0,0.0,43.9,,0.0,0.0,0.0,-0.899,,-38.9,-20.1,-59.0,0.0
