No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
19,Leandro Barbosa\barbole01,SG,6-3,194,November 28 1982,br,12,
40,Harrison Barnes\barneha02,SF,6-8,225,May 30 1992,us,3,University of North Carolina
12,Andrew Bogut\bogutan01,C,7-0,260,November 28 1984,au,10,University of Utah
21,Ian Clark\clarkia01,SG,6-3,175,March 7 1991,us,2,Belmont University
30,Stephen Curry\curryst01,PG,6-3,190,March 14 1988,us,6,Davidson College
31,Festus Ezeli\ezelife01,C,6-11,255,October 21 1989,ng,2,Vanderbilt University
23,Draymond Green\greendr01,PF,6-7,230,March 4 1990,us,3,Michigan State University
9,Andre Iguodala\iguodan01,SF,6-6,215,January 28 1984,us,11,University of Arizona
34,Shaun Livingston\livinsh01,PG,6-7,192,September 11 1985,us,10,
36,Kevon Looney\looneke01,PF,6-9,220,February 6 1996,us,R,University of California Los Angeles
20,James Michael McAdoo\mcadoja01,PF,6-9,230,January 4 1993,us,1,University of North Carolina
4,Brandon Rush\rushbr01,SG,6-6,220,July 7 1985,us,7,University of Kansas
5,Marreese Speights\speigma01,C,6-10,255,August 4 1987,us,7,University of Florida
1,Jason Thompson\thompja02,C,6-11,250,July 21 1986,us,7,Rider University
11,Klay Thompson\thompkl01,SG,6-7,215,February 8 1990,us,4,Washington State University
18,Anderson Varejao\varejan01,C,6-10,273,September 28 1982,br,11,
