Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,John Wall\walljo01,25,77,2784,19.8,.510,.243,.255,1.7,13.8,7.6,46.2,2.5,1.7,17.5,28.6,,2.2,3.5,5.7,.098,,2.2,1.0,3.2,3.7
2,Otto Porter\porteot01,22,75,2276,14.5,.564,.372,.176,4.7,14.7,9.6,7.9,2.2,1.1,8.3,16.2,,3.0,2.7,5.6,.119,,0.8,1.0,1.8,2.2
3,Marcin Gortat\gortama01,31,75,2256,19.0,.592,.001,.271,10.8,26.3,18.4,7.5,1.0,3.4,12.4,18.9,,4.2,3.1,7.3,.156,,-0.5,1.7,1.2,1.8
4,Jared Dudley\dudleja01,30,81,2098,11.7,.602,.489,.201,2.8,12.6,7.6,11.4,1.7,0.7,13.1,12.7,,2.6,2.0,4.6,.105,,0.3,0.6,1.0,1.6
5,Garrett Temple\templga01,29,80,1951,9.3,.520,.511,.248,2.0,10.3,6.1,10.0,1.7,0.7,10.3,14.0,,1.0,1.7,2.7,.066,,-1.0,0.1,-1.0,0.5
6,Bradley Beal\bealbr01,22,55,1708,15.5,.547,.339,.220,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,,1.4,1.3,2.7,.076,,1.0,-1.6,-0.6,0.6
7,Ramon Sessions\sessira01,29,82,1667,15.9,.565,.188,.478,1.6,12.2,6.8,22.0,1.3,0.2,13.8,21.8,,2.5,1.3,3.8,.109,,-0.3,-1.5,-1.8,0.1
8,Nene Hilario\hilarne01,33,57,1094,16.8,.564,.008,.482,5.2,21.6,13.2,14.1,2.4,1.9,14.0,21.6,,1.1,1.6,2.7,.120,,-1.6,1.8,0.2,0.6
9,Gary Neal\nealga01,31,40,807,13.5,.558,.308,.169,1.5,10.2,5.8,9.2,1.2,0.1,7.7,20.5,,0.9,0.5,1.4,.085,,-0.5,-2.3,-2.8,-0.2
10,Markieff Morris\morrima02,26,27,712,14.0,.538,.275,.192,4.6,20.5,12.4,8.2,1.7,1.9,12.6,21.9,,0.2,0.9,1.1,.072,,-1.8,0.2,-1.5,0.1
11,Kelly Oubre\oubreke01,20,63,671,8.2,.507,.374,.232,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,,-0.3,0.7,0.4,.031,,-4.3,-1.6,-5.8,-0.7
12,Kris Humphries\humphkr01,30,28,466,11.8,.524,.424,.196,6.1,21.8,13.8,5.0,0.3,2.4,10.4,18.0,,0.3,0.5,0.7,.073,,-2.6,-1.3,-3.8,-0.2
13,Drew Gooden\goodedr01,34,30,305,7.5,.376,.398,.136,10.1,21.3,15.6,6.0,1.3,2.9,10.6,17.5,,-0.4,0.4,0.0,-0.005,,-5.1,0.1,-5.0,-0.2
14,Marcus Thornton\thornma01,28,14,224,15.5,.508,.505,.196,3.4,14.3,8.7,13.4,2.8,0.4,8.6,24.8,,0.1,0.3,0.4,.080,,0.6,-1.2,-0.7,0.1
15,DeJuan Blair\blairde01,26,29,218,5.4,.414,.015,.191,10.1,19.4,14.6,7.3,1.8,0.7,16.9,17.8,,-0.3,0.3,-0.1,-0.015,,-6.3,-0.1,-6.4,-0.2
16,Alan Anderson\anderal01,33,13,192,9.2,.495,.627,.254,0.6,15.5,7.9,10.3,1.0,0.4,3.0,15.4,,0.2,0.2,0.3,.078,,-1.2,-1.7,-2.8,0.0
17,Jarell Eddie\eddieja01,24,26,147,11.0,.460,.723,.123,1.5,16.3,8.8,5.0,1.7,0.6,1.4,20.7,,0.0,0.1,0.1,.046,,-1.5,-3.2,-4.7,-0.1
18,J.J. Hickson\hicksjj01,27,15,131,18.9,.528,.022,.957,14.2,24.4,19.2,8.5,1.9,1.2,12.1,24.8,,0.1,0.2,0.3,.114,,-2.1,-0.9,-3.0,0.0
19,Ryan Hollins\holliry01,31,5,48,7.2,.571,.000,.000,16.0,9.5,12.8,0.0,0.0,1.7,30.0,9.1,,0.0,0.0,0.0,.040,,-4.5,-3.1,-7.6,-0.1
