No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Alan Anderson\anderal01,SG,6-6,220,October 16 1982,us,6,Michigan State University
3,Bradley Beal\bealbr01,SG,6-5,207,June 28 1993,us,3,University of Florida
45,DeJuan Blair\blairde01,C,6-7,270,April 22 1989,us,6,University of Pittsburgh
1,Jared Dudley\dudleja01,PF,6-7,237,July 10 1985,us,8,Boston College
8,Jarell Eddie\eddieja01,SF,6-7,218,October 30 1991,us,R,Virginia Polytechnic Institute and State University
90,Drew Gooden\goodedr01,PF,6-10,250,September 24 1981,us,13,University of Kansas
13,Marcin Gortat\gortama01,C,6-11,240,February 17 1984,pl,8,
21,J.J. Hickson\hicksjj01,C,6-9,242,September 4 1988,us,7,North Carolina State University
42,Nene Hilario\hilarne01,PF,6-11,250,September 13 1982,br,13,
15,Ryan Hollins\holliry01,C,7-0,240,October 10 1984,us,9,University of California Los Angeles
43,Kris Humphries\humphkr01,PF,6-9,235,February 6 1985,us,11,University of Minnesota
5,Markieff Morris\morrima02,PF,6-10,245,September 2 1989,us,4,University of Kansas
14,Gary Neal\nealga01,SG,6-4,210,October 3 1984,us,5,La Salle University Towson University
12,Kelly Oubre\oubreke01,SF,6-7,205,December 9 1995,us,R,University of Kansas
22,Otto Porter\porteot01,SF,6-8,198,June 3 1993,us,2,Georgetown University
7,Ramon Sessions\sessira01,PG,6-3,190,April 11 1986,us,8,University of Nevada Reno
17,Garrett Temple\templga01,SF,6-6,195,May 8 1986,us,5,Louisiana State University
15,Marcus Thornton\thornma01,SG,6-4,205,June 5 1987,us,6,Louisiana State University
2,John Wall\walljo01,PG,6-4,210,September 6 1990,us,5,University of Kentucky
