Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
1,David West\david-west-1,2000,2003,Xavier,A-10,126,4210,,.598,.538,,,16.3,10.7,,5.0,15.2,26.8,,,,13.7,18.0,31.7,,,
2,Nick Fazekas\nick-fazekas-1,2004,2007,Nevada,WAC,131,3944,,.612,.566,,,18.6,12.4,,3.3,10.1,30.7,,,,16.7,13.4,30.2,,,
3,Shane Battier\shane-battier-1,1998,2001,Duke,ACC,146,3450,,.632,.594,,,,,,,9.2,,,,,13.5,16.3,29.8,,,
4,Shelden Williams\shelden-williams-1,2003,2006,Duke,ACC,139,3903,,.611,.573,,,18.3,6.3,,7.3,16.9,24.0,,,,12.4,16.8,29.2,,,
5,Tyler Hansbrough\tyler-hansbrough-1,2006,2009,North Carolina,ACC,142,4394,,.613,.539,,,15.1,6.2,,1.0,11.3,27.2,,,,17.2,11.3,28.5,,,
6,Stephen Curry\stephen-curry-1,2007,2009,Davidson,Southern,104,3387,,.620,.578,,,6.9,40.2,,0.6,12.9,38.3,,,,18.0,9.3,27.3,,,
7,Doug McDermott\doug-mcdermott-1,2011,2014,Creighton,Total,145,4569,30.2,.652,.616,8.2,20.6,14.8,10.4,0.5,0.3,11.7,32.3,2684,123.3,103.6,21.6,5.2,26.8,8.0,-1.5,6.5
8,Jameel Warney\jameel-warney-1,2013,2016,Stony Brook,AEC,135,4140,31.3,.601,.596,13.0,22.4,17.7,12.8,1.5,7.7,9.4,24.2,2021,125.5,90.0,16.4,10.4,26.8,4.4,4.6,9.0
9,Matt Howard\matt-howard-1,2008,2011,Butler,Horizon,141,3828,25.0,.612,.539,9.8,18.4,14.4,9.6,1.9,3.2,12.2,25.8,1008,121.6,94.8,15.5,10.8,26.4,7.2,2.9,10.1
10,James Augustine\james-augustine-1,2003,2006,Illinois,Big Ten,137,3717,,.641,.621,,,16.6,7.7,,2.8,15.6,17.9,,,,11.2,15.0,26.2,,,
11,Mike Daum\mike-daum-1,2016,2019,South Dakota State,Summit,137,4038,32.7,.630,.572,8.6,24.9,17.2,10.2,1.1,2.4,10.9,33.9,2816,123.9,101.4,20.0,6.1,26.1,5.6,-1.4,4.2
12,Kyle Singler\kyle-singler-1,2008,2011,Duke,ACC,148,4887,21.6,.548,.504,7.5,14.0,11.6,11.9,1.6,1.8,12.6,24.7,1272,117.8,94.0,13.5,12.2,25.7,4.6,2.2,6.8
13,Nick Collison\nick-collison-1,2000,2003,Kansas,Big 12,142,3888,,.583,.570,,,15.1,8.5,2.4,4.0,16.1,22.6,,,,11.0,14.2,25.2,,,
14,Lamont Barnes\lamont-barnes-1,1997,2000,Temple,A-10,129,,,.562,.537,,,,,,,,,,,,8.1,17.0,25.1,,,
15,Jaycee Carroll\jaycee-carroll-1,2005,2008,Utah State,Total,134,4596,,.651,.619,,,8.7,14.3,,0.3,12.0,25.9,,,,20.5,4.5,25.0,,,
16,Taylor Coppenrath\taylor-coppenrath-1,2002,2005,Vermont,AEC,114,4001,,.573,.517,,,11.9,10.4,,1.5,9.7,29.7,,,,13.6,11.1,24.8,,,
17,Kenyon Martin\kenyon-martin-1,1997,2000,Cincinnati,CUSA,116,2042,,.592,.587,,,,,,,14.3,,,,,8.2,16.4,24.7,,,
18,Paul Millsap\paul-millsap-1,2004,2006,Louisiana Tech,WAC,92,3240,,.594,.579,,,19.3,5.6,,3.5,13.5,23.7,,,,10.9,13.7,24.6,,,
19,John Konchar\john-konchar-1,2016,2019,Purdue-Fort Wayne,Summit,133,4675,25.7,.643,.627,7.6,20.4,14.0,20.9,3.2,1.8,13.3,19.2,2225,130.7,101.7,17.5,6.9,24.4,5.2,2.1,7.3
20,Alec Peters\alec-peters-1,2014,2017,Valparaiso,Horizon,134,4250,25.3,.621,.576,7.4,18.7,13.3,11.0,1.4,1.0,11.6,25.6,2121,124.2,96.4,16.1,8.3,24.4,5.5,0.4,5.9
