Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
1,Jock Landale\jock-landale-1,2018,2018,Saint Mary's (CA),WCC,36,1200,33.7,.668,.644,12.6,26.7,20.2,13.5,0.7,3.2,12.9,30.3,721,129.4,98.5,6.3,2.2,8.5,6.9,2.5,9.4
2,Gary Clark\gary-clark-2,2018,2018,Cincinnati,AAC,36,1025,29.6,.612,.571,12.1,22.3,17.3,14.8,3.0,5.0,8.7,20.4,462,135.3,81.6,4.3,3.5,7.8,7.1,8.4,15.5
3,Mikal Bridges\mikal-bridges-1,2018,2018,Villanova,Big East,40,1285,26.8,.655,.623,5.2,13.8,9.7,10.6,2.7,3.5,9.1,23.2,644,132.5,98.2,5.4,2.4,7.7,8.7,4.4,13.2
4,Jalen Brunson\jalen-brunson-1,2018,2018,Villanova,Big East,40,1272,26.1,.635,.604,1.2,9.7,5.6,26.6,1.7,0.1,10.7,26.4,745,130.7,104.1,6.0,1.7,7.7,8.7,0.9,9.6
5,Deandre Ayton\deandre-ayton-1,2018,2018,Arizona,Pac-12,35,1172,32.6,.650,.625,13.5,28.2,21.4,10.2,1.0,6.1,11.3,26.6,666,130.3,98.8,5.5,2.1,7.6,6.8,4.0,10.9
6,Jevon Carter\jevon-carter-1,2018,2018,West Virginia,Big 12,37,1313,24.9,.549,.498,2.4,13.1,7.5,36.2,4.9,1.2,14.4,25.0,686,119.3,94.9,4.3,2.8,7.0,8.1,4.4,12.5
7,Marvin Bagley III\marvin-bagleyiii-1,2018,2018,Duke,ACC,33,1118,30.6,.643,.640,13.8,21.5,17.9,8.8,1.4,2.6,12.2,26.3,630,127.7,97.4,4.8,2.1,6.9,7.7,3.0,10.7
8,Devonte' Graham\devonte-graham-1,2018,2018,Kansas,Big 12,39,1474,21.2,.568,.510,2.0,9.6,6.0,31.4,2.4,0.1,15.5,23.9,770,120.2,105.1,4.9,1.8,6.7,7.0,1.4,8.4
9,Mike Daum\mike-daum-1,2018,2018,South Dakota State,Summit,35,1090,30.9,.598,.543,6.7,28.2,17.9,9.0,0.9,2.5,9.3,35.0,763,119.5,99.0,4.7,1.9,6.6,3.8,-1.0,2.8
10,Tookie Brown\tookie-brown-1,2018,2018,Georgia Southern,Sun Belt,32,1035,28.2,.647,.601,2.0,11.5,6.6,28.5,3.1,1.1,14.6,25.6,598,127.4,98.9,4.5,1.9,6.4,7.2,0.7,7.9
11,Jonathan Stark\jonathan-stark-1,2018,2018,Murray State,OVC,32,1165,23.8,.611,.563,1.3,6.9,4.3,22.1,2.2,0.6,12.2,27.9,640,123.6,101.8,4.6,1.8,6.4,6.3,-1.4,4.9
12,Muhammad-Ali Abdur-Rahkman\muhammad-ali-abdur-rahkman-1,2018,2018,Michigan,Big Ten,41,1432,17.9,.554,.519,2.3,11.0,6.7,17.2,1.5,0.5,5.9,19.2,534,122.1,99.7,3.8,2.5,6.3,4.8,3.3,8.1
13,Peyton Aldridge\peyton-aldridge-1,2018,2018,Davidson,A-10,33,1245,25.4,.591,.552,4.9,19.8,12.7,14.0,0.6,2.0,6.3,28.2,652,122.0,104.3,4.7,1.6,6.3,5.4,0.2,5.6
14,Jon Elmore\jon-elmore-1,2018,2018,Marshall,CUSA,36,1380,23.5,.593,.527,1.3,14.0,8.0,32.7,2.2,0.8,16.1,28.2,859,115.5,103.8,4.4,1.8,6.2,5.1,-0.1,5.0
15,Keenan Evans\keenan-evans-1,2018,2018,Texas Tech,Big 12,36,1063,25.1,.601,.529,1.3,10.5,6.0,23.5,2.3,1.2,11.7,28.4,595,122.5,97.3,4.2,2.1,6.2,7.4,2.3,9.6
16,Scottie James\scottie-james-1,2018,2018,Liberty,Big South,37,943,30.7,.667,.640,13.3,31.2,22.6,11.0,1.0,5.1,11.8,25.1,475,129.3,94.0,4.1,2.1,6.2,3.4,1.4,4.8
17,James Thompson IV\james-thompsoniv-1,2018,2018,Eastern Michigan,MAC,35,1195,25.7,.665,.672,14.4,22.9,18.8,1.9,1.3,6.5,14.8,19.3,488,125.4,95.5,3.7,2.5,6.2,1.1,1.2,2.3
18,Dylan Windler\dylan-windler-1,2018,2018,Belmont,OVC,33,1168,24.8,.668,.653,6.3,24.0,15.8,15.2,1.7,2.8,15.4,22.8,547,124.3,97.4,4.0,2.3,6.2,5.1,3.2,8.3
19,Keita Bates-Diop\keita-bates-diop-1,2018,2018,Ohio State,Big Ten,34,1125,27.5,.577,.544,5.7,24.5,15.6,10.5,1.6,5.9,9.6,29.4,604,116.8,94.6,3.6,2.5,6.1,5.1,4.3,9.4
20,Carsen Edwards\carsen-edwards-1,2018,2018,Purdue,Big Ten,37,1092,25.4,.596,.555,1.5,12.9,7.7,19.5,2.3,0.8,10.0,30.5,626,119.4,98.1,4.0,2.0,6.1,7.6,1.5,9.0
