k,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Ben Simmons\simmobe01,21,81,2732,20.0,.557,.011,.342,5.9,19.5,13.0,37.4,2.5,2.1,19.5,22.3,,4.2,5.0,9.2,.162,,1.0,3.6,4.6,4.6
2,Robert Covington\covinro01,27,80,2532,12.9,.563,.658,.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,,1.6,4.5,6.1,.116,,0.4,2.1,2.5,2.9
3,Dario Saric\saricda01,23,78,2310,15.8,.582,.448,.233,7.5,16.4,12.1,13.0,1.1,0.7,13.1,20.9,,3.8,2.8,6.6,.137,,1.6,-0.2,1.4,2.0
4,J.J. Redick\redicjj01,33,70,2116,15.9,.614,.523,.248,0.5,8.3,4.5,15.1,0.8,0.2,9.6,21.7,,4.8,1.8,6.6,.150,,2.6,-2.6,0.0,1.1
5,Joel Embiid\embiijo01,23,63,1912,22.9,.573,.203,.442,8.4,29.7,19.4,18.0,1.0,4.8,15.6,33.4,,2.3,3.8,6.2,.155,,0.1,2.5,2.6,2.2
6,T.J. McConnell\mccontj01,25,76,1706,12.5,.545,.147,.093,2.4,11.5,7.1,24.5,2.6,0.6,20.4,13.8,,1.3,2.5,3.8,.108,,-1.8,1.1,-0.7,0.5
7,Amir Johnson\johnsam01,30,74,1171,14.9,.575,.123,.327,11.8,18.3,15.2,13.9,1.8,3.1,15.6,12.8,,2.1,2.0,4.1,.169,,-0.2,3.1,2.9,1.5
8,Jerryd Bayless\bayleje01,29,39,925,7.5,.546,.557,.168,1.8,7.3,4.7,8.0,1.2,0.5,14.1,15.1,,0.2,0.9,1.1,.055,,-1.8,-1.0,-2.7,-0.2
9,Timothe Luwawu-Cabarrot\luwawti01,22,52,807,7.0,.511,.592,.217,1.9,7.5,4.8,9.3,0.7,0.5,11.5,17.5,,0.1,0.7,0.8,.046,,-2.3,-2.4,-4.7,-0.5
10,Richaun Holmes\holmeri01,24,48,746,17.4,.585,.129,.232,8.6,21.4,15.2,12.3,1.3,3.2,8.6,16.6,,1.6,1.3,2.8,.183,,-0.2,1.9,1.7,0.7
11,Marco Belinelli\belinma01,31,28,737,14.2,.628,.530,.194,0.9,6.3,3.7,9.3,1.3,1.0,11.7,19.8,,1.1,0.7,1.8,.119,,1.1,-1.8,-0.8,0.2
12,Ersan Ilyasova\ilyaser01,30,23,554,14.6,.537,.392,.212,8.9,20.6,15.0,10.4,1.5,1.4,11.1,20.1,,0.6,0.9,1.4,.125,,-0.2,0.3,0.1,0.3
13,Justin Anderson\anderju01,24,38,519,13.0,.540,.510,.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,,0.6,0.7,1.2,.115,,-0.5,-1.5,-2.0,0.0
14,Trevor Booker\booketr01,30,33,494,14.5,.618,.064,.358,10.7,15.7,13.3,7.6,1.6,1.9,13.7,12.6,,1.0,0.7,1.7,.163,,-0.7,1.4,0.7,0.3
15,Markelle Fultz\fultzma01,19,14,253,12.4,.416,.009,.189,4.9,13.1,9.2,31.3,2.3,1.3,12.4,23.1,,-0.2,0.4,0.2,.043,,-3.8,0.8,-3.0,-0.1
16,Furkan Korkmaz\korkmfu01,20,14,80,3.4,.386,.607,.143,2.8,11.7,7.4,6.7,1.2,1.0,6.3,16.9,,-0.1,0.1,0.0,-0.006,,-5.0,-1.8,-6.9,-0.1
17,James Young\youngja01,22,6,61,4.6,.511,.714,.429,0.0,3.4,1.8,4.3,0.0,0.0,5.7,12.3,,0.0,0.0,0.1,.041,,-3.0,-3.6,-6.6,-0.1
18,Nik Stauskas\stausni01,24,6,45,0.9,.410,.250,.500,0.0,2.3,1.2,2.7,4.3,0.0,45.0,8.4,,-0.1,0.1,0.0,-0.044,,-7.4,2.5,-4.8,0.0
19,Jahlil Okafor\okafoja01,22,2,25,8.8,.465,.000,.444,17.9,20.7,19.4,5.8,0.0,6.7,21.8,23.5,,0.0,0.0,0.0,.005,,-7.5,0.5,-7.0,0.0
20,James Michael McAdoo\mcadoja01,25,3,18,7.4,.508,1.000,.286,0.0,11.5,6.0,0.0,0.0,4.6,11.3,21.0,,0.0,0.0,0.0,.023,,-4.3,-4.4,-8.7,0.0
21,Demetrius Jackson\jacksde01,23,3,17,24.5,.820,.250,.500,6.6,0.0,3.2,35.1,2.8,0.0,17.0,14.8,,0.1,0.0,0.1,.298,,5.0,-4.0,1.0,0.0
22,Larry Drew\drewla02,27,3,15,-9.4,.143,.429,.000,7.5,0.0,3.6,17.1,0.0,0.0,12.5,22.8,,-0.1,0.0,-0.1,-0.299,,-12.2,-5.2,-17.4,-0.1
23,Jacob Pullen\pulleja01,28,3,6,-2.3,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,21.3,,0.0,0.0,0.0,-0.210,,-10.5,-4.7,-15.2,0.0
