No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Justin Anderson\anderju01,SF,6-6,230,November 19 1993,us,2,University of Virginia
0,Jerryd Bayless\bayleje01,SG,6-3,200,August 20 1988,us,9,University of Arizona
18,Marco Belinelli\belinma01,SG,6-5,210,March 25 1986,it,10,
35,Trevor Booker\booketr01,PF,6-8,228,November 25 1987,us,7,Clemson University
33,Robert Covington\covinro01,SF,6-9,225,December 14 1990,us,4,Tennessee State University
27,Larry Drew\drewla02,PG,6-2,180,March 5 1990,us,1,University of North Carolina University of California Los Angeles
21,Joel Embiid\embiijo01,C,7-0,250,March 16 1994,cm,1,University of Kansas
20,Markelle Fultz\fultzma01,SG,6-4,200,May 29 1998,us,R,University of Washington
22,Richaun Holmes\holmeri01,C,6-10,235,October 15 1993,us,2,Bowling Green State University
23,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,9,
11,Demetrius Jackson\jacksde01,PG,6-1,201,September 7 1994,us,1,University of Notre Dame
5,Amir Johnson\johnsam01,C,6-9,240,May 1 1987,us,12,
30,Furkan Korkmaz\korkmfu01,SG,6-7,190,July 24 1997,tr,R,
7,Timothe Luwawu-Cabarrot\luwawti01,SF,6-6,210,May 9 1995,fr,1,
14,James Michael McAdoo\mcadoja01,PF,6-9,230,January 4 1993,us,3,University of North Carolina
12,T.J. McConnell\mccontj01,PG,6-2,190,March 25 1992,us,2,Duquesne University University of Arizona
8,Jahlil Okafor\okafoja01,C,6-11,275,December 15 1995,us,2,Duke University
00,Jacob Pullen\pulleja01,PG,6-1,200,November 10 1989,us,R,Kansas State University
17,J.J. Redick\redicjj01,SG,6-4,200,June 24 1984,us,11,Duke University
9,Dario Saric\saricda01,PF,6-10,223,April 8 1994,hr,1,
25,Ben Simmons\simmobe01,PG,6-10,230,July 20 1996,au,R,Louisiana State University
11,Nik Stauskas\stausni01,SG,6-6,205,October 7 1993,ca,3,University of Michigan
8,James Young\youngja01,SG,6-6,215,August 16 1995,us,3,University of Kentucky
