Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Giannis Antetokounmpo\antetgi01,20,81,2541,14.8,.552,.056,.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,,2.2,4.0,6.2,.117,,-1.7,2.1,0.5,1.6
2,Khris Middleton\middlkh01,23,79,2378,15.6,.563,.308,.180,2.3,14.3,8.4,12.7,2.6,0.4,10.8,19.9,,3.2,3.5,6.7,.135,,0.9,0.5,1.4,2.0
3,Zaza Pachulia\pachuza01,30,73,1730,15.6,.506,.006,.302,13.1,19.9,16.5,16.2,2.4,1.0,18.2,19.1,,1.3,2.9,4.2,.116,,-0.9,2.2,1.4,1.5
4,Jerryd Bayless\bayleje01,26,77,1717,11.1,.519,.233,.266,1.5,12.5,7.0,21.0,1.8,0.6,18.8,18.6,,0.3,2.0,2.4,.066,,-2.3,-0.3,-2.6,-0.3
5,Jared Dudley\dudleja01,29,72,1717,12.3,.572,.454,.158,3.0,11.6,7.3,11.5,2.1,0.5,12.1,13.5,,2.0,2.1,4.1,.116,,0.1,0.5,0.6,1.1
6,O.J. Mayo\mayooj01,27,71,1697,13.5,.529,.395,.198,2.0,10.5,6.3,19.4,1.7,0.9,14.4,23.6,,0.9,1.9,2.8,.079,,0.0,-1.3,-1.3,0.3
7,Brandon Knight\knighbr03,23,52,1688,18.5,.556,.341,.260,1.8,13.1,7.5,28.6,2.5,0.5,16.7,26.6,,2.0,2.4,4.4,.124,,2.3,-0.1,2.2,1.8
8,Ersan Ilyasova\ilyaser01,27,58,1319,16.8,.554,.341,.192,7.0,17.0,12.0,7.4,1.4,1.2,6.9,22.1,,2.3,1.7,4.0,.146,,1.2,-1.4,-0.2,0.6
9,John Henson\hensojo01,24,67,1228,18.0,.578,.000,.396,11.7,17.4,14.5,7.8,1.2,9.3,17.6,18.1,,1.3,2.4,3.6,.142,,-1.9,4.6,2.7,1.5
10,Michael Carter-Williams\cartemi01,23,25,758,16.3,.496,.091,.354,3.2,11.7,7.5,30.8,3.4,1.3,18.2,25.8,,0.0,1.3,1.3,.080,,-1.0,1.4,0.4,0.5
11,Jabari Parker\parkeja01,19,25,738,14.5,.527,.061,.251,7.8,13.5,10.7,9.5,2.1,0.6,13.9,20.7,,0.4,1.0,1.3,.088,,-1.4,0.2,-1.2,0.1
12,Larry Sanders\sandela01,26,27,586,15.2,.507,.000,.279,13.2,19.2,16.2,6.3,2.3,5.6,12.7,17.0,,0.4,1.2,1.6,.132,,-2.0,3.4,1.4,0.5
13,Kendall Marshall\marshke01,23,28,417,12.4,.562,.455,.089,0.6,7.1,3.8,31.1,2.6,0.0,25.0,15.1,,0.3,0.5,0.8,.088,,-1.7,-2.4,-4.1,-0.2
14,Johnny O'Bryant\obryajo01,21,34,368,3.8,.379,.000,.225,8.2,11.7,10.0,7.1,0.7,0.9,15.9,19.2,,-0.8,0.3,-0.5,-0.063,,-7.5,-1.6,-9.0,-0.7
15,Tyler Ennis\ennisty01,20,25,353,6.6,.395,.301,.041,2.0,7.1,4.5,25.6,2.6,0.7,21.4,20.3,,-0.8,0.4,-0.3,-0.046,,-5.3,-1.3,-6.6,-0.4
16,Miles Plumlee\plumlmi01,26,19,189,15.0,.488,.000,.136,10.4,17.4,13.9,6.0,1.6,4.9,8.8,16.3,,0.1,0.3,0.4,.107,,-3.3,1.7,-1.6,0.0
17,Nate Wolters\woltena01,23,11,142,5.4,.382,.161,.129,1.6,11.2,6.4,10.2,1.8,0.0,8.4,11.3,,-0.1,0.2,0.1,.018,,-5.2,-0.2,-5.3,-0.1
18,Jorge Gutierrez\gutiejo01,26,10,131,11.1,.589,.074,.370,4.4,11.3,7.9,17.4,1.9,0.0,22.3,13.9,,0.1,0.2,0.3,.098,,-2.3,-0.3,-2.6,0.0
19,Chris Johnson\johnsch04,24,8,128,9.7,.502,.600,.067,1.8,8.0,4.9,5.7,2.0,1.3,0.0,10.9,,0.1,0.1,0.3,.102,,-1.2,-0.2,-1.3,0.0
20,Kenyon Martin\martike01,37,11,104,10.0,.437,.000,.091,6.7,14.2,10.5,7.0,2.5,4.9,11.6,11.2,,0.0,0.2,0.2,.086,,-4.4,3.6,-0.8,0.0
