No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Jeff Adrien\adrieje01,PF,6-7,245,February 10 1986,us,3,University of Connecticut
34,Giannis Antetokounmpo\antetgi01,SF,6-11,242,December 6 1994,gr,R,
3,Caron Butler\butleca01,SF,6-7,228,March 13 1980,us,11,University of Connecticut
31,John Henson\hensojo01,PF,6-11,219,December 28 1990,us,1,University of North Carolina
7,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,5,
11,Brandon Knight\knighbr03,PG,6-3,195,December 2 1991,us,2,University of Kentucky
00,O.J. Mayo\mayooj01,SG,6-5,210,November 5 1987,us,5,University of Southern California
22,Khris Middleton\middlkh01,SF,6-8,222,August 12 1991,us,1,Texas A&M University
18,Tony Mitchell\mitchto03,SF,6-6,216,August 7 1989,us,R,University of Alabama
12,Gary Neal\nealga01,SG,6-4,210,October 3 1984,us,3,La Salle University Towson University
27,Zaza Pachulia\pachuza01,C,6-11,270,February 10 1984,ge,10,
9,Miroslav Raduljica\radulmi01,C,7-0,250,January 5 1988,rs,R,
13,Luke Ridnour\ridnolu01,PG,6-2,175,February 13 1981,us,10,University of Oregon
8,Larry Sanders\sandela01,C,6-11,235,November 21 1988,us,3,Virginia Commonwealth University
13,Ramon Sessions\sessira01,PG,6-3,190,April 11 1986,us,6,University of Nevada Reno
15,D.J. Stephens\stephdj01,SG,6-5,188,December 19 1990,us,R,University of Memphis
5,Ekpe Udoh\udohek01,PF,6-10,245,May 20 1987,us,3,University of Michigan Baylor University
6,Nate Wolters\woltena01,PG,6-4,190,May 15 1991,us,R,South Dakota State University
15,Chris Wright\wrighch01,SF,6-8,226,September 30 1988,us,1,University of Dayton
