Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Joakim Noah\noahjo01,28,80,2820,20.0,.531,.003,.419,11.6,24.5,18.2,26.4,1.9,3.3,17.0,18.7,,4.5,6.6,11.2,.190,,1.1,5.5,6.6,6.1
2,Jimmy Butler\butleji01,24,67,2591,13.5,.522,.346,.488,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,,2.4,4.6,7.1,.131,,0.0,2.4,2.4,2.9
3,Mike Dunleavy\dunlemi02,33,82,2584,12.6,.549,.419,.212,2.1,13.0,7.6,12.3,1.3,1.4,11.3,17.0,,2.4,4.1,6.5,.121,,-0.3,1.1,0.7,1.8
4,Taj Gibson\gibsota01,28,82,2351,16.0,.524,.008,.314,9.8,17.1,13.5,7.3,0.9,3.7,12.8,23.0,,1.4,4.4,5.7,.117,,-2.6,1.4,-1.1,0.5
5,Carlos Boozer\boozeca01,32,76,2141,14.4,.489,.002,.197,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,,-0.9,4.3,3.4,.076,,-4.0,0.6,-3.4,-0.7
6,Kirk Hinrich\hinriki01,33,73,2116,10.8,.494,.391,.202,1.7,8.5,5.2,22.6,2.0,1.0,15.1,17.3,,0.4,3.3,3.8,.085,,-1.3,0.5,-0.8,0.6
7,D.J. Augustin\augusdj01,26,61,1857,16.8,.574,.463,.318,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,,4.0,2.4,6.4,.166,,3.1,-2.1,1.0,1.4
8,Tony Snell\snellto01,22,77,1231,8.0,.489,.530,.122,1.8,9.6,5.7,9.1,1.3,0.9,11.1,14.9,,-0.1,1.7,1.6,.063,,-2.9,-0.2,-3.0,-0.3
9,Luol Deng\denglu01,28,23,860,17.0,.536,.175,.350,5.4,15.4,10.5,18.7,1.5,0.4,12.6,25.1,,1.0,1.4,2.4,.132,,0.7,0.7,1.4,0.7
10,Nazr Mohammed\mohamna01,36,80,562,10.1,.445,.000,.238,13.6,21.7,17.7,5.8,1.3,4.1,21.0,14.5,,-0.4,1.2,0.8,.070,,-6.0,2.6,-3.3,-0.2
11,Derrick Rose\rosede01,25,10,311,9.7,.446,.287,.195,3.3,8.3,5.9,26.2,0.9,0.2,16.0,31.5,,-0.6,0.4,-0.2,-0.036,,-2.8,-2.3,-5.1,-0.2
12,Marquis Teague\teaguma01,20,19,242,0.0,.308,.152,.242,0.5,8.3,4.5,17.9,0.4,1.3,18.9,17.2,,-0.8,0.3,-0.5,-0.094,,-9.5,-1.1,-10.6,-0.5
13,Mike James\jamesmi01,38,11,77,1.5,.251,.238,.095,0.0,10.2,5.2,34.1,1.4,0.0,18.6,16.1,,-0.2,0.1,-0.1,-0.073,,-8.6,-2.1,-10.6,-0.2
14,Erik Murphy\murpher01,23,24,62,0.2,.231,.231,.000,3.7,10.8,7.3,4.9,0.0,5.0,13.3,11.2,,-0.2,0.1,-0.1,-0.055,,-9.8,1.8,-8.1,-0.1
15,Jimmer Fredette\fredeji01,24,8,56,11.6,.535,.379,.069,2.1,12.0,7.1,11.1,0.0,0.0,11.8,27.9,,0.0,0.1,0.0,.043,,-2.0,-4.4,-6.5,-0.1
16,Cartier Martin\martica01,29,6,48,13.3,.768,.625,.500,2.4,9.3,5.9,6.8,1.1,0.0,9.3,10.3,,0.1,0.1,0.2,.174,,0.7,-1.1,-0.4,0.0
17,Tornike Shengelia\shengto01,22,9,17,9.0,.500,.000,.000,0.0,13.2,6.7,19.8,3.1,0.0,20.0,13.6,,0.0,0.0,0.0,.073,,-5.5,1.1,-4.4,0.0
18,Jarvis Varnado\varnaja01,25,1,2,-9.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.038,,-7.3,1.0,-6.3,0.0
19,Ronnie Brewer\brewero02,28,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.029,,-7.3,1.0,-6.3,0.0
20,Lou Amundson\amundlo01,31,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.029,,-7.3,1.0,-6.3,0.0
