No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
41,Cameron Bairstow\bairsca01,C,6-9,250,December 7 1990,au,1,University of New Mexico
0,Aaron Brooks\brookaa01,PG,6-0,161,January 14 1985,us,7,University of Oregon
21,Jimmy Butler\butleji01,SG,6-8,232,September 14 1989,us,4,Marquette University
34,Mike Dunleavy\dunlemi02,SF,6-9,230,September 15 1980,us,13,Duke University
6,Cristiano Felicio\feliccr01,C,6-10,265,July 7 1992,br,R,
16,Pau Gasol\gasolpa01,C,7-0,250,July 6 1980,es,14,
22,Taj Gibson\gibsota01,PF,6-9,232,June 24 1985,us,6,University of Southern California
12,Kirk Hinrich\hinriki01,PG,6-4,190,January 2 1981,us,12,University of Kansas
7,Justin Holiday\holidju01,SG,6-6,181,April 5 1989,us,2,University of Washington
3,Doug McDermott\mcderdo01,SF,6-8,225,January 3 1992,us,1,Creighton University
44,Nikola Mirotic\mirotni01,PF,6-10,250,February 11 1991,me,1,
55,E'Twaun Moore\mooreet01,SG,6-4,191,February 25 1989,us,4,Purdue University
13,Joakim Noah\noahjo01,C,6-11,230,February 25 1985,us,8,University of Florida
5,Bobby Portis\portibo01,PF,6-11,250,February 10 1995,us,R,University of Arkansas
1,Derrick Rose\rosede01,PG,6-3,200,October 4 1988,us,6,University of Memphis
20,Tony Snell\snellto01,SF,6-7,213,November 10 1991,us,2,University of New Mexico
