Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tristan Thompson\thomptr01,22,82,2594,14.9,.528,.001,.445,11.4,21.5,16.3,4.5,0.8,1.1,10.6,17.5,,3.4,2.3,5.7,.106,,-1.5,-0.5,-2.0,0.0
2,Kyrie Irving\irvinky01,21,71,2496,20.1,.533,.278,.273,2.3,9.5,5.8,31.6,2.2,0.8,12.1,28.2,,4.6,2.1,6.7,.128,,4.1,-0.9,3.2,3.3
3,Jarrett Jack\jackja01,30,80,2252,11.5,.498,.265,.213,1.1,10.3,5.6,22.7,1.3,0.8,14.8,17.8,,0.9,1.4,2.3,.049,,-1.4,-0.9,-2.3,-0.2
4,Dion Waiters\waitedi01,22,70,2072,14.0,.508,.252,.237,1.7,9.0,5.3,18.2,1.6,0.7,12.3,26.9,,0.3,1.3,1.6,.037,,-0.2,-1.8,-2.1,0.0
5,Anderson Varejao\varejan01,31,65,1800,17.0,.527,.015,.294,11.4,28.2,19.6,12.2,2.0,1.8,12.2,14.6,,2.7,2.7,5.4,.144,,-0.4,3.0,2.7,2.1
6,Luol Deng\denglu01,28,40,1353,14.0,.503,.251,.285,4.8,12.2,8.4,12.0,1.4,0.3,8.8,20.6,,1.3,0.9,2.2,.077,,0.1,-0.8,-0.6,0.5
7,Matthew Dellavedova\dellama01,23,72,1271,10.7,.534,.524,.162,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,,1.4,0.7,2.1,.078,,-0.5,-1.7,-2.1,0.0
8,Tyler Zeller\zellety01,24,70,1049,15.4,.581,.003,.417,10.8,19.6,15.1,5.6,0.9,3.0,14.9,17.1,,1.5,1.1,2.6,.120,,-1.9,0.2,-1.7,0.1
9,Alonzo Gee\geeal01,26,65,1020,8.6,.491,.246,.258,3.8,12.8,8.2,6.9,2.0,1.2,14.3,13.4,,-0.1,1.0,0.9,.041,,-3.3,0.7,-2.6,-0.2
10,C.J. Miles\milescj01,26,51,984,16.0,.569,.516,.183,2.0,9.9,5.9,9.1,2.4,1.3,9.1,22.0,,1.5,0.9,2.5,.122,,2.0,-1.2,0.7,0.7
11,Spencer Hawes\hawessp01,25,27,804,16.6,.571,.354,.172,5.9,23.6,14.5,13.5,0.8,2.8,14.5,20.7,,1.0,0.9,1.9,.114,,0.6,1.0,1.6,0.7
12,Earl Clark\clarkea01,26,45,698,8.6,.467,.483,.100,3.1,17.6,10.2,3.6,1.2,2.3,10.7,17.9,,-0.5,0.7,0.2,.014,,-3.8,-1.0,-4.9,-0.5
13,Anthony Bennett\bennean01,20,52,663,6.9,.425,.236,.307,8.1,18.4,13.1,4.0,1.6,1.0,15.5,20.3,,-1.1,0.7,-0.4,-0.028,,-5.8,-1.5,-7.3,-0.9
14,Andrew Bynum\bynuman01,26,24,480,14.8,.456,.000,.207,10.7,18.9,14.7,9.6,0.6,4.9,11.9,23.4,,-0.2,0.5,0.4,.036,,-4.0,0.8,-3.1,-0.1
15,Henry Sims\simshe01,23,20,168,10.7,.430,.000,.311,14.4,23.2,18.7,4.5,1.5,3.5,13.5,15.7,,0.0,0.2,0.2,.059,,-4.8,0.8,-4.1,-0.1
16,Sergey Karasev\karasse01,20,22,156,2.3,.470,.543,.286,0.0,11.8,5.8,5.6,1.0,0.5,21.8,14.4,,-0.2,0.1,-0.1,-0.041,,-5.9,-1.6,-7.5,-0.2
17,Carrick Felix\felixca01,23,7,38,13.3,.603,.357,.286,2.9,15.1,8.9,18.2,0.0,0.0,20.2,23.2,,0.0,0.0,0.0,.057,,-1.1,-3.5,-4.7,0.0
18,Shane Edwards\edwarsh01,26,2,12,-1.0,.333,.000,.000,9.1,9.6,9.3,0.0,0.0,0.0,25.0,14.9,,0.0,0.0,0.0,-0.141,,-10.5,-4.7,-15.2,0.0
19,Seth Curry\curryse01,23,1,9,19.9,.500,.333,.000,0.0,12.8,6.2,0.0,11.5,0.0,0.0,14.9,,0.0,0.0,0.0,.187,,-0.9,4.8,3.9,0.0
20,Scotty Hopson\hopsosc01,24,2,7,-6.5,.102,.500,.500,0.0,0.0,0.0,18.8,7.4,0.0,0.0,31.1,,-0.1,0.0,-0.1,-0.412,,-12.9,-4.3,-17.2,0.0
21,Arinze Onuaku\onuakar01,26,2,5,-5.3,.000,.000,.000,0.0,23.0,11.2,0.0,0.0,0.0,0.0,8.9,,0.0,0.0,0.0,-0.179,,-14.8,-3.4,-18.2,0.0
