No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
89,Lou Amundson\amundlo01,PF,6-9,220,December 7 1982,us,8,University of Nevada Las Vegas
5,Will Cherry\cherrwi01,PG,6-0,185,February 8 1991,us,R,University of Montana
8,Matthew Dellavedova\dellama01,SG,6-4,200,September 8 1990,au,1,Saint Mary's College of California
12,Joe Harris\harrijo01,SG,6-6,218,September 6 1991,us,R,University of Virginia
33,Brendan Haywood\haywobr01,C,7-0,268,November 27 1979,us,12,University of North Carolina
2,Kyrie Irving\irvinky01,PG,6-3,193,March 23 1992,au,3,Duke University
23,LeBron James\jamesle01,SF,6-8,250,December 30 1984,us,11,
1,James Jones\jonesja02,SF,6-8,218,October 4 1980,us,11,University of Miami
53,Alex Kirk\kirkal01,C,7-0,245,November 14 1991,us,R,University of New Mexico
0,Kevin Love\loveke01,PF,6-10,251,September 7 1988,us,6,University of California Los Angeles
31,Shawn Marion\mariosh01,SF,6-7,220,May 7 1978,us,15,University of Nevada Las Vegas
18,Mike Miller\millemi01,SF,6-8,218,February 19 1980,us,14,University of Florida
20,Timofey Mozgov\mozgoti01,C,7-1,275,July 16 1986,ru,4,
3,Kendrick Perkins\perkike01,C,6-10,270,November 10 1984,us,11,
21,A.J. Price\priceaj01,PG,6-2,181,October 7 1986,us,5,University of Connecticut
4,Iman Shumpert\shumpim01,SG,6-5,215,June 26 1990,us,3,Georgia Institute of Technology
5,J.R. Smith\smithjr01,SG,6-6,225,September 9 1985,us,10,
13,Tristan Thompson\thomptr01,PF,6-10,238,March 13 1991,ca,3,University of Texas at Austin
17,Anderson Varejao\varejan01,C,6-10,273,September 28 1982,br,10,
3,Dion Waiters\waitedi01,SG,6-4,215,December 10 1991,us,2,Syracuse University
