Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Avery Bradley\bradlav01,24,77,2428,11.5,.507,.348,.099,2.0,8.9,5.4,8.9,1.7,0.5,9.4,21.0,,0.4,2.1,2.5,.049,,-0.8,-0.9,-1.7,0.2
2,Evan Turner\turneev01,26,82,2260,12.8,.482,.160,.189,1.9,18.5,10.1,30.0,1.8,0.7,19.7,19.5,,-0.3,2.8,2.5,.054,,-2.2,1.3,-1.0,0.6
3,Brandon Bass\bassbr01,29,82,1929,16.3,.557,.047,.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,,3.4,1.9,5.3,.132,,-0.4,-0.1,-0.5,0.7
4,Marcus Smart\smartma01,20,67,1808,11.0,.491,.570,.266,3.6,9.9,6.7,16.3,2.7,0.8,14.4,15.1,,0.7,2.2,2.9,.077,,-0.1,1.3,1.1,1.4
5,Tyler Zeller\zellety01,25,82,1731,18.9,.594,.000,.300,9.1,20.5,14.7,10.8,0.5,2.3,9.8,19.6,,4.5,2.0,6.5,.179,,0.4,0.4,0.9,1.2
6,Jared Sullinger\sullija01,22,58,1566,17.9,.503,.260,.182,10.1,20.9,15.4,14.2,1.4,2.1,9.3,23.6,,1.9,2.1,4.0,.123,,1.0,1.0,2.0,1.6
7,Kelly Olynyk\olynyke01,23,64,1423,15.9,.558,.331,.258,7.0,16.5,11.7,12.2,2.3,2.1,14.3,21.1,,1.5,2.1,3.6,.120,,0.7,1.4,2.1,1.5
8,Jae Crowder\crowdja01,24,57,1382,14.1,.512,.362,.277,4.7,16.4,10.5,9.0,2.1,1.1,6.9,17.9,,1.6,1.8,3.3,.116,,-0.2,0.7,0.5,0.9
9,Jeff Green\greenje02,28,33,1093,14.6,.539,.324,.303,2.1,12.2,7.1,7.9,1.2,0.9,9.4,23.8,,1.0,1.0,2.0,.089,,-0.1,-1.4,-1.6,0.1
10,Rajon Rondo\rondora01,28,22,699,15.4,.422,.160,.180,3.9,22.3,12.9,49.3,2.7,0.3,25.8,18.2,,-0.2,1.1,0.9,.064,,-1.6,2.1,0.4,0.4
11,Marcus Thornton\thornma01,27,39,640,15.8,.531,.407,.167,3.2,9.4,6.2,8.8,1.6,0.8,6.3,23.9,,0.8,0.6,1.4,.104,,0.7,-2.4,-1.7,0.0
12,Phil Pressey\pressph01,23,50,600,11.8,.453,.374,.282,2.3,12.4,7.3,28.0,2.5,0.8,17.3,17.3,,0.0,0.7,0.8,.060,,-2.3,0.0,-2.2,0.0
13,Isaiah Thomas\thomais02,25,21,545,22.3,.579,.488,.481,1.4,7.5,4.4,35.2,1.1,0.0,13.5,32.1,,1.8,0.3,2.1,.185,,6.4,-3.9,2.5,0.6
14,Jonas Jerebko\jerebjo01,27,29,527,15.5,.533,.354,.166,9.4,19.8,14.5,8.7,1.8,1.0,8.5,17.6,,0.8,0.7,1.5,.141,,0.4,0.3,0.7,0.4
15,James Young\youngja01,19,31,332,8.5,.457,.647,.284,2.9,11.0,6.9,5.6,1.2,0.5,4.2,15.8,,0.1,0.3,0.3,.047,,-1.9,-1.9,-3.8,-0.2
16,Gerald Wallace\wallage01,32,32,286,6.2,.431,.088,.441,6.4,15.5,10.9,5.1,2.6,1.1,30.7,9.0,,-0.3,0.4,0.1,.014,,-5.8,2.6,-3.2,-0.1
17,Tayshaun Prince\princta01,34,9,198,16.9,.616,.136,.102,3.3,13.5,8.3,14.3,1.3,0.8,6.1,14.5,,0.5,0.2,0.7,.165,,0.7,-0.1,0.6,0.1
18,Luigi Datome\datomlu01,27,18,192,14.9,.607,.468,.013,1.1,13.3,7.1,6.0,0.3,2.8,8.3,19.3,,0.3,0.2,0.4,.106,,-0.3,-1.9,-2.2,0.0
19,Jameer Nelson\nelsoja01,32,6,121,8.7,.323,.610,.220,2.7,12.9,7.7,37.4,2.9,0.0,16.7,19.5,,-0.2,0.2,0.0,-0.015,,-2.7,-0.6,-3.3,0.0
20,Brandan Wright\wrighbr03,27,8,86,15.0,.571,.000,.190,8.8,12.9,10.8,14.0,0.6,4.5,18.0,14.1,,0.1,0.1,0.2,.106,,-2.2,1.8,-0.4,0.0
21,Shavlik Randolph\randosh01,31,5,25,11.4,.322,.100,.200,17.3,35.6,26.3,5.9,2.0,3.1,8.4,20.8,,0.0,0.1,0.0,.012,,-7.4,0.4,-7.0,0.0
22,Dwight Powell\poweldw01,23,5,9,34.9,.765,.000,.400,0.0,12.3,6.1,0.0,11.1,0.0,25.4,38.3,,0.0,0.0,0.0,.138,,-0.5,1.5,1.0,0.0
