No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
45,Kadeem Allen\allenka01,PG,6-3,192,January 15 1993,us,R,University of Arizona
46,Aron Baynes\baynear01,C,6-10,260,December 9 1986,nz,5,Washington State University
26,Jabari Bird\birdja01,SG,6-6,198,July 3 1994,us,R,University of California
7,Jaylen Brown\brownja02,SG,6-7,220,October 24 1996,us,1,University of California
9,Jarell Eddie\eddieja01,SF,6-7,218,October 30 1991,us,2,Virginia Polytechnic Institute and State University
60,Jonathan Gibson\gibsojo01,PG,6-2,185,November 8 1987,us,1,New Mexico State University
20,Gordon Hayward\haywago01,SF,6-8,225,March 23 1990,us,7,Butler University
42,Al Horford\horfoal01,C,6-10,245,June 3 1986,do,10,University of Florida
11,Kyrie Irving\irvinky01,PG,6-3,193,March 23 1992,au,6,Duke University
8,Shane Larkin\larkish01,PG,5-11,175,October 2 1992,us,3,University of Miami
55,Greg Monroe\monrogr01,C,6-11,265,June 4 1990,us,7,Georgetown University
13,Marcus Morris\morrima03,PF,6-9,235,September 2 1989,us,6,University of Kansas
28,Abdel Nader\naderab01,SF,6-6,225,September 25 1993,eg,R,Northern Illinois University Iowa State University
37,Semi Ojeleye\ojelese01,PF,6-7,241,December 5 1994,us,R,Southern Methodist University
12,Terry Rozier\roziete01,PG,6-1,190,March 17 1994,us,2,University of Louisville
9,Xavier Silas\silasxa01,SG,6-5,205,January 22 1988,us,1,University of Colorado Northern Illinois University
36,Marcus Smart\smartma01,SG,6-4,220,March 6 1994,us,3,Oklahoma State University
0,Jayson Tatum\tatumja01,SF,6-8,208,March 3 1998,us,R,Duke University
27,Daniel Theis\theisda01,C,6-8,243,April 4 1992,de,R,
30,Guerschon Yabusele\yabusgu01,PF,6-8,260,December 17 1995,fr,R,
