Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,DeAndre Jordan\jordade01,27,77,2598,20.6,.628,.002,1.219,11.4,32.7,22.2,5.3,1.0,5.4,12.1,15.4,,6.0,5.5,11.5,.213,,-0.4,3.8,3.4,3.5
2,Chris Paul\paulch01,30,74,2420,26.2,.575,.295,.294,1.8,12.0,7.0,52.7,3.1,0.4,13.4,27.1,,9.2,3.5,12.7,.253,,7.3,0.5,7.8,6.0
3,Jamal Crawford\crawfja01,35,79,2126,14.0,.529,.366,.289,1.0,6.3,3.7,14.0,1.2,0.4,9.6,24.9,,1.8,1.5,3.3,.076,,-0.2,-2.4,-2.6,-0.3
4,J.J. Redick\redicjj01,31,75,2097,17.5,.632,.478,.233,0.5,6.6,3.6,8.6,1.0,0.2,7.4,22.6,,5.3,1.4,6.7,.154,,3.5,-2.7,0.8,1.5
5,Wesley Johnson\johnswe01,28,80,1666,11.0,.513,.600,.089,2.5,13.6,8.1,4.4,2.7,2.6,9.2,16.0,,0.0,2.7,2.6,.076,,-1.3,1.8,0.5,1.0
6,Austin Rivers\riverau01,23,67,1464,11.1,.523,.359,.225,1.7,7.9,4.8,10.6,1.6,0.5,9.7,19.4,,0.6,1.3,1.9,.063,,-1.2,-1.0,-2.2,-0.1
7,Luc Mbah a Moute\mbahalu01,29,75,1274,7.3,.498,.193,.275,5.2,9.4,7.3,3.3,1.7,1.2,12.8,9.4,,0.2,1.3,1.6,.059,,-3.0,1.5,-1.6,0.1
8,Paul Pierce\piercpa01,38,68,1231,8.2,.489,.610,.166,1.1,15.2,8.2,8.5,1.3,1.1,12.0,17.8,,-0.6,1.4,0.9,.033,,-2.5,-0.3,-2.8,-0.3
9,Blake Griffin\griffbl01,26,35,1170,22.1,.544,.030,.322,4.8,22.3,13.7,27.2,1.2,1.1,10.8,29.8,,2.2,1.6,3.8,.156,,1.7,1.6,3.3,1.6
10,Pablo Prigioni\prigipa01,38,59,823,10.2,.482,.646,.054,5.1,9.9,7.5,21.8,3.2,0.1,24.6,11.0,,0.3,1.1,1.5,.087,,-1.1,1.5,0.4,0.5
11,Cole Aldrich\aldrico01,27,60,800,21.3,.626,.000,.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,,1.4,2.0,3.5,.209,,-1.0,5.8,4.8,1.4
12,Jeff Green\greenje02,29,27,709,12.0,.496,.288,.243,3.0,10.9,7.0,8.9,1.3,2.3,7.5,20.4,,0.1,0.8,0.9,.061,,-1.8,0.1,-1.7,0.1
13,Lance Stephenson\stephla01,25,43,680,9.8,.569,.283,.181,3.1,14.0,8.7,13.1,1.8,0.3,21.1,15.1,,0.1,0.8,0.9,.066,,-2.4,0.7,-1.6,0.1
14,Josh Smith\smithjo03,30,32,459,13.2,.456,.322,.233,8.0,21.5,14.8,14.3,2.0,5.8,17.1,23.6,,-0.6,0.9,0.3,.036,,-3.8,3.6,-0.1,0.2
15,C.J. Wilcox\wilcocj01,25,23,167,12.9,.491,.348,.182,0.7,7.1,3.9,9.4,3.0,0.9,2.7,19.8,,0.1,0.2,0.3,.089,,-1.5,-0.9,-2.4,0.0
16,Jeff Ayres\pendeje02,28,17,107,8.3,.585,.043,.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,,0.1,0.1,0.2,.077,,-4.7,0.1,-4.6,-0.1
17,Branden Dawson\dawsobr01,22,6,29,7.1,.460,.000,.200,7.6,7.4,7.5,0.0,0.0,2.7,0.0,8.5,,0.0,0.0,0.0,.069,,-4.9,-1.7,-6.6,0.0
18,Alex Stepheson\stephal01,28,4,12,8.9,.532,.000,2.000,9.2,8.9,9.1,0.0,0.0,13.1,0.0,7.1,,0.0,0.0,0.0,.113,,-4.4,4.4,0.0,0.0
